code,GDP2018
AFG,19362969582.3643
AGO,105750987618.63
ALB,15102500898.238
AND,3236543909.34844
ARB,2774314967156.43
ARE,414178942592.479
ARG,519871519807.795
ARM,12433089919.0459
ASM,636000000
ATG,1610574074.07407
AUS,1433904348500.12
AUT,455285818035.125
AZE,46939529411.7647
BDI,3036931818.18182
BEL,542761092103.469
BEN,10354274634.9108
BFA,14124775068.569
BGD,274024958965.892
BGR,65132951116.4756
BHR,37746196808.5106
BHS,12424500000
BIH,20161865419.4327
BLR,59662495092.2654
BLZ,1871203164.08274
BMU,
BOL,40287647756.8741
BRA,1868626087908.48
BRB,5145000000
BRN,13567351175.0315
BTN,2446674101.3737
BWA,18616018903.4434
CAF,2219894701.95124
CAN,1713341704877.01
CEB,1632912822080.02
CHE,705140354166.312
CHI,
CHL,298231133532.749
CHN,13608151864637.9
CIV,43007047821.7541
CMR,38675205293.0462
COD,47227535290.9218
COG,11263682694.0393
COL,331047040087.878
COM,1177955048.65299
CPV,1976814276.50792
CRI,60130106115.6294
CSS,73523538154.6812
CUB,100023000000
CUW,3127908037.85918
CYM,
CYP,24961988663.2026
CZE,245225882903.37
DEU,3947620162502.96
DJI,2955912228.22417
DMA,550892592.592593
DNK,355675329085.952
DOM,85555390387.0355
DZA,173757952824.25
EAP,16284459791798.2
EAR,11638859227436.8
EAS,25942413437360
ECA,3410695054029.32
ECS,23068402795298.5
ECU,108398058000
EGY,250894760351.232
EMU,13646587749131
ERI,
ESP,1419041949909.82
EST,30732144528.9795
ETH,84355604752.5299
EUU,18768076076357.3
FCS,841432963671.601
FIN,276743120515.764
FJI,5536759658.87012
FRA,2777535239277.98
FRO,
FSM,401932279.019221
GAB,16853589311.4139
GBR,2855296731521.96
GEO,17599660629.0202
GHA,65556464048.1539
GIB,
GIN,10907214993.5687
GMB,1632823198.95828
GNB,1458156026.16376
GNQ,13432377049.5402
GRC,218031844583.994
GRD,1185925925.92593
GRL,
GTM,78460447919.9915
GUM,5920000000
GUY,3878662620.77146
HIC,54205741387665
HKG,362682018243.286
HND,23969890430.7882
HPC,729217800806.705
HRV,60971699315.1776
HTI,9658721168.86849
HUN,157882912778.254
IBD,30473237070032.2
IBT,32695011726223.3
IDA,2229466987792.26
IDB,993777987034.123
IDN,1042173300625.55
IDX,1235803659778.1
IMN,
IND,2718732231257.57
INX,
IRL,382487490532.479
IRN,
IRQ,224228010477.889
ISL,25878475760.1131
ISR,370587977153.583
ITA,2083864259622.65
JAM,15713908816.1463
JOR,42231295774.6479
JPN,4971323079771.87
KAZ,179339994859.384
KEN,87908262519.9164
KGZ,8092836608.78875
KHM,24542474061.2426
KIR,188284518.828452
KNA,1010822222.22222
KOR,1619423701169.63
KWT,140645364238.411
LAC,5204644664482.81
LAO,17953786416.1431
LBN,56639155555.5556
LBR,3264000000
LBY,48364208571.4286
LCA,1921848222.22222
LCN,5800575821179.99
LDC,1064640218766.34
LIC,588230486530.751
LIE,
LKA,88900770857.6351
LMC,6702064695979.28
LMY,31736202504807.9
LSO,2738786277.79392
LTE,22183244483370.7
LTU,53429066429.1251
LUX,70885325883.0941
LVA,34409229177.9105
MAC,55084050789.7182
