Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,,0,,0,,1,1,0,,0,0,40,0,0,0,0,,,14.29,14.29
"2020-03-01",0,,0,,0,,0,,1,1,0,,0,0,40,0,0,0,0,,,14.29,14.29
"2020-03-02",0,,0,,0,,0,,1,1,0,,0,0,38,0,0,0,0,,,14.29,14.29
"2020-03-03",0,,0,,0,,0,,1,1,0,,0,0,40,0,0,0,0,,,14.29,14.29
"2020-03-04",0,,0,,0,,0,,1,1,0,,0,0,40,0,0,1,1,1,0,14.29,14.29
"2020-03-05",0,,0,,0,,0,,1,1,0,,0,0,40,0,0,1,1,,,14.29,14.29
"2020-03-06",0,,0,,0,,0,,1,1,0,,0,0,40,0,0,1,1,2,0,14.29,14.29
"2020-03-07",0,,0,,0,,0,,1,1,0,,0,0,40,0,0,1,1,8,0,14.29,14.29
"2020-03-08",0,,0,,0,,0,,1,1,0,,0,0,40,0,0,1,1,9,1,14.29,14.29
"2020-03-09",0,,0,,0,,0,,1,1,0,,0,0,40,0,0,1,1,12,1,14.29,14.29
"2020-03-10",0,,0,,0,,0,,1,1,0,,0,0,38,26000000,0,1,1,,,14.29,14.29
"2020-03-11",0,,0,,0,,0,,1,1,0,,2,0,38,0,0,1,1,19,1,23.81,23.81
"2020-03-12",0,,0,,0,,0,,1,1,0,,2,0,38,0,0,1,1,,,23.81,23.81
"2020-03-13",0,,0,,2,1,0,,1,1,0,,2,0,38,0,0,1,1,31,1,38.1,38.1
"2020-03-14",0,,0,,2,1,0,,1,1,0,,2,0,38,0,0,1,1,34,2,38.1,38.1
"2020-03-15",0,,0,,2,1,0,,1,1,0,,2,0,38,0,0,1,1,45,2,38.1,38.1
"2020-03-16",2,1,2,0,2,1,0,,1,1,0,,3,0,38,0,0,1,1,56,2,66.67,66.67
"2020-03-17",2,1,2,0,2,1,0,,1,1,0,,3,10000000000,38,0,0,1,1,65,2,66.67,66.67
"2020-03-18",2,1,2,0,2,1,0,,1,1,0,,3,0,38,0,0,1,1,79,2,66.67,66.67
"2020-03-19",2,1,2,0,2,1,0,,1,1,0,,3,0,38,0,0,1,1,97,2,66.67,66.67
"2020-03-20",2,1,2,0,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,128,3,95.24,95.24
"2020-03-21",2,1,2,0,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,158,3,95.24,95.24
"2020-03-22",2,1,2,0,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,225,4,95.24,95.24
"2020-03-23",2,1,2,0,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,266,4,95.24,95.24
"2020-03-24",2,1,2,0,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,301,4,95.24,95.24
"2020-03-25",2,1,2,0,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,387,6,95.24,95.24
"2020-03-26",2,1,2,0,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,502,8,95.24,95.24
"2020-03-27",2,1,2,0,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,589,12,95.24,95.24
"2020-03-28",2,1,2,0,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,690,17,95.24,95.24
"2020-03-29",2,1,2,0,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,745,19,95.24,95.24
"2020-03-30",2,1,1,1,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,820,20,95.24,95.24
"2020-03-31",2,1,1,1,2,1,2,1,1,1,2,1,3,465872313.99,38,0,0,1,1,966,24,95.24,95.24
"2020-04-01",2,1,1,1,2,1,2,0,1,1,2,1,3,0,38,0,0,1,1,966,24,90.48,90.48
"2020-04-02",2,1,1,1,2,1,2,0,1,1,2,1,3,0,38,0,0,1,1,1133,31,90.48,90.48
"2020-04-03",2,1,1,1,2,1,2,0,1,1,2,1,3,,38,0,0,1,1,1133,34,90.48,90.48
"2020-04-04",2,1,1,1,2,1,2,1,1,1,2,1,3,,38,0,0,1,1,1265,37,95.24,95.24
"2020-04-05",2,1,1,1,2,1,2,1,1,1,2,1,3,,38,0,0,1,1,1451,43,95.24,95.24
"2020-04-06",2,1,1,1,2,1,2,1,1,1,2,1,3,,38,0,0,1,1,1554,46,95.24,95.24
"2020-04-07",2,1,1,1,2,1,2,1,1,1,2,1,3,,38,0,0,1,1,1628,53,95.24,95.24
"2020-04-08",2,1,1,1,2,1,2,1,1,1,2,1,3,0,38,0,0,1,1,1715,60,95.24,95.24
"2020-04-09",2,1,2,1,2,1,2,1,1,1,2,1,3,,38,0,0,1,1,1795,65,100,100
"2020-04-10",2,1,2,1,2,1,2,1,1,1,2,1,3,,38,0,0,1,1,1894,79,100,100
"2020-04-11",2,1,2,1,2,1,2,1,1,1,2,1,3,,38,0,0,1,1,1975,82,100,100
