Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,,0,,0,,1,1,0,,3,0,7.25,0,0,1,2,1,0,28.57,28.57
"2020-03-01",0,,0,,0,,0,,1,1,0,,3,0,7.25,0,0,1,2,1,0,28.57,28.57
"2020-03-02",0,,0,,0,,0,,1,1,0,,3,0,7.25,0,0,1,2,3,0,28.57,28.57
"2020-03-03",2,1,0,,0,,0,,1,1,0,,3,0,7.25,0,0,2,2,,,42.86,42.86
"2020-03-04",2,1,0,,0,,0,,1,1,0,,3,0,7.25,0,0,2,2,,,42.86,42.86
"2020-03-05",2,1,0,,0,,0,,1,1,0,,3,0,7.25,0,0,2,2,,,42.86,42.86
"2020-03-06",2,1,0,,0,,0,,1,1,0,,3,0,7.25,0,0,2,1,6,0,42.86,42.86
"2020-03-07",2,1,0,,0,,0,,1,1,0,,3,0,7.25,0,0,2,1,9,0,42.86,42.86
"2020-03-08",2,1,0,,0,,0,,1,1,0,,3,0,7.25,0,0,2,1,,,42.86,42.86
"2020-03-09",2,1,0,,0,,0,,1,1,0,,3,0,7.25,0,0,2,1,,,42.86,42.86
"2020-03-10",2,1,0,,1,1,0,,1,1,0,,3,0,7.25,0,0,2,1,,,52.38,52.38
"2020-03-11",2,1,0,,1,1,0,,1,1,0,,3,0,7.25,0,0,2,1,11,0,52.38,52.38
"2020-03-12",2,1,0,,1,1,0,,1,1,0,,3,0,7.25,0,0,2,1,13,0,52.38,52.38
"2020-03-13",2,1,0,,1,1,0,,1,1,0,,3,0,7.25,0,0,2,1,13,0,52.38,52.38
"2020-03-14",2,1,0,,2,1,0,,1,1,1,1,3,0,7.25,0,0,2,1,,,66.67,66.67
"2020-03-15",2,1,0,,2,1,0,,1,1,1,1,3,0,7.25,0,0,2,1,19,0,66.67,66.67
"2020-03-16",2,1,0,,2,1,0,,1,1,1,1,3,0,7.25,0,0,2,1,19,0,66.67,66.67
"2020-03-17",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,19,0,66.67,66.67
"2020-03-18",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,28,0,66.67,66.67
"2020-03-19",2,1,0,,2,1,0,,1,1,2,0,3,588235290,7.25,0,0,2,1,34,0,66.67,66.67
"2020-03-20",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,44,0,66.67,66.67
"2020-03-21",2,1,0,,2,1,0,,1,1,2,0,3,11989705.9,7.25,0,0,2,1,44,1,66.67,66.67
"2020-03-22",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,53,1,66.67,66.67
"2020-03-23",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,65,1,66.67,66.67
"2020-03-24",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,72,1,66.67,66.67
"2020-03-25",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,87,1,66.67,66.67
"2020-03-26",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,93,2,66.67,66.67
"2020-03-27",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,122,3,66.67,66.67
"2020-03-28",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,165,3,66.67,66.67
"2020-03-29",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,182,4,66.67,66.67
"2020-03-30",2,1,0,,2,1,0,,1,1,2,0,3,0,7.25,0,0,2,1,209,4,66.67,66.67
"2020-03-31",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,273,4,85.71,85.71
"2020-04-01",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,298,5,85.71,85.71
"2020-04-02",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,359,5,85.71,85.71
"2020-04-03",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,400,5,85.71,85.71
"2020-04-04",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,443,5,85.71,85.71
"2020-04-05",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,521,5,85.71,85.71
"2020-04-06",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,584,7,85.71,85.71
"2020-04-07",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,641,7,85.71,85.71
"2020-04-08",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,717,8,85.71,85.71
"2020-04-09",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,822,8,85.71,85.71
"2020-04-10",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,926,9,85.71,85.71
"2020-04-11",2,1,2,1,2,1,0,,1,1,2,1,3,0,7.25,0,0,2,1,991,10,85.71,85.71
