Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,,,14.29,14.29
"2020-03-01",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,,,14.29,14.29
"2020-03-02",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,,,14.29,14.29
"2020-03-03",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,,,14.29,14.29
"2020-03-04",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,,,14.29,14.29
"2020-03-05",2,1,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,,,28.57,28.57
"2020-03-06",2,1,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,,,28.57,28.57
"2020-03-07",2,1,0,,0,,0,,1,1,0,,0,0,0,0,0,0,0,,,28.57,28.57
"2020-03-08",2,1,0,,0,,0,,1,1,0,,1,0,0,0,0,1,0,2,0,33.33,33.33
"2020-03-09",2,1,0,,0,,0,,1,1,0,,1,0,0,0,0,1,0,4,0,33.33,33.33
"2020-03-10",2,1,0,,0,,0,,1,1,0,,1,0,0,0,0,1,0,,,33.33,33.33
"2020-03-11",2,1,0,,0,,0,,1,1,0,,1,0,0,0,0,1,0,,,33.33,33.33
"2020-03-12",2,1,0,,0,,0,,1,1,0,,1,0,0,0,0,1,0,7,1,33.33,33.33
"2020-03-13",2,1,1,1,2,1,0,,1,1,2,1,1,0,0,0,0,1,0,23,1,71.43,71.43
"2020-03-14",2,1,1,1,2,1,0,,1,1,2,1,1,0,0,0,0,1,0,31,1,71.43,71.43
"2020-03-15",2,1,1,1,2,1,0,,1,1,2,1,1,0,0,0,0,1,0,41,2,71.43,71.43
"2020-03-16",2,1,1,1,2,1,0,,1,1,2,1,1,284000000,0,0,0,1,0,51,2,71.43,71.43
"2020-03-17",2,1,1,1,2,1,0,,1,1,2,1,1,0,0,11314041,0,1,0,62,2,71.43,71.43
"2020-03-18",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,81,2,80.95,80.95
"2020-03-19",2,1,1,1,2,1,0,,1,1,2,1,3,5140000000,0,0,0,1,0,92,2,80.95,80.95
"2020-03-20",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,105,3,80.95,80.95
"2020-03-21",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,127,3,80.95,80.95
"2020-03-22",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,163,3,80.95,80.95
"2020-03-23",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,185,3,80.95,80.95
"2020-03-24",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,201,3,80.95,80.95
"2020-03-25",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,220,3,80.95,80.95
"2020-03-26",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,242,3,80.95,80.95
"2020-03-27",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,264,3,80.95,80.95
"2020-03-28",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,293,3,80.95,80.95
"2020-03-29",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,331,7,80.95,80.95
"2020-03-30",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,346,8,80.95,80.95
"2020-03-31",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,359,8,80.95,80.95
"2020-04-01",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,399,8,80.95,80.95
"2020-04-02",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,422,10,80.95,80.95
"2020-04-03",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,457,10,80.95,80.95
"2020-04-04",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,485,14,80.95,80.95
"2020-04-05",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,503,17,80.95,80.95
"2020-04-06",2,1,1,1,2,1,0,,1,1,2,1,3,5500000000,0,0,0,1,0,531,20,80.95,80.95
"2020-04-07",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,549,22,80.95,80.95
"2020-04-08",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,577,23,80.95,80.95
"2020-04-09",2,1,1,1,2,1,0,,1,1,2,1,3,0,0,0,0,1,0,593,24,80.95,80.95
"2020-04-10",2,1,1,1,2,1,,,,,2,1,,,,,,,,624,24
"2020-04-11",2,1,1,1,2,1,,,,,2,1,,,,,,,,635,25
