Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,,0,,0,,0,,0,,1,0,1.75,35,0,1,1,16,0,4.76,4.76
"2020-03-01",0,,0,,0,,0,,0,,0,,1,0,1.75,35,0,1,1,20,0,4.76,4.76
"2020-03-02",0,,0,,0,,0,,0,,0,,1,0,1.75,35,0,1,1,24,0,4.76,4.76
"2020-03-03",0,,0,,0,,0,,0,,0,,1,0,1.75,35,0,1,1,27,0,4.76,4.76
"2020-03-04",0,,0,,0,,0,,0,,0,,1,0,1.25,35,0,1,1,30,0,4.76,4.76
"2020-03-05",0,,0,,0,,0,,0,,0,,1,0,1.25,35,0,1,1,33,0,4.76,4.76
"2020-03-06",0,,0,,0,,0,,0,,0,,1,0,1.25,35,0,1,1,45,0,4.76,4.76
"2020-03-07",0,,0,,0,,0,,0,,0,,1,0,1.25,35,0,1,1,51,0,4.76,4.76
"2020-03-08",0,,0,,0,,0,,0,,0,,1,0,1.25,35,0,1,1,57,0,4.76,4.76
"2020-03-09",0,,0,,0,,0,,0,,0,,1,0,1.25,35,0,2,1,62,0,4.76,4.76
"2020-03-10",0,,0,,0,,0,,0,,0,,1,0,1.25,35,0,2,1,77,1,4.76,4.76
"2020-03-11",0,,0,,0,,0,,1,1,0,,1,11000000,0.25,562,200000000,2,1,93,1,19.05,19.05
"2020-03-12",0,,0,,2,0,0,,1,1,0,,1,0,0.25,562,191,2,1,103,1,28.57,28.57
"2020-03-13",0,,0,,2,0,0,,1,1,0,,1,0,0.25,562,191,2,1,138,1,28.57,28.57
"2020-03-14",0,,0,,2,0,0,,1,1,0,,1,0,0.25,562,191,2,1,176,1,28.57,28.57
"2020-03-15",0,,0,,2,0,0,,1,1,0,,1,0,0.25,562,191,2,1,244,1,28.57,28.57
"2020-03-16",2,0,0,,2,0,0,,1,1,0,,1,0,0.25,562,191,2,1,304,1,38.1,38.1
"2020-03-17",2,0,0,,2,0,0,,1,1,0,,1,0,0.25,562,191,2,1,424,4,38.1,38.1
"2020-03-18",2,0,2,0,2,0,0,,1,1,0,,3,367000000,0.75,562,191,2,1,569,8,57.14,57.14
"2020-03-19",2,0,2,0,2,0,0,,1,1,0,,3,0,0.75,562,191,3,1,690,9,57.14,57.14
"2020-03-20",2,1,2,0,2,0,0,,1,1,2,0,3,0,0.75,562,191,3,1,846,10,71.43,71.43
"2020-03-21",2,1,2,0,2,0,0,,1,1,2,0,3,0,0.75,562,191,3,1,971,12,71.43,71.43
"2020-03-22",2,1,2,0,2,0,0,,1,1,2,0,3,0,0.75,562,191,3,1,1302,18,71.43,71.43
"2020-03-23",2,1,2,0,2,0,0,,1,1,2,0,3,0,0.75,562,191,3,1,1430,20,71.43,71.43
"2020-03-24",2,1,2,0,2,0,0,,1,1,2,0,3,0,0.75,562,191,3,1,1646,24,71.43,71.43
"2020-03-25",2,1,2,0,2,0,0,,1,1,2,0,3,0,0.75,562,191,3,1,1959,27,71.43,71.43
"2020-03-26",2,1,2,0,2,0,0,,1,1,2,0,3,0,0.75,562,191,3,1,3385,35,71.43,71.43
"2020-03-27",2,1,2,0,2,0,0,,1,1,2,0,3,0,0.25,562,191,3,1,4018,39,71.43,71.43
"2020-03-28",2,1,2,0,2,0,0,,1,1,2,0,3,0,0.25,562,191,3,1,4675,53,71.43,71.43
"2020-03-29",2,1,2,0,2,0,0,,1,1,2,0,3,0,0.25,562,191,3,1,5386,60,71.43,71.43
"2020-03-30",2,1,2,0,2,0,0,,1,1,2,0,3,0,0.25,562,191,3,1,6255,61,71.43,71.43
"2020-03-31",2,1,2,0,2,1,0,,1,1,2,0,3,229000000,0.25,1951,191,3,1,7424,89,76.19,76.19
"2020-04-01",2,1,2,1,2,1,0,,1,1,2,0,3,0,0.25,1951,191,3,1,8536,96,80.95,80.95
"2020-04-02",2,1,2,1,2,1,0,,1,1,2,0,3,0,0.25,0,0,3,1,9595,109,80.95,80.95
"2020-04-03",2,1,2,1,2,1,0,,1,1,2,0,3,0,0.25,70800000,0,3,1,11268,138,80.95,80.95
"2020-04-04",2,1,2,1,2,1,0,,1,1,2,0,3,0,0.25,0,0,3,1,12519,187,80.95,80.95
"2020-04-05",2,1,2,1,2,1,0,,1,1,2,0,3,0,0.25,0,0,3,1,13882,231,80.95,80.95
"2020-04-06",2,1,2,1,2,1,0,,1,1,2,0,3,0,0.25,0,0,3,1,15496,280,80.95,80.95
"2020-04-07",2,1,2,1,2,1,0,,1,1,2,1,3,0,0.25,0,0,3,1,16653,323,85.71,85.71
"2020-04-08",2,1,2,1,2,1,0,,1,1,2,1,3,0,0.25,0,0,3,1,17883,380,85.71,85.71
"2020-04-09",2,1,2,1,2,1,0,,1,1,2,1,3,0,0.25,0,0,3,1,19274,435,85.71,85.71
"2020-04-10",2,1,2,1,2,1,0,,1,1,2,1,3,0,0.25,0,0,3,1,20748,509,85.71,85.71
"2020-04-11",2,1,2,1,2,1,0,,1,1,2,1,3,0,0.25,0,0,3,1,22133,569,85.71,85.71
