Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,0,0,2,2,79355,2837,76.19,76.19
"2020-03-01",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,0,0,2,2,79929,2872,76.19,76.19
"2020-03-02",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,0,0,2,2,80134,2914,76.19,76.19
"2020-03-03",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,0,0,2,2,80261,2946,76.19,76.19
"2020-03-04",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,1566000000,0,2,2,80380,2983,76.19,76.19
"2020-03-05",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,0,0,2,2,80497,3014,76.19,76.19
"2020-03-06",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,0,0,2,2,80667,3044,76.19,76.19
"2020-03-07",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,0,0,2,2,80768,3072,76.19,76.19
"2020-03-08",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,0,0,2,2,80814,3099,76.19,76.19
"2020-03-09",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,0,0,2,2,80859,3122,76.19,76.19
"2020-03-10",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,0,0,2,2,80879,3139,76.19,76.19
"2020-03-11",2,1,2,0,2,0,2,0,1,1,2,0,2,0,4.05,0,0,2,2,80908,3161,76.19,76.19
"2020-03-12",2,1,2,0,2,0,2,0,1,1,1,0,2,0,4.05,0,0,2,2,80932,3172,71.43,71.43
"2020-03-13",2,1,2,0,2,0,2,0,1,1,1,0,2,0,4.05,0,0,2,2,80954,3179,71.43,71.43
"2020-03-14",2,1,2,0,2,0,2,0,1,1,1,0,2,0,4.05,0,0,2,2,80973,3194,71.43,71.43
"2020-03-15",2,1,2,0,2,0,2,0,1,1,1,0,2,129000000000,4.05,0,0,2,2,80995,3203,71.43,71.43
