Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",2,0,0,,1,1,0,,1,0,0,,1,0,0,0,0,1,2,57,0,30.95,30.95
"2020-03-01",2,0,0,,1,1,0,,1,0,0,,1,0,0,0,0,1,2,111,0,30.95,30.95
"2020-03-02",2,0,0,,1,1,0,,1,0,0,,1,0,0,0,0,1,2,129,0,30.95,30.95
"2020-03-03",2,0,0,,1,1,0,,1,0,0,,1,0,0,0,0,1,2,157,0,30.95,30.95
"2020-03-04",2,0,0,,1,1,0,,1,0,0,,1,0,0,0,0,1,2,196,0,30.95,30.95
"2020-03-05",2,0,0,,1,1,0,,1,0,0,,1,0,0,0,0,1,2,262,0,30.95,30.95
"2020-03-06",2,0,0,,1,1,0,,1,0,0,,1,0,0,0,0,1,2,400,0,30.95,30.95
"2020-03-07",2,0,0,,1,1,0,,1,0,0,,1,0,0,0,0,1,2,684,0,30.95,30.95
"2020-03-08",2,0,0,,1,1,0,,1,0,0,,1,0,0,0,0,1,2,847,0,30.95,30.95
"2020-03-09",2,0,0,,1,1,0,,1,0,0,,1,0,0,0,0,1,2,902,0,30.95,30.95
"2020-03-10",2,0,0,,2,0,0,,1,0,0,,1,0,0,0,0,1,2,1139,2,30.95,30.95
"2020-03-11",2,0,0,,2,0,0,,1,0,0,,1,0,0,0,0,1,2,1296,2,30.95,30.95
"2020-03-12",2,0,0,,2,0,0,,1,0,0,,1,0,0,0,0,1,2,1567,3,30.95,30.95
"2020-03-13",2,0,0,,2,0,0,,1,0,0,,1,0,0,0,0,1,2,2369,5,30.95,30.95
"2020-03-14",2,0,0,,2,0,0,,1,0,0,,1,0,0,0,0,1,2,3062,5,30.95,30.95
"2020-03-15",2,0,0,,2,0,0,,1,0,0,,1,0,0,0,0,1,2,3795,8,30.95,30.95
"2020-03-16",2,1,0,,2,0,0,,1,0,0,,3,0,0,0,0,1,2,4838,12,45.24,45.24
"2020-03-17",2,1,0,,2,0,0,,1,0,0,,3,0,0,0,0,1,2,6012,13,45.24,45.24
"2020-03-18",2,1,0,,2,0,0,,1,0,1,1,3,0,0,0,0,1,1,7156,13,54.76,54.76
"2020-03-19",2,1,0,,2,0,0,,1,0,1,1,3,0,0,0,0,1,1,8198,13,54.76,54.76
"2020-03-20",2,1,0,,2,1,0,,1,0,2,0,3,0,0,0,0,1,1,14138,43,59.52,59.52
"2020-03-21",2,1,0,,2,1,0,,1,0,2,0,3,0,0,0,0,1,1,18187,45,59.52,59.52
"2020-03-22",2,1,1,1,2,1,0,,1,0,2,1,3,0,0,0,0,1,1,21463,67,73.81,73.81
"2020-03-23",2,1,1,1,2,1,0,,1,0,2,1,3,68442949672.71,0,62997723800,156510825,1,1,24774,94,73.81,73.81
"2020-03-24",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,29212,126,73.81,73.81
"2020-03-25",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,31554,149,73.81,73.81
"2020-03-26",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,36508,198,73.81,73.81
"2020-03-27",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,42288,253,73.81,73.81
"2020-03-28",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,48582,325,73.81,73.81
"2020-03-29",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,52547,389,73.81,73.81
"2020-03-30",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,57298,455,73.81,73.81
"2020-03-31",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,61913,583,73.81,73.81
"2020-04-01",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,67366,732,73.81,73.81
"2020-04-02",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,73522,872,73.81,73.81
"2020-04-03",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,79696,1017,73.81,73.81
"2020-04-04",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,85778,1158,73.81,73.81
"2020-04-05",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,91714,1342,73.81,73.81
"2020-04-06",2,1,1,1,2,1,0,1,1,0,2,1,3,0,0,0,0,1,1,95391,1434,73.81,73.81
"2020-04-07",2,1,1,1,2,1,0,,1,0,2,1,3,0,0,0,0,1,1,99225,1607,73.81,73.81
"2020-04-08",2,1,1,1,2,1,0,,1,0,2,1,3,0,0,0,0,1,1,103228,1861,73.81,73.81
"2020-04-09",2,1,1,1,1,1,1,1,1,0,2,1,3,0,0,0,0,1,0,108202,2107,78.57,78.57
"2020-04-10",2,1,1,1,1,1,1,1,1,0,2,1,3,0,0,0,0,1,0,113525,2373,78.57,78.57
"2020-04-11",2,1,1,1,1,1,1,1,1,0,2,1,3,0,0,0,0,1,0,117658,2544,78.57,78.57
