Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,0,0,0,0,0,0,,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0
"2020-03-01",0,0,0,0,0,0,0,,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0
"2020-03-02",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,0,1,0,14.29,14.29
"2020-03-03",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,0,,,14.29,14.29
"2020-03-04",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,0,,,14.29,14.29
"2020-03-05",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,0,,,14.29,14.29
"2020-03-06",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,0,,,14.29,14.29
"2020-03-07",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,0,2,0,14.29,14.29
"2020-03-08",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,0,,,14.29,14.29
"2020-03-09",1,1,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,0,,,23.81,23.81
"2020-03-10",1,1,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,0,5,0,23.81,23.81
"2020-03-11",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,0,,,14.29,14.29
"2020-03-12",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,1,,,14.29,14.29
"2020-03-13",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,1,,,14.29,14.29
"2020-03-14",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,1,11,0,14.29,14.29
"2020-03-15",0,0,0,0,0,0,0,,1,1,0,0,0,0,4.5,0,0,0,1,11,0,14.29,14.29
"2020-03-16",1,1,0,0,0,0,0,,1,1,0,0,3,0,3.5,0,0,0,1,11,0,38.1,38.1
"2020-03-17",1,1,0,0,0,0,0,,1,1,0,0,3,1,3.5,0,0,0,1,11,0,38.1,38.1
"2020-03-18",1,1,0,0,2,1,0,,1,1,0,0,3,1,3.5,0,0,0,1,11,0,52.38,52.38
"2020-03-19",1,1,1,1,2,1,0,,1,1,0,0,3,0,3.5,0,0,0,1,21,0,61.9,61.9
"2020-03-20",1,1,1,1,2,1,0,,1,1,2,1,3,0,3.5,0,0,0,1,21,0,76.19,76.19
"2020-03-21",1,1,1,1,2,1,0,,1,1,2,1,3,0,3.5,0,0,0,1,34,2,76.19,76.19
"2020-03-22",1,1,1,1,2,1,0,,1,1,2,1,3,0,3.5,0,0,2,1,112,3,76.19,76.19
"2020-03-23",1,1,1,1,2,1,0,,1,1,2,1,3,0,3.5,0,0,2,1,202,3,76.19,76.19
"2020-03-24",1,1,1,1,2,1,0,,1,1,2,1,3,0,3.5,0,0,2,1,245,3,76.19,76.19
"2020-03-25",1,1,1,1,2,1,0,,1,1,2,1,3,0,3.5,0,0,2,1,312,6,76.19,76.19
"2020-03-26",1,1,1,1,2,1,0,,1,1,2,1,3,0,3.5,0,0,2,1,392,10,76.19,76.19
"2020-03-27",1,1,1,1,2,1,0,,1,1,2,1,3,0,3.5,0,0,2,1,488,10,76.19,76.19
"2020-03-28",1,1,1,1,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,581,20,85.71,85.71
"2020-03-29",1,1,1,1,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,719,28,85.71,85.71
"2020-03-30",1,1,1,1,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,859,39,85.71,85.71
"2020-03-31",1,1,1,1,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,,901,42,85.71,85.71
"2020-04-01",1,1,1,1,2,1,,,1,1,2,1,3,138542527.5,3.5,,0,2,,1109,51,76.19,76.19
"2020-04-02",1,1,2,0,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,1284,57,85.71,85.71
"2020-04-03",1,1,2,0,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,1380,60,85.71,85.71
"2020-04-04",1,1,2,0,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,1488,68,85.71,85.71
"2020-04-05",1,1,2,0,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,1578,77,85.71,85.71
"2020-04-06",1,1,2,0,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,1745,82,85.71,85.71
"2020-04-07",1,1,2,0,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,1828,86,85.71,85.71
"2020-04-08",1,1,2,0,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,1956,98,85.71,85.71
"2020-04-09",1,1,2,0,2,1,2,0,1,1,2,0,3,0,3.5,0,0,2,1,2111,108,80.95,80.95
"2020-04-10",1,1,2,0,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,2349,118,85.71,85.71
"2020-04-11",1,1,2,0,2,1,2,0,1,1,2,1,3,0,3.5,0,0,2,1,2620,126,85.71,85.71
