Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",2,1,2,1,2,1,0,0,1,1,1,1,3,0,2,0,0,2,2,95,2,80.95,80.95
"2020-03-01",2,1,2,1,2,1,0,0,1,1,1,1,3,0,2,0,0,2,2,96,2,80.95,80.95
"2020-03-02",2,1,0,0,2,1,0,0,1,1,1,1,3,0,2,0,0,2,2,100,2,66.67,66.67
"2020-03-03",2,1,0,0,2,1,0,0,1,1,1,1,3,0,2,0,0,2,2,100,2,66.67,66.67
"2020-03-04",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,105,2,66.67,66.67
"2020-03-05",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,105,2,66.67,66.67
"2020-03-06",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,107,2,66.67,66.67
"2020-03-07",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,108,2,66.67,66.67
"2020-03-08",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,114,3,66.67,66.67
"2020-03-09",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,115,3,66.67,66.67
"2020-03-10",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,120,3,66.67,66.67
"2020-03-11",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,126,3,66.67,66.67
"2020-03-12",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,129,3,66.67,66.67
"2020-03-13",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,134,4,66.67,66.67
"2020-03-14",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,140,4,66.67,66.67
"2020-03-15",2,1,0,0,2,1,0,0,1,1,1,1,3,0,1.5,0,0,2,2,145,4,66.67,66.67
"2020-03-16",2,1,0,0,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,155,4,66.67,66.67
"2020-03-17",2,1,0,0,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,162,4,66.67,66.67
"2020-03-18",2,1,0,0,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,181,4,66.67,66.67
"2020-03-19",2,1,0,0,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,208,4,66.67,66.67
"2020-03-20",2,1,0,0,2,1,0,0,1,1,1,1,3,2580000000,0.86,0,0,2,2,256,4,66.67,66.67
"2020-03-21",2,1,0,0,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,273,4,66.67,66.67
"2020-03-22",2,1,0,0,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,317,4,66.67,66.67
"2020-03-23",2,1,2,1,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,356,4,80.95,80.95
"2020-03-24",2,1,2,1,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,386,4,80.95,80.95
"2020-03-25",2,1,2,1,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,410,4,80.95,80.95
"2020-03-26",2,1,2,1,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,453,4,80.95,80.95
"2020-03-27",2,1,2,1,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,519,4,80.95,80.95
"2020-03-28",2,1,2,1,2,1,0,0,1,1,1,1,3,0,0.86,0,0,2,2,561,4,80.95,80.95
"2020-03-29",2,1,2,1,2,1,0,0,1,1,2,1,3,0,0.86,0,0,2,2,641,4,85.71,85.71
"2020-03-30",2,1,2,1,2,1,0,0,1,1,2,1,3,0,0.86,0,0,2,2,682,4,85.71,85.71
"2020-03-31",2,1,2,1,2,1,0,0,1,1,2,1,3,0,0.86,0,0,2,2,714,4,85.71,85.71
"2020-04-01",2,1,2,1,2,1,0,0,1,1,2,1,3,0,0.86,0,0,2,2,765,4,85.71,85.71
"2020-04-02",2,1,2,1,2,1,0,0,1,1,2,1,3,0,0.86,0,0,2,2,802,4,85.71,85.71
"2020-04-03",2,1,2,1,2,1,0,0,1,1,2,1,3,0,0.86,0,0,2,2,845,4,85.71,85.71
"2020-04-04",2,1,2,1,2,1,0,,1,1,2,1,3,0,0.86,0,0,2,2,862,4,85.71,85.71
"2020-04-05",2,1,2,1,2,1,0,,1,1,2,1,3,0,0.86,0,0,2,2,890,4,85.71,85.71
"2020-04-06",2,1,2,1,2,1,0,,1,1,2,1,3,0,0.86,0,0,2,2,914,4,85.71,85.71
"2020-04-07",2,1,2,1,2,1,0,,1,1,2,1,3,0,0.86,0,0,2,2,935,4,85.71,85.71
"2020-04-08",2,1,2,1,2,1,0,,1,1,2,1,3,17737249075.6,0.86,0,0,2,2,960,4,85.71,85.71
"2020-04-09",2,1,2,1,2,1,0,,1,1,2,1,3,0,0.86,0,0,2,2,973,4,85.71,85.71
