Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
"2020-03-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
"2020-03-02",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,14.29,14.29
"2020-03-03",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,14.29,14.29
"2020-03-04",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,,,14.29,14.29
"2020-03-05",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,,,14.29,14.29
"2020-03-06",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,,,14.29,14.29
"2020-03-07",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,,,14.29,14.29
"2020-03-08",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,,,14.29,14.29
"2020-03-09",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,,,14.29,14.29
"2020-03-10",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,,,14.29,14.29
"2020-03-11",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,,,14.29,14.29
"2020-03-12",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4400000,0,2,1,2,0,14.29,14.29
"2020-03-13",2,1,0,0,2,1,0,0,1,1,0,0,0,0,0,420000000,0,2,1,,,42.86,42.86
"2020-03-14",2,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,2,1,3,0,42.86,42.86
"2020-03-15",2,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,2,1,,,42.86,42.86
"2020-03-16",2,1,0,0,2,1,0,0,1,1,0,0,3,0,0,0,0,2,1,6,0,57.14,57.14
"2020-03-17",2,1,0,0,2,1,0,0,1,1,0,0,3,0,0,0,0,2,1,8,0,57.14,57.14
"2020-03-18",2,1,0,0,2,1,0,0,1,1,0,0,3,0,0,0,0,2,1,9,0,57.14,57.14
"2020-03-19",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,12,0,71.43,71.43
"2020-03-20",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,24,0,71.43,71.43
"2020-03-21",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,24,0,71.43,71.43
"2020-03-22",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,26,0,71.43,71.43
"2020-03-23",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,27,0,71.43,71.43
"2020-03-24",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,30,0,71.43,71.43
"2020-03-25",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,36,0,71.43,71.43
"2020-03-26",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,52,0,71.43,71.43
"2020-03-27",2,1,0,,2,1,0,0,1,1,2,1,3,420000000,4.5,4400000,0,2,1,67,1,71.43,71.43
"2020-03-28",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,95,1,71.43,71.43
"2020-03-29",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,110,2,71.43,71.43
"2020-03-30",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,139,3,71.43,71.43
"2020-03-31",2,1,0,,2,1,0,0,1,1,2,1,3,0,4.5,0,0,2,1,141,7,71.43,71.43
"2020-04-01",2,1,2,1,2,1,2,1,1,1,2,1,3,0,4.5,0,0,2,1,172,10,100,100
"2020-04-02",2,1,2,1,2,1,2,1,1,1,2,1,3,0,4.5,0,0,1,1,219,14,100,100
"2020-04-03",2,1,2,1,2,1,2,1,1,1,2,1,3,0,4.5,0,0,1,1,222,15,100,100
"2020-04-04",2,1,2,1,2,1,2,1,1,1,2,1,3,0,4.5,0,0,1,,264,15,100,100
"2020-04-05",2,1,2,1,2,1,2,1,1,1,2,1,3,0,4.5,0,0,1,,268,22,100,100
"2020-04-06",2,1,2,1,2,1,2,1,1,1,2,1,3,0,4.5,0,0,1,,298,22,100,100
"2020-04-07",2,1,2,1,2,1,2,1,1,1,2,1,3,0,4.5,0,0,1,,305,22,100,100
"2020-04-08",2,1,2,1,2,1,2,1,1,1,2,1,3,0,4.5,0,0,1,,312,22,100,100
"2020-04-09",,,2,1,2,1,2,1,,,2,1,,,4.5,0,,1,,343,23
"2020-04-10",,,2,1,2,1,2,1,,,2,1,,,,,,,,382,23
"2020-04-11",,,2,1,2,1,2,1,,,2,1,,,,,,,,392,24
