Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,1,0,1,0,,0,1,1,0,0,1,0,0,0,0,0,2,1,0,0,7.14,7.14
"2020-03-01",0,1,0,1,0,,0,1,1,0,0,1,0,0,0,0,0,2,1,1,0,7.14,7.14
"2020-03-02",0,1,0,1,0,,0,1,1,0,0,1,0,0,0,0,0,2,1,1,0,7.14,7.14
"2020-03-03",0,1,0,1,0,,0,1,1,0,0,1,0,0,0,0,0,2,1,,,7.14,7.14
"2020-03-04",0,1,0,1,0,,0,1,1,0,0,1,0,0,0,0,0,2,1,2,0,7.14,7.14
"2020-03-05",0,1,0,1,0,,0,1,1,0,0,1,0,0,0,0,0,2,1,6,0,7.14,7.14
"2020-03-06",0,1,0,1,0,,0,1,1,0,0,1,0,0,0,0,0,2,1,13,0,7.14,7.14
"2020-03-07",0,1,0,1,0,,0,1,1,0,0,1,0,0,0,0,0,2,1,18,0,7.14,7.14
"2020-03-08",0,1,0,1,0,,0,1,1,0,0,1,0,0,0,0,0,2,1,19,0,7.14,7.14
"2020-03-09",0,1,0,1,0,,0,,1,0,0,,0,6397171200,0,496923136,0,2,1,21,0,7.14,7.14
"2020-03-10",0,1,0,1,0,,0,,1,0,0,,0,0,0,0,0,2,1,,,7.14,7.14
"2020-03-11",0,1,0,1,0,,0,,1,0,0,,0,0,0,0,0,2,1,35,0,7.14,7.14
"2020-03-12",2,1,1,1,2,1,0,,1,1,0,,0,0,0,0,0,2,1,43,1,52.38,52.38
"2020-03-13",2,1,1,1,2,1,0,,1,1,0,,0,0,0,0,0,2,1,70,1,52.38,52.38
"2020-03-14",2,1,1,1,2,1,0,,1,1,0,,0,0,0,0,0,2,1,91,1,52.38,52.38
"2020-03-15",2,1,1,1,2,1,0,,1,1,0,,0,0,0,0,0,2,1,129,2,52.38,52.38
"2020-03-16",2,1,1,1,2,1,0,,1,1,0,,0,0,0,0,0,2,1,169,2,52.38,52.38
"2020-03-17",2,1,1,1,2,1,0,,1,1,0,,0,0,0,0,0,2,1,223,2,52.38,52.38
"2020-03-18",2,1,1,1,2,1,0,,1,1,0,,0,0,0,0,0,2,1,292,2,52.38,52.38
"2020-03-19",2,1,1,1,2,1,0,,1,1,0,,0,216209600,0,0,0,2,1,366,2,52.38,52.38
"2020-03-20",2,1,1,1,2,1,1,1,1,1,0,1,0,0,0,0,0,2,1,557,3,61.9,61.9
"2020-03-21",2,1,1,1,2,1,1,1,1,1,0,1,0,0,0,0,0,2,1,683,3,61.9,61.9
"2020-03-22",2,1,1,1,2,1,1,1,1,1,0,1,0,0,0,0,0,2,1,785,3,61.9,61.9
"2020-03-23",2,1,1,1,2,1,1,1,1,1,0,1,0,0,0,0,0,2,1,906,4,61.9,61.9
"2020-03-24",2,1,1,1,2,1,1,1,1,1,0,1,0,0,0,0,0,2,1,1125,6,61.9,61.9
"2020-03-25",2,1,1,1,2,1,1,1,1,1,0,1,0,310714368,0,584993920,0,1,1,1329,7,61.9,61.9
"2020-03-26",2,1,1,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1564,9,61.9,61.9
"2020-03-27",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,1819,19,85.71,85.71
"2020-03-28",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,2121,22,85.71,85.71
"2020-03-29",2,1,2,1,2,1,2,1,1,1,2,1,0,310.7,0,585,0,1,1,2415,36,85.71,85.71
"2020-03-30",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,2615,46,85.71,85.71
"2020-03-31",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,2910,54,85.71,85.71
"2020-04-01",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,17496224,0,1,1,3235,71,85.71,85.71
"2020-04-02",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,3447,85,85.71,85.71
"2020-04-03",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,3849,98,85.71,85.71
"2020-04-04",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,4273,120,85.71,85.71
"2020-04-05",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,4604,137,85.71,85.71
"2020-04-06",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,5111,158,85.71,85.71
"2020-04-07",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,5364,174,85.71,85.71
"2020-04-08",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,5709,210,85.71,85.71
"2020-04-09",2,1,2,1,2,1,2,1,1,1,2,1,0,2742177.5,0,0,0,1,1,6224,235,85.71,85.71
"2020-04-10",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,7393,263,85.71,85.71
"2020-04-11",2,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,1,1,8089,287,85.71,85.71
