Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-01",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-02",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-03",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-04",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-05",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-06",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-07",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-08",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-09",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-10",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-11",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-12",0,,0,,0,,0,,1,1,0,,1,0,8.25,0,0,0,0,,,19.05,19.05
"2020-03-13",0,,0,,2,1,0,,1,1,0,,1,0,8.25,0,0,0,0,,,33.33,33.33
"2020-03-14",0,,0,,2,1,0,,1,1,0,,1,0,8.25,0,0,0,0,1,0,33.33,33.33
"2020-03-15",2,1,1,,2,1,0,,1,,0,,3,0,8.25,0,0,0,0,1,0,54.76,54.76
"2020-03-16",2,1,1,,2,1,0,,1,,0,,3,0,8.25,0,0,1,1,3,0,54.76,54.76
"2020-03-17",2,1,1,,2,1,0,,1,,0,,3,0,8.25,0,0,1,1,3,0,54.76,54.76
"2020-03-18",2,1,1,,2,1,0,,1,,0,,3,0,8.25,0,0,1,1,4,0,54.76,54.76
"2020-03-19",2,1,1,,2,1,0,,1,,0,,3,0,8.25,0,0,1,1,7,0,54.76,54.76
"2020-03-20",2,1,1,,2,1,0,,1,,0,,3,0,8.25,0,0,1,1,7,0,54.76,54.76
"2020-03-21",2,1,1,,2,1,0,,1,,0,,3,0,8.25,0,0,1,1,7,0,54.76,54.76
"2020-03-22",2,1,1,,2,1,0,,1,,0,,3,0,8.25,0,0,1,1,7,0,54.76,54.76
"2020-03-23",2,1,1,,2,1,0,,1,,0,,3,0,7.25,0,0,1,1,15,0,54.76,54.76
"2020-03-24",2,1,1,,2,1,0,,1,,0,,3,0,7.25,0,0,1,1,16,0,54.76,54.76
"2020-03-25",2,1,1,,2,1,0,,1,,0,,3,0,7.25,0,0,1,1,25,0,54.76,54.76
"2020-03-26",2,1,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,25,0,64.29,64.29
"2020-03-27",2,1,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,31,1,64.29,64.29
"2020-03-28",2,1,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,31,1,64.29,64.29
"2020-03-29",2,1,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,38,1,64.29,64.29
"2020-03-30",2,1,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,42,1,64.29,64.29
"2020-03-31",2,,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,50,1,59.52,59.52
"2020-04-01",2,,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,59,1,59.52,59.52
"2020-04-02",2,,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,81,1,59.52,59.52
"2020-04-03",2,,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,110,3,59.52,59.52
"2020-04-04",2,,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,122,4,59.52,59.52
"2020-04-05",2,,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,126,4,59.52,59.52
"2020-04-06",2,,1,,2,1,0,,1,,2,,3,18.78,7.25,0,0,1,1,142,4,59.52,59.52
"2020-04-07",2,,1,,2,1,0,,1,,2,,3,0,7.25,0,0,1,1,158,4,59.52,59.52
"2020-04-08",2,1,1,1,2,1,0,,1,1,2,,3,0,7.25,0,0,1,1,172,6,76.19,76.19
"2020-04-09",2,1,1,1,2,1,0,,1,1,2,,3,0,7.25,0,0,1,1,179,6,76.19,76.19
"2020-04-10",2,1,1,1,2,1,0,,1,1,2,,3,0,7.25,0,0,1,1,184,7,76.19,76.19
"2020-04-11",2,1,1,1,2,1,0,,1,1,2,,3,0,7.25,0,0,1,1,189,7,76.19,76.19
