Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,2931,16,61.9,61.9
"2020-03-01",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,3526,17,61.9,61.9
"2020-03-02",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,4212,22,61.9,61.9
"2020-03-03",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,4812,28,61.9,61.9
"2020-03-04",2,1,0,0,2,1,0,,1,1,1,0,3,9800000000,1.25,0,0,3,2,5328,32,61.9,61.9
"2020-03-05",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,5766,35,61.9,61.9
"2020-03-06",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,6284,42,61.9,61.9
"2020-03-07",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,6767,44,61.9,61.9
"2020-03-08",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,7134,50,61.9,61.9
"2020-03-09",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,7382,51,61.9,61.9
"2020-03-10",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,7513,54,61.9,61.9
"2020-03-11",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,7755,60,61.9,61.9
"2020-03-12",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,7869,66,61.9,61.9
"2020-03-13",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,7979,67,61.9,61.9
"2020-03-14",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,8086,72,61.9,61.9
"2020-03-15",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,8162,75,61.9,61.9
"2020-03-16",2,1,0,0,2,1,0,,1,1,1,0,3,0,1.25,0,0,3,2,8236,75,61.9,61.9
"2020-03-17",2,1,0,0,2,1,0,,1,1,1,0,3,0,0.75,0,0,3,2,8320,81,61.9,61.9
"2020-03-18",2,1,0,0,2,1,0,,1,1,1,0,3,0,0.75,0,0,3,2,8413,86,61.9,61.9
"2020-03-19",2,1,0,0,2,1,0,,1,1,1,0,3,0,0.75,0,0,3,2,8565,91,61.9,61.9
"2020-03-20",2,1,0,0,2,1,0,,1,1,1,0,3,0,0.75,0,0,3,2,8652,100,61.9,61.9
"2020-03-21",2,1,0,0,2,1,0,,1,1,2,1,3,0,0.75,0,0,3,2,8799,103,71.43,71.43
"2020-03-22",2,1,2,0,2,1,0,,1,1,2,1,3,0,0.75,0,0,3,2,8897,104,80.95,80.95
