Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,1,0,33.33,33.33
"2020-03-01",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,1,0,33.33,33.33
"2020-03-02",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,1,0,33.33,33.33
"2020-03-03",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,,,33.33,33.33
"2020-03-04",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,,,33.33,33.33
"2020-03-05",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,,,33.33,33.33
"2020-03-06",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,,,33.33,33.33
"2020-03-07",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,,,33.33,33.33
"2020-03-08",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,,,33.33,33.33
"2020-03-09",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,,,33.33,33.33
"2020-03-10",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,,,33.33,33.33
"2020-03-11",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,,,33.33,33.33
"2020-03-12",0,,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,2,0,33.33,33.33
"2020-03-13",2,1,0,1,0,,0,,1,1,1,1,2,0,7,0,0,1,2,3,0,47.62,47.62
"2020-03-14",2,1,0,1,2,1,0,,1,1,1,1,3,0,7,0,0,1,2,6,0,66.67,66.67
"2020-03-15",2,1,0,1,2,1,0,,1,1,1,1,3,0,7,0,0,1,2,11,0,66.67,66.67
"2020-03-16",2,1,2,1,2,1,0,,1,1,1,1,3,0,6.25,0,0,1,2,19,0,80.95,80.95
"2020-03-17",2,1,2,1,2,1,0,,1,1,1,1,3,0,6.25,0,0,1,2,29,0,80.95,80.95
"2020-03-18",2,1,2,1,2,1,0,,1,1,2,0,3,0,6.25,0,0,1,2,42,0,80.95,80.95
"2020-03-19",2,1,2,1,2,1,0,,1,1,2,0,3,500000000,6.25,0,0,1,2,42,0,80.95,80.95
"2020-03-20",2,1,2,1,2,1,1,1,1,1,2,0,3,0,6.25,0,0,1,2,53,0,90.48,90.48
"2020-03-21",2,1,2,1,2,1,1,1,1,1,2,1,3,0,6.25,0,0,1,2,66,0,95.24,95.24
"2020-03-22",2,1,2,1,2,1,1,1,1,1,2,1,3,0,6.25,0,0,1,2,78,0,95.24,95.24
"2020-03-23",2,1,2,1,2,1,2,0,1,1,2,1,3,534736,6.25,5000000,0,1,2,87,0,95.24,95.24
"2020-03-24",2,1,2,1,2,1,2,0,1,1,2,1,3,0,6.25,0,0,1,2,97,0,95.24,95.24
"2020-03-25",2,1,2,1,2,1,2,0,1,1,2,1,3,0,6.25,0,0,1,2,102,0,95.24,95.24
"2020-03-26",2,1,2,1,2,1,2,0,1,1,2,1,3,0,6.25,0,0,1,2,102,0,95.24,95.24
"2020-03-27",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6.25,0,0,1,2,106,0,100,100
"2020-03-28",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6.25,0,0,1,2,106,0,100,100
"2020-03-29",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6.25,0,0,1,2,115,1,100,100
"2020-03-30",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6.25,0,0,1,2,120,1,100,100
"2020-03-31",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6.25,0,0,1,2,120,1,100,100
"2020-04-01",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6.25,0,0,1,2,122,2,100,100
"2020-04-02",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6.25,128600000,0,1,2,143,2,100,100
"2020-04-03",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6,0,0,1,2,148,3,100,100
"2020-04-04",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6,0,0,1,2,151,4,100,100
"2020-04-05",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6,0,0,1,2,159,5,100,100
"2020-04-06",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6,0,0,1,2,166,5,100,100
"2020-04-07",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6,0,0,2,2,178,5,100,100
"2020-04-08",2,1,2,1,2,1,2,1,1,1,2,1,3,0,6,0,0,2,2,185,6,100,100
"2020-04-09",2,1,,,2,1,,,,,,,,,,,,2,,189,7
"2020-04-10",2,1,,,2,1,,,,,,,,,,,,2,,190,7
"2020-04-11",2,1,,,2,1,,,,,,,,,,,,,,197,7
