Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,1,0,6,0,14.29,14.29
"2020-03-01",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,1,0,15,0,14.29,14.29
"2020-03-02",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,1,0,19,0,14.29,14.29
"2020-03-03",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,1,0,25,0,14.29,14.29
"2020-03-04",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,1,0,33,0,14.29,14.29
"2020-03-05",0,,0,,0,,0,,1,1,,,0,0,0,0,0,1,0,56,0,14.29,14.29
"2020-03-06",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,1,0,86,0,14.29,14.29
"2020-03-07",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,1,0,113,0,14.29,14.29
"2020-03-08",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,1,0,147,0,14.29,14.29
"2020-03-09",0,,0,,0,,0,,1,1,0,,0,0,0,0,0,1,0,169,0,14.29,14.29
"2020-03-10",0,,1,1,0,,0,,1,1,0,,0,0,0,0,0,1,0,192,0,23.81,23.81
"2020-03-11",0,,1,1,0,,0,,1,1,0,,0,0,0,0,0,1,0,277,0,23.81,23.81
"2020-03-12",2,1,1,1,2,1,0,,1,1,0,,0,0,0,0,0,1,0,489,0,52.38,52.38
"2020-03-13",2,1,1,1,2,1,0,,1,1,0,,0,0,0,0,0,1,0,621,1,52.38,52.38
"2020-03-14",2,1,1,1,2,1,0,,1,1,0,,2,0,0,0,0,1,0,621,1,61.9,61.9
"2020-03-15",2,1,1,1,2,1,0,,1,1,0,,3,0,0,0,0,1,0,907,1,66.67,66.67
"2020-03-16",2,1,1,1,2,1,0,,1,1,2,0,3,9729500000,0,0,0,1,0,1077,1,76.19,76.19
"2020-03-17",2,1,1,1,2,1,0,,1,1,2,0,3,0,0,0,0,1,0,1169,3,76.19,76.19
"2020-03-18",2,1,1,1,2,1,0,,1,1,2,0,3,81041400,0,0,0,1,0,1308,3,76.19,76.19
"2020-03-19",2,1,1,1,2,1,0,,1,1,2,0,3,0,0,0,0,1,0,1423,3,76.19,76.19
"2020-03-20",2,1,1,1,2,1,0,,1,1,2,0,3,8666000000,0,0,0,1,0,1552,6,76.19,76.19
"2020-03-21",2,1,1,1,2,1,0,,1,1,2,0,3,0,0,0,0,1,0,1742,7,76.19,76.19
"2020-03-22",2,1,1,1,2,1,0,,1,1,2,0,3,0,0,0,0,1,0,1926,7,76.19,76.19
"2020-03-23",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,0,2132,7,85.71,85.71
"2020-03-24",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,0,2371,8,85.71,85.71
"2020-03-25",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,0,2566,10,85.71,85.71
"2020-03-26",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,0,2916,12,85.71,85.71
"2020-03-27",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,190372000,1,0,3156,14,85.71,85.71
"2020-03-28",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,0,3581,16,85.71,85.71
"2020-03-29",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,0,3845,20,85.71,85.71
"2020-03-30",2,1,1,1,2,1,1,1,1,1,2,0,3,658721,0,0,0,1,0,4102,22,85.71,85.71
"2020-03-31",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,14115450,0,1,0,4226,26,85.71,85.71
"2020-04-01",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,1,4447,28,85.71,85.71
"2020-04-02",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,9638900,0,1,1,4665,32,85.71,85.71
"2020-04-03",2,1,1,1,2,1,1,1,1,1,2,0,3,241066800,0,0,0,1,1,4935,42,85.71,85.71
"2020-04-04",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,1,5208,44,85.71,85.71
"2020-04-05",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,1,5510,50,85.71,85.71
"2020-04-06",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,1,5640,58,85.71,85.71
"2020-04-07",2,1,1,1,2,1,1,1,1,1,2,0,3,14641200,0,0,0,1,1,5755,59,85.71,85.71
"2020-04-08",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,1,5863,69,85.71,85.71
"2020-04-09",2,1,1,1,2,1,1,1,1,1,2,0,3,1952160,0,0,0,1,1,6010,80,85.71,85.71
"2020-04-10",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,0,0,1,1,6160,88,85.71,85.71
"2020-04-11",2,1,1,1,2,1,1,1,1,1,2,0,3,0,0,2943480,0,1,1,6244,92,85.71,85.71
