Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,,1,1,0,1,1,1,0,1,3,0,3.75,0,0,2,0,3,1,38.1,38.1
"2020-03-01",0,,0,,1,1,0,1,1,1,0,1,3,0,3.75,0,0,2,0,3,1,38.1,38.1
"2020-03-02",0,,0,,1,1,0,1,1,1,2,1,3,0,3.75,0,0,2,0,3,1,52.38,52.38
"2020-03-03",0,,0,,1,1,0,1,1,1,2,1,3,0,3.75,0,0,2,0,,,52.38,52.38
"2020-03-04",0,,0,,1,1,0,1,1,1,2,1,3,0,3.75,0,0,2,0,,,52.38,52.38
"2020-03-05",0,,0,,1,1,0,1,1,1,2,1,3,0,3.75,0,0,2,0,,,52.38,52.38
"2020-03-06",0,,0,,1,1,0,1,1,1,2,1,3,0,3.75,0,0,2,0,,,52.38,52.38
"2020-03-07",0,,0,,1,1,0,1,1,1,2,1,3,0,3.75,0,0,2,0,5,1,52.38,52.38
"2020-03-08",0,,0,,1,1,0,1,1,1,2,1,3,0,3.75,0,0,2,0,6,1,52.38,52.38
"2020-03-09",0,,0,,1,1,0,1,1,1,2,1,3,0,3.75,0,0,2,0,10,1,52.38,52.38
"2020-03-10",0,,0,,1,1,0,1,1,1,2,1,3,0,3.75,0,0,2,0,33,1,52.38,52.38
"2020-03-11",0,,0,,1,1,0,1,1,1,2,1,3,0,3.75,0,0,2,0,33,1,52.38,52.38
"2020-03-12",0,,0,,1,1,0,1,1,1,2,1,3,0,3.75,0,0,2,0,49,2,52.38,52.38
"2020-03-13",2,1,1,,2,1,1,1,1,1,2,1,3,0,3.75,0,0,2,1,52,2,85.71,85.71
"2020-03-14",2,1,1,,2,1,1,1,1,1,2,1,3,0,3.75,0,0,2,1,64,6,85.71,85.71
"2020-03-15",2,1,1,,2,1,1,1,1,1,2,1,3,0,3.75,0,0,2,1,111,6,85.71,85.71
"2020-03-16",2,1,1,,2,1,1,1,1,1,2,1,3,0,3.75,0,0,2,1,140,12,85.71,85.71
"2020-03-17",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.75,0,0,2,2,142,12,85.71,85.71
"2020-03-18",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.75,0,0,2,2,187,14,85.71,85.71
"2020-03-19",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,202,17,85.71,85.71
"2020-03-20",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,230,18,85.71,85.71
"2020-03-21",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,230,18,85.71,85.71
"2020-03-22",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,380,25,85.71,85.71
"2020-03-23",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,380,25,85.71,85.71
"2020-03-24",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,462,33,85.71,85.71
"2020-03-25",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,552,35,85.71,85.71
"2020-03-26",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,636,38,85.71,85.71
"2020-03-27",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,707,45,85.71,85.71
"2020-03-28",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,803,54,85.71,85.71
"2020-03-29",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,1075,68,85.71,85.71
"2020-03-30",2,1,2,0,2,1,1,1,1,1,2,0,3,0,3.25,0,0,2,2,1418,71,85.71,85.71
"2020-03-31",2,1,2,0,2,1,1,1,1,1,2,0,3,3900000000,3.25,61336947.2,0,2,2,2084,88,85.71,85.71
"2020-04-01",2,1,2,0,2,1,1,1,1,1,2,0,3,3900000000,3.25,61336947.2,0,2,2,2084,88,85.71,85.71
"2020-04-02",2,1,2,0,2,1,1,1,1,1,2,0,3,3900000000,3.25,61336947.2,0,2,2,2311,96,85.71,85.71
"2020-04-03",2,1,2,0,2,1,1,1,1,1,2,0,3,3900000000,3.25,61336947.2,0,2,2,2633,107,85.71,85.71
"2020-04-04",2,1,2,0,2,1,1,1,1,1,2,0,3,3900000000,3.25,61336947.2,0,2,2,3018,136,85.71,85.71
"2020-04-05",2,1,2,0,2,1,1,1,1,1,2,0,3,3900000000,3.25,61336947.2,0,2,2,3094,144,85.71,85.71
"2020-04-06",2,1,2,0,2,1,1,1,1,1,2,0,3,3900000000,3.25,61336947.2,0,2,2,3246,152,85.71,85.71
"2020-04-07",2,1,2,0,2,1,1,1,1,1,2,0,3,3900000000,3.25,61336948,0,2,2,3660,163,85.71,85.71
"2020-04-08",,,2,0,,,,,,,,,3,,,,,,,3764,177
"2020-04-09",,,2,0,,,,,,,,,3,,,,,,,3870,182
"2020-04-10",,,2,0,,,,,,,,,3,,,,,,,4076,203
"2020-04-11",,,2,0,,,,,,,,,3,,,,,,,4076,203
