Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,,0,0
"2020-03-01",0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,,0,0
"2020-03-02",0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,,0,0
"2020-03-03",0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,,0,0
"2020-03-04",0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,,0,0
"2020-03-05",0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,,0,0
"2020-03-06",0,,0,,0,,0,,1,1,0,,0,0,,0,0,0,0,,,14.29,14.29
"2020-03-07",0,,0,,0,,0,,1,1,0,,0,0,,0,0,0,0,,,14.29,14.29
"2020-03-08",0,,0,,0,,0,,1,1,0,,0,0,,0,0,0,0,,,14.29,14.29
"2020-03-09",0,,0,,0,,0,,1,1,0,,0,0,,0,0,0,0,,,14.29,14.29
"2020-03-10",0,,0,,0,,0,,1,1,0,,0,0,,0,0,0,0,,,14.29,14.29
"2020-03-11",0,,0,,0,,0,,1,1,0,,0,0,,0,0,0,0,,,14.29,14.29
"2020-03-12",0,,0,,0,,0,,1,1,2,0,2,0,,0,0,1,0,,,33.33,33.33
"2020-03-13",0,,0,,2,1,0,,1,1,2,0,2,0,,0,0,1,0,,,47.62,47.62
"2020-03-14",2,1,0,,2,1,0,,1,1,2,0,2,0,,0,0,1,0,,,61.9,61.9
"2020-03-15",2,1,2,1,2,1,0,,1,1,2,1,2,0,,0,0,1,0,,,80.95,80.95
"2020-03-16",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,,,80.95,80.95
"2020-03-17",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,,,80.95,80.95
"2020-03-18",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,,,80.95,80.95
"2020-03-19",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,,,80.95,80.95
"2020-03-20",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,,,80.95,80.95
"2020-03-21",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,,,80.95,80.95
"2020-03-22",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,,,80.95,80.95
"2020-03-23",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,,,80.95,80.95
"2020-03-24",2,1,2,1,2,1,0,,1,1,2,1,2,787000000,0.25,0,0,1,0,,,80.95,80.95
"2020-03-25",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,,,80.95,80.95
"2020-03-26",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,,,80.95,80.95
"2020-03-27",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,,,80.95,80.95
"2020-03-28",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,64,2,80.95,80.95
"2020-03-29",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,100,3,80.95,80.95
"2020-03-30",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,127,5,80.95,80.95
"2020-03-31",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,174,6,80.95,80.95
"2020-04-01",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,0,239,8,80.95,80.95
"2020-04-02",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,1,286,11,80.95,80.95
"2020-04-03",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,1,316,12,80.95,80.95
"2020-04-04",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,1,378,15,80.95,80.95
"2020-04-05",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,1,452,18,80.95,80.95
"2020-04-06",2,1,2,1,2,1,0,,1,1,2,1,2,0,0.25,0,0,1,1,475,20,80.95,80.95
"2020-04-07",,,2,1,,,,,,,,,,,,,,,,513,21
"2020-04-08",,,2,1,,,,,,,,,,,,,,,,573,23
"2020-04-09",,,2,1,,,,,,,,,,,,,,,,620,24
"2020-04-10",,,2,1,,,,,,,,,,,,,,,,683,33
"2020-04-11",,,2,1,,,,,,,,,,,,,,,,725,39
