Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,,0,,0,,1,1,0,,3,0,4,0,0,1,0,0,0,28.57,28.57
"2020-03-01",0,,0,,2,1,0,,1,1,0,,3,0,4,0,0,1,0,1,0,42.86,42.86
"2020-03-02",0,,0,,2,1,0,,1,1,0,,3,0,4,0,0,1,0,3,0,42.86,42.86
"2020-03-03",0,,0,,2,1,0,,1,1,0,,3,0,4,0,0,1,0,,,42.86,42.86
"2020-03-04",0,,0,,2,1,0,,1,1,0,,3,0,4,0,0,1,0,8,0,42.86,42.86
"2020-03-05",0,,0,,2,1,0,,1,1,0,,3,0,4,0,0,1,0,,,42.86,42.86
"2020-03-06",0,,0,,2,1,0,,1,1,0,,3,0,4,0,0,1,0,,,42.86,42.86
"2020-03-07",0,,0,,2,1,0,,1,1,0,,3,0,4,0,0,1,0,11,0,42.86,42.86
"2020-03-08",0,,0,,2,1,0,,1,1,0,,3,0,4,0,0,1,2,12,0,42.86,42.86
"2020-03-09",0,,0,,2,1,0,,1,1,0,,3,0,3,0,0,1,2,15,0,42.86,42.86
"2020-03-10",2,1,0,,2,1,0,,1,1,0,,3,0,3,0,0,1,2,18,0,57.14,57.14
"2020-03-11",2,1,0,,2,1,0,,1,1,2,0,3,0,3,0,0,1,2,24,0,66.67,66.67
"2020-03-12",2,1,0,,2,1,0,,1,1,2,0,3,0,3,0,0,1,2,262,0,66.67,66.67
"2020-03-13",2,1,0,,2,1,0,,1,1,2,0,3,0,3,0,0,1,2,,,66.67,66.67
"2020-03-14",2,1,0,,2,1,0,0,1,1,2,0,3,0,3,0,0,1,2,320,0,66.67,66.67
"2020-03-15",2,1,0,,2,1,2,1,1,1,2,0,3,20604395604.4,3,0,0,1,2,337,0,80.95,80.95
"2020-03-16",2,1,0,,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,401,0,80.95,80.95
"2020-03-17",2,1,2,1,2,0,2,1,1,1,2,0,3,0,2.5,0,0,1,2,439,0,90.48,90.48
"2020-03-18",2,1,2,1,2,0,2,1,1,1,2,0,3,0,2.5,0,0,1,2,442,0,90.48,90.48
"2020-03-19",2,1,2,1,2,0,2,1,1,1,2,0,3,0,2.5,0,0,1,2,452,0,90.48,90.48
"2020-03-20",2,1,2,1,2,0,2,1,1,1,2,0,3,0,2.5,0,0,1,2,460,0,90.48,90.48
"2020-03-21",2,1,2,1,2,0,2,1,1,1,2,0,3,0,2.5,0,0,1,2,470,0,90.48,90.48
"2020-03-22",2,1,2,1,2,0,2,1,1,1,2,0,3,0,2.5,0,0,1,2,481,0,90.48,90.48
"2020-03-23",2,1,2,1,2,0,2,1,1,1,2,0,3,0,2.5,0,0,1,2,494,0,90.48,90.48
"2020-03-24",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,501,0,95.24,95.24
"2020-03-25",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,526,0,95.24,95.24
"2020-03-26",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,537,0,95.24,95.24
"2020-03-27",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,549,0,95.24,95.24
"2020-03-28",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,562,0,95.24,95.24
"2020-03-29",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,590,1,95.24,95.24
"2020-03-30",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,634,1,95.24,95.24
"2020-03-31",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,,,1,2,693,1,95.24,95.24
"2020-04-01",2,1,2,1,2,1,2,1,1,1,2,0,3,824000000,2.5,,,1,2,781,2,95.24,95.24
"2020-04-02",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,,,1,2,835,2,95.24,95.24
"2020-04-03",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,,,1,2,949,3,95.24,95.24
"2020-04-04",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,,,1,2,949,3,95.24,95.24
"2020-04-05",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,,,1,2,1325,3,95.24,95.24
"2020-04-06",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,,,1,2,1604,4,95.24,95.24
"2020-04-07",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,,,1,2,1832,4,95.24,95.24
"2020-04-08",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,2057,6,95.24,95.24
"2020-04-09",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,2210,6,95.24,95.24
"2020-04-10",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,2376,6,95.24,95.24
"2020-04-11",2,1,2,1,2,1,2,1,1,1,2,0,3,0,2.5,0,0,1,2,2512,6,95.24,95.24
