date,total
2020-02-29,4.2032
2020-03-01,9.5024
2020-03-02,8.120800000000001
2020-03-03,7.4072000000000005
2020-03-04,-0.8952
2020-03-05,3.548
2020-03-06,3.6744000000000003
2020-03-07,3.54
2020-03-08,6.5608
2020-03-09,-9.280800000000001
2020-03-10,6.249600000000001
2020-03-11,NA
2020-03-12,-1.552
2020-03-13,4.4616
2020-03-14,5.0888
2020-03-15,5.8824000000000005
2020-03-16,3.944
2020-03-17,-2.7776
2020-03-18,-6.4879999999999995
2020-03-19,-6.430400000000001
2020-03-20,-19.16
2020-03-21,-24.1152
2020-03-22,-14.480000000000002
2020-03-23,-16.7056
2020-03-24,-18.287200000000002
2020-03-25,-22.595200000000002
2020-03-26,-22.8384
2020-03-27,-16.2728
2020-03-28,-31.858400000000003
2020-03-29,-34.388799999999996
2020-03-30,-38.9792
2020-03-31,-41.8984
2020-04-01,-38.031200000000005
2020-04-02,-35.4768
2020-04-03,-32.0208
2020-04-04,-38.052800000000005
2020-04-05,-35.52
2020-04-06,-39.675200000000004
2020-04-07,-46.296
2020-04-08,-51.6776
2020-04-09,-51.2192
2020-04-10,-47.506400000000006
2020-04-11,-50.0
