date,AG
2020-02-15,-6
2020-02-16,-7
2020-02-17,0
2020-02-18,-1
2020-02-19,-2
2020-02-20,1
2020-02-21,-2
2020-02-22,-5
2020-02-23,1
2020-02-24,-6
2020-02-25,1
2020-02-26,-5
2020-02-27,2
2020-02-28,4
2020-02-29,5
2020-03-01,3
2020-03-02,8
2020-03-03,6
2020-03-04,3
2020-03-05,5
2020-03-06,0
2020-03-07,1
2020-03-08,3
2020-03-09,-4
2020-03-10,5
2020-03-11,-2
2020-03-12,7
2020-03-13,0
2020-03-14,-11
2020-03-15,-12
2020-03-16,-15
2020-03-17,-19
2020-03-18,-20
2020-03-19,-18
2020-03-20,-19
2020-03-21,-24
2020-03-22,-38
2020-03-23,-24
2020-03-24,-29
2020-03-25,-23
2020-03-26,-25
2020-03-27,-22
2020-03-28,-35
2020-03-29,-46
2020-03-30,-39
2020-03-31,-32
2020-04-01,-25
2020-04-02,-87
2020-04-03,-86
2020-04-04,-82
2020-04-05,-78
2020-04-06,-80
2020-04-07,-78
2020-04-08,-78
2020-04-09,-66
2020-04-10,-95
2020-04-11,-70
