date,total
2020-02-29,8.097552372445511
2020-03-01,8.588969024688764
2020-03-02,11.363509046571142
2020-03-03,-0.9732134026481387
2020-03-04,0.9732134026481387
2020-03-05,NA
2020-03-06,4.639197661552536
2020-03-07,6.073364693955765
2020-03-08,2.8627224554007444
2020-03-09,-3.099211708927269
2020-03-10,NA
2020-03-11,-6.810088843077379
2020-03-12,-4.7714713118300836
2020-03-13,3.711678792636641
2020-03-14,-10.121740050935255
2020-03-15,-10.0207310816324
2020-03-16,-10.33097291591974
2020-03-17,-18.484641382422392
2020-03-18,-19.457854785070527
2020-03-19,-20.0414621632648
2020-03-20,-17.62927177729425
2020-03-21,-26.316844795826277
2020-03-22,-38.65116226958596
2020-03-23,-26.859567591207487
2020-03-24,-30.159193921767404
2020-03-25,-35.02365761803503
2020-03-26,-31.49395530184084
2020-03-27,-36.186062423504396
2020-03-28,-53.646184260140686
2020-03-29,-67.28239511602605
2020-03-30,-47.52071176456043
2020-03-31,-51.562673853647674
2020-04-01,-48.64463696267632
2020-04-02,-88.75481767774797
2020-04-03,-86.2897178316664
2020-04-04,-86.03639374992272
2020-04-05,-83.02857110845994
2020-04-06,-83.67791448254972
2020-04-07,-84.64150798335949
2020-04-08,-81.7226694339016
2020-04-09,-74.43960208377118
2020-04-10,-93.71227375845314
2020-04-11,-82.99971140294484
