date,AO
2020-02-15,1
2020-02-16,2
2020-02-17,0
2020-02-18,-1
2020-02-19,1
2020-02-20,-1
2020-02-21,0
2020-02-22,0
2020-02-23,1
2020-02-24,12
2020-02-25,13
2020-02-26,-1
2020-02-27,-1
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,-1
2020-03-03,-2
2020-03-04,-1
2020-03-05,-2
2020-03-06,-1
2020-03-07,-1
2020-03-08,0
2020-03-09,-1
2020-03-10,-2
2020-03-11,-1
2020-03-12,-2
2020-03-13,-1
2020-03-14,1
2020-03-15,2
2020-03-16,-1
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,2
2020-03-21,5
2020-03-22,13
2020-03-23,26
2020-03-24,12
2020-03-25,15
2020-03-26,11
2020-03-27,26
2020-03-28,20
2020-03-29,22
2020-03-30,30
2020-03-31,29
2020-04-01,28
2020-04-02,28
2020-04-03,32
2020-04-04,24
2020-04-05,22
2020-04-06,28
2020-04-07,28
2020-04-08,28
2020-04-09,27
2020-04-10,36
2020-04-11,22
