date,total
2020-02-29,7.3685579440069064
2020-03-01,5.117696876324883
2020-03-02,5.956284250353174
2020-03-03,4.36129266074085
2020-03-04,6.866682151177416
2020-03-05,4.707578978845778
2020-03-06,6.324113726496886
2020-03-07,6.789286361186223
2020-03-08,4.934978980366293
2020-03-09,-0.05824631617893927
2020-03-10,0.7364568470296021
2020-03-11,1.013326322565108
2020-03-12,1.3843473776775295
2020-03-13,2.091282119246573
2020-03-14,1.842338959687271
2020-03-15,-5.361852667431122
2020-03-16,-3.7955852885371795
2020-03-17,-6.1166610935308015
2020-03-18,-3.9958568688236697
2020-03-19,-3.544248444751346
2020-03-20,-4.630981083596761
2020-03-21,-9.894692697740082
2020-03-22,-33.08310969489533
2020-03-23,-42.45278765228278
2020-03-24,-26.222810701655334
2020-03-25,-21.67002330279194
2020-03-26,-9.85719164485775
2020-03-27,-48.25029084894268
2020-03-28,-51.31580244838767
2020-03-29,-60.62164882640095
2020-03-30,-54.481848785347005
2020-03-31,-54.71084457635188
2020-04-01,-54.76510141881993
2020-04-02,-54.43716667978508
2020-04-03,-58.059608809269804
2020-04-04,-57.73646143868801
2020-04-05,-61.35331830497749
2020-04-06,-52.029120347894136
2020-04-07,-53.35123193568184
2020-04-08,-53.69592246430241
2020-04-09,-50.837863497823506
2020-04-10,-60.20036040253136
2020-04-11,-53.00015824912385
