date,AR,Buenos Aires,Buenos Aires Province,Catamarca Province,Chaco Province,Chubut Province,Cordoba,Corrientes,Entre Rios,Formosa Province,Jujuy,La Pampa,La Rioja Province,Mendoza Province,Misiones Province,Neuquen,Río Negro,Salta Province,San Juan Province,San Luis Province,Santa Cruz Province,Santa Fe Province,Santiago del Estero Province,Tierra del Fuego Province,Tucumán
2020-02-15,1,6,-1,3,-18,-1,5,-12,0,-16,-5,-3,14,8,-7,4,1,-1,2,0,4,5,2,2,9
2020-02-16,-6,2,-10,-7,-2,-1,-11,-7,-15,-17,-3,-8,6,3,-19,6,-1,-5,-6,-3,7,-14,-5,6,4
2020-02-17,-10,-9,-17,-4,2,-3,-15,-2,-6,-3,4,-8,0,6,-5,-4,-3,-3,-2,-9,3,-13,-4,-3,4
2020-02-18,3,9,4,-2,-12,-1,2,-14,3,-10,-3,3,13,5,-14,-6,-5,-7,1,-4,-3,5,-2,0,-1
2020-02-19,1,8,-2,-1,5,-3,-3,5,0,-9,6,-5,5,6,-4,-1,-3,8,0,-7,2,6,0,-4,13
2020-02-20,0,3,1,-3,-1,0,-4,-2,0,-3,6,-1,7,5,-1,-5,-7,-15,0,-9,8,1,1,3,5
2020-02-21,3,3,1,1,-2,5,4,5,4,-6,11,-6,4,9,0,-1,-2,4,3,-2,16,3,0,8,8
2020-02-22,6,6,4,3,2,5,12,11,16,-8,18,-4,12,16,2,1,3,4,6,9,13,5,3,15,5
2020-02-23,14,18,13,-1,3,8,13,24,41,-10,48,1,10,14,7,0,11,5,5,18,9,9,5,0,4
2020-02-24,-10,-22,-5,-23,-22,-16,-7,2,19,-16,19,-28,-17,-18,-22,-24,-17,-19,-17,-6,-27,-17,-17,-18,-17
2020-02-25,-20,-32,-16,-25,-21,-17,-12,-14,-4,-26,-15,-33,-18,-20,-32,-33,-28,-27,-13,-17,-26,-26,-18,-25,-21
2020-02-26,1,3,-1,1,7,-7,-2,3,2,-9,4,0,6,6,0,-5,-7,2,3,-6,2,5,5,-1,13
2020-02-27,-1,4,-1,0,-1,-2,-7,-2,-2,-2,7,1,11,1,-2,-8,-10,0,4,-2,-2,3,9,1,11
2020-02-28,3,7,0,2,-1,-1,0,3,-1,1,6,3,19,5,-2,-1,-8,4,8,-3,10,6,7,9,14
2020-02-29,5,16,3,6,6,-1,3,5,0,7,-5,11,28,11,5,0,-5,5,16,-1,12,7,11,19,13
2020-03-01,-3,10,-7,-11,0,-5,-9,-4,-5,-1,-6,-2,4,0,1,-10,-16,-3,3,-8,7,5,7,10,3
2020-03-02,1,7,-5,-1,5,-2,-8,0,0,3,6,7,24,8,4,-4,-10,2,12,-2,10,3,13,11,12
2020-03-03,0,9,-4,-8,5,-3,-6,-3,-4,5,-2,5,20,2,4,-5,-12,-1,3,-12,7,7,5,10,7
2020-03-04,-1,11,-6,-6,5,-4,-9,-3,-4,-6,-2,1,19,2,5,-1,-16,3,0,-13,11,6,2,3,8
2020-03-05,1,10,-1,-4,4,-2,-9,-5,-3,0,-4,0,26,8,8,-4,-12,-1,0,-10,18,4,2,14,7
2020-03-06,6,14,4,3,8,2,0,-4,-1,3,-2,4,28,10,10,9,-5,6,11,-6,20,9,2,18,12
2020-03-07,5,20,2,3,11,-1,1,-7,-2,-1,-10,9,29,11,11,8,-3,0,10,-7,12,10,3,11,12
2020-03-08,3,15,-3,-1,17,1,-4,-6,-2,-2,-8,11,25,15,6,9,-7,0,8,-8,15,14,3,18,15
2020-03-09,1,11,-5,-2,6,-4,-7,-4,-1,-2,1,8,18,13,7,6,-8,1,12,-8,17,4,6,11,10
2020-03-10,3,13,0,-4,10,-2,-4,-6,-3,2,2,3,27,4,5,-4,-12,-3,5,-7,10,8,3,14,-5
2020-03-11,-16,-19,-28,-5,5,-4,-19,-7,-11,-11,0,-10,12,4,2,-3,-12,0,0,-17,11,-2,-1,1,13
2020-03-12,-4,4,-5,-10,-2,-10,-12,-13,-9,-6,-9,-1,14,-1,0,-9,-17,-9,-2,-14,7,0,-6,3,8
2020-03-13,-5,1,-8,-5,-8,-15,-10,-15,-11,-9,-5,-5,12,1,-8,-6,-18,-2,3,-12,11,-1,-3,7,8
2020-03-14,-19,-22,-27,-13,-11,-12,-17,-21,-21,-12,-19,-6,7,-1,-11,-4,-15,-5,1,-22,7,-8,-15,2,-4
2020-03-15,-29,-19,-32,-23,-27,-23,-43,-34,-42,-23,-30,-23,-17,-15,-24,-18,-30,-23,-13,-35,-5,-32,-28,-13,-27
2020-03-16,-27,-25,-30,-25,-29,-33,-35,-31,-24,-24,-28,-20,-17,-18,-22,-26,-33,-28,-18,-30,-21,-22,-21,-31,-22
2020-03-17,-41,-43,-43,-28,-38,-41,-46,-40,-46,-30,-37,-32,-25,-30,-28,-38,-41,-35,-30,-44,-26,-45,-25,-61,-25
2020-03-18,-43,-46,-44,-30,-60,-48,-45,-47,-43,-56,-49,-33,-31,-35,-43,-40,-47,-54,-36,-45,-43,-35,-29,-71,-28
2020-03-19,-42,-47,-39,-37,-62,-50,-46,-44,-40,-44,-52,-31,-30,-38,-43,-45,-53,-57,-44,-44,-47,-36,-30,-73,-33
2020-03-20,-78,-89,-78,-66,-73,-79,-80,-72,-76,-68,-76,-72,-64,-73,-69,-78,-81,-76,-69,-78,-73,-77,-74,-81,-75
2020-03-21,-83,-90,-83,-70,-75,-82,-83,-79,-82,-76,-80,-78,-68,-78,-75,-82,-85,-79,-71,-83,-78,-81,-78,-85,-79
2020-03-22,-87,-91,-89,-75,-80,-87,-88,-84,-88,-80,-81,-88,-72,-84,-84,-87,-89,-84,-77,-88,-82,-87,-80,-87,-83
2020-03-23,-88,-93,-89,-78,-81,-87,-88,-83,-86,-79,-83,-87,-76,-85,-84,-89,-90,-86,-81,-87,-83,-88,-82,-89,-86
2020-03-24,-88,-94,-88,-76,-82,-87,-88,-84,-87,-80,-83,-86,-75,-86,-82,-88,-90,-86,-81,-87,-83,-88,-81,-89,-86
2020-03-25,-82,-89,-83,-71,-75,-80,-86,-77,-79,-77,-77,-76,-73,-80,-74,-81,-84,-80,-76,-86,-78,-80,-75,-82,-80
2020-03-26,-83,-90,-83,-69,-77,-81,-83,-78,-80,-75,-80,-80,-68,-78,-76,-84,-85,-81,-74,-83,-80,-82,-76,-83,-80
2020-03-27,-81,-89,-81,-67,-80,-79,-82,-76,-79,-77,-76,-78,-66,-76,-74,-82,-84,-78,-70,-80,-77,-83,-74,-81,-78
2020-03-28,-82,-89,-83,-66,-76,-79,-83,-77,-81,-75,-78,-78,-66,-76,-76,-78,-84,-78,-68,-80,-78,-82,-72,-84,-77
2020-03-29,-86,-90,-88,-71,-79,-92,-88,-80,-87,-76,-80,-88,-70,-81,-83,-96,-90,-82,-76,-85,-83,-87,-75,-87,-81
2020-03-30,-81,-89,-83,-68,-72,-78,-82,-72,-77,-70,-76,-79,-73,-76,-78,-81,-84,-78,-71,-81,-77,-80,-72,-83,-78
2020-03-31,-85,-92,-85,-73,-77,-83,-86,-76,-82,-70,-81,-84,-75,-82,-74,-86,-88,-82,-77,-81,-79,-85,-78,-86,-83
2020-04-01,-79,-88,-80,-65,-69,-77,-80,-68,-74,-66,-73,-73,-69,-73,-66,-79,-81,-75,-69,-81,-72,-77,-72,-79,-75
2020-04-02,-79,-87,-78,-67,-76,-77,-80,-72,-74,-73,-79,-73,-70,-74,-72,-80,-82,-79,-70,-78,-75,-78,-72,-80,-77
2020-04-03,-77,-87,-77,-61,-69,-75,-77,-68,-71,-62,-70,-72,-65,-73,-64,-77,-79,-72,-66,-77,-71,-76,-70,-78,-72
2020-04-04,-77,-87,-79,-58,-67,-76,-78,-70,-75,-63,-71,-73,-60,-73,-66,-75,-79,-72,-65,-77,-71,-76,-68,-81,-71
2020-04-05,-83,-88,-84,-66,-72,-86,-85,-76,-83,-69,-73,-83,-64,-78,-75,-96,-88,-77,-71,-82,-80,-83,-72,-86,-76
2020-04-06,-75,-86,-76,-60,-64,-72,-76,-66,-66,-63,-66,-67,-63,-69,-71,-73,-78,-71,-65,-78,-68,-72,-67,-78,-70
2020-04-07,-82,-89,-83,-72,-78,-82,-82,-76,-79,-76,-79,-81,-71,-80,-76,-84,-86,-82,-76,-85,-77,-80,-77,-82,-80
2020-04-08,-82,-88,-82,-70,-77,-82,-82,-75,-79,-79,-77,-81,-70,-79,-74,-82,-85,-80,-75,-85,-75,-79,-77,-82,-78
2020-04-09,-83,-89,-83,-71,-78,-82,-83,-79,-82,-80,-78,-81,-68,-81,-76,-83,-86,-81,-76,-85,-78,-81,-78,-81,-80
2020-04-10,-90,-93,-89,-82,-90,-89,-90,-92,-92,-92,-87,-91,-89,-91,-93,-91,-92,-87,-87,-91,-86,-90,-84,-91,-88
2020-04-11,-84,-89,-85,-71,-79,-85,-83,-82,-84,-83,-80,-83,-74,-82,-80,-84,-86,-81,-77,-86,-81,-82,-79,-88,-79
