date,AR,Buenos Aires,Buenos Aires Province,Catamarca Province,Chaco Province,Chubut Province,Cordoba,Corrientes,Entre Rios,Formosa Province,Jujuy,La Pampa,La Rioja Province,Mendoza Province,Misiones Province,Neuquen,Río Negro,Salta Province,San Juan Province,San Luis Province,Santa Cruz Province,Santa Fe Province,Santiago del Estero Province,Tierra del Fuego Province,Tucumán
2020-02-15,-1,-2,0,4,-14,-2,0,-7,1,-6,3,0,1,2,-4,1,3,1,0,1,-2,0,1,-4,1
2020-02-16,-4,-9,-4,-2,-1,-4,-6,-3,-7,-3,2,-1,-3,-2,-9,-3,-1,-1,-4,-1,-3,-6,-1,-4,-3
2020-02-17,7,4,5,25,6,5,9,13,9,14,13,7,17,17,7,8,16,12,13,11,15,7,12,12,13
2020-02-18,9,7,8,27,-3,8,12,5,12,9,10,14,18,19,2,9,15,9,15,15,15,10,12,13,6
2020-02-19,11,6,9,28,8,8,13,18,14,15,12,13,17,19,9,9,15,11,15,21,14,12,14,13,12
2020-02-20,9,5,6,27,6,7,12,15,13,15,9,12,20,18,8,9,15,-26,15,19,14,9,12,12,12
2020-02-21,9,5,7,24,5,6,13,15,14,13,5,11,20,18,8,5,14,4,14,19,13,9,10,15,12
2020-02-22,-1,-3,-1,3,-1,-4,0,0,1,0,-4,-4,2,3,0,-3,-1,-4,2,0,-2,-2,0,-3,0
2020-02-23,-2,-6,-2,-2,-1,-6,-3,-1,2,-2,0,-5,-2,0,0,-4,-1,-4,-2,1,-6,-2,-1,-8,-5
2020-02-24,-54,-70,-54,-44,-40,-52,-53,-37,-46,-31,-44,-49,-40,-54,-38,-54,-48,-46,-51,-46,-43,-55,-43,-56,-52
2020-02-25,-50,-69,-52,-38,-35,-48,-45,-31,-41,-31,-44,-45,-35,-49,-35,-50,-44,-43,-43,-38,-39,-52,-34,-52,-43
2020-02-26,13,8,11,26,14,3,17,20,14,19,8,14,24,29,12,10,15,8,15,24,12,12,14,11,14
2020-02-27,12,7,9,26,13,11,16,19,13,18,12,15,25,28,12,10,15,12,14,23,13,10,13,10,15
2020-02-28,13,9,10,24,13,11,17,19,15,19,13,13,25,29,12,11,16,12,12,22,17,12,12,13,15
2020-02-29,2,-1,2,7,2,3,3,5,3,6,2,5,6,5,5,3,4,3,3,3,1,3,4,0,4
2020-03-01,-2,-9,-4,1,1,-7,-3,3,2,5,1,2,3,-1,3,-4,-3,2,-3,-2,-4,1,1,-5,-1
2020-03-02,16,11,12,39,18,14,23,28,17,28,23,27,36,35,18,12,21,24,24,31,19,10,21,20,18
2020-03-03,16,12,13,40,16,14,23,27,15,26,23,28,35,34,18,11,23,22,24,32,21,10,20,22,16
2020-03-04,18,12,14,40,18,14,24,31,16,29,24,28,36,35,19,18,13,22,26,33,25,17,21,22,22
2020-03-05,18,10,12,39,18,14,23,29,22,28,25,27,35,34,19,19,24,24,25,33,25,15,20,23,23
2020-03-06,18,12,13,39,18,13,25,29,23,28,26,27,35,32,19,19,26,21,26,33,27,18,21,25,24
2020-03-07,3,0,2,8,5,2,3,4,4,4,6,8,8,6,7,5,5,5,6,5,0,4,4,-1,5
2020-03-08,-2,-11,-5,4,5,-2,-2,3,3,3,4,6,6,1,4,4,2,2,1,1,-2,2,2,-4,-1
2020-03-09,15,12,10,35,5,7,22,28,16,29,26,16,6,34,21,7,12,25,28,34,19,11,23,11,23
2020-03-10,18,14,14,41,17,14,24,30,23,29,26,30,37,35,21,15,25,23,27,36,26,18,21,23,8
2020-03-11,15,9,8,39,18,14,23,31,23,29,26,22,36,35,23,21,25,22,28,35,25,11,20,21,19
2020-03-12,18,12,14,37,17,13,23,27,18,29,24,28,32,34,22,21,24,23,27,35,26,10,18,21,22
2020-03-13,18,12,15,36,12,12,23,26,18,26,22,27,33,33,13,20,24,22,26,34,26,17,20,24,23
2020-03-14,-4,-11,-8,4,0,1,0,1,1,3,3,4,4,6,3,5,4,3,4,0,2,0,-1,-2,2
2020-03-15,-10,-18,-10,2,-8,-7,-14,-7,-9,-3,-4,0,-2,-3,-5,-1,-3,-2,-2,-6,-6,-12,-9,-9,-11
2020-03-16,1,-8,1,-10,-4,-5,-1,1,5,10,0,-7,0,6,5,3,8,3,5,13,6,5,-1,-13,2
2020-03-17,-12,-25,-13,-12,-16,-12,-11,-9,-9,0,-9,0,-7,-5,-2,-9,-5,-9,-3,0,2,-10,-8,-43,-4
2020-03-18,-19,-34,-18,-2,-40,-21,-15,-18,-16,-23,-27,-4,-11,-12,-14,-17,-12,-31,-8,-4,-22,-12,-13,-54,-10
2020-03-19,-24,-40,-24,-14,-46,-28,-21,-22,-20,-21,-34,-10,-16,-18,-26,-26,-22,-37,-17,-14,-30,-17,-19,-57,-15
2020-03-20,-61,-77,-63,-46,-56,-58,-58,-47,-50,-45,-54,-47,-43,-53,-48,-59,-54,-55,-46,-54,-54,-57,-54,-66,-54
2020-03-21,-57,-70,-60,-42,-52,-55,-57,-52,-53,-47,-52,-49,-42,-50,-51,-55,-52,-52,-44,-55,-52,-55,-54,-61,-53
2020-03-22,-58,-69,-61,-40,-51,-55,-58,-51,-56,-45,-47,-59,-42,-53,-52,-53,-54,-50,-45,-56,-53,-58,-51,-59,-53
2020-03-23,-79,-90,-81,-65,-70,-76,-78,-69,-73,-64,-69,-75,-62,-76,-71,-78,-76,-71,-72,-75,-70,-79,-71,-80,-75
2020-03-24,-79,-90,-81,-65,-71,-76,-79,-70,-74,-65,-71,-75,-63,-77,-71,-78,-75,-71,-71,-75,-70,-79,-70,-80,-77
2020-03-25,-68,-81,-70,-56,-61,-64,-68,-57,-58,-53,-59,-59,-54,-62,-57,-67,-62,-62,-57,-65,-61,-66,-61,-71,-65
2020-03-26,-68,-81,-71,-53,-62,-64,-67,-58,-59,-53,-61,-60,-52,-62,-57,-68,-62,-62,-55,-63,-62,-67,-62,-71,-64
2020-03-27,-67,-80,-69,-51,-64,-62,-65,-56,-57,-54,-58,-57,-48,-60,-56,-67,-61,-59,-52,-61,-60,-66,-59,-69,-61
2020-03-28,-59,-71,-62,-41,-55,-55,-58,-52,-54,-47,-51,-51,-42,-52,-54,-57,-54,-53,-45,-56,-54,-58,-52,-62,-55
2020-03-29,-57,-69,-60,-35,-48,-62,-57,-47,-54,-37,-44,-56,-40,-49,-51,-72,-55,-47,-46,-56,-56,-57,-46,-59,-51
2020-03-30,-68,-82,-71,-53,-58,-64,-67,-55,-58,-49,-58,-61,-59,-61,-60,-67,-62,-59,-55,-64,-60,-66,-59,-71,-61
2020-03-31,-76,-89,-79,-61,-67,-71,-76,-63,-69,-56,-66,-72,-65,-73,-64,-75,-71,-64,-68,-70,-65,-76,-67,-77,-73
2020-04-01,-64,-79,-67,-49,-55,-59,-63,-50,-53,-43,-53,-54,-54,-58,-50,-64,-58,-56,-52,-60,-56,-61,-58,-68,-59
2020-04-02,-64,-80,-67,-49,-61,-59,-62,-53,-53,-49,-58,-53,-55,-58,-53,-65,-58,-59,-51,-58,-57,-62,-58,-69,-60
2020-04-03,-62,-78,-65,-44,-53,-57,-60,-47,-50,-40,-50,-51,-51,-56,-47,-63,-55,-53,-49,-56,-53,-59,-54,-66,-54
2020-04-04,-54,-68,-57,-34,-44,-49,-52,-43,-45,-35,-43,-45,-43,-47,-44,-51,-48,-46,-40,-51,-48,-52,-46,-60,-48
2020-04-05,-52,-66,-56,-29,-40,-51,-52,-39,-46,-30,-36,-50,-39,-45,-42,-69,-51,-40,-39,-49,-53,-52,-40,-59,-43
2020-04-06,-60,-77,-63,-42,-49,-54,-58,-45,-45,-40,-46,-48,-48,-53,-49,-60,-54,-50,-46,-55,-52,-56,-52,-67,-52
2020-04-07,-59,-77,-62,-42,-49,-53,-58,-44,-46,-37,-48,-47,-49,-53,-43,-61,-55,-51,-45,-53,-51,-55,-52,-66,-53
2020-04-08,-58,-77,-61,-40,-48,-52,-56,-42,-44,-39,-46,-47,-47,-52,-42,-60,-54,-50,-44,-53,-50,-53,-51,-65,-51
2020-04-09,-63,-81,-66,-47,-53,-59,-60,-52,-53,-44,-50,-55,-52,-59,-52,-65,-60,-54,-53,-58,-57,-59,-56,-68,-57
2020-04-10,-76,-88,-77,-62,-69,-70,-75,-71,-72,-66,-63,-69,-70,-77,-75,-75,-73,-66,-73,-71,-66,-75,-63,-78,-71
2020-04-11,-52,-67,-56,-31,-41,-47,-50,-42,-42,-35,-39,-43,-41,-46,-42,-52,-50,-43,-40,-48,-46,-49,-44,-59,-43
