date,AU,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
2020-02-15,4,7,4,7,3,6,2,3,7
2020-02-16,3,8,5,4,2,1,1,3,5
2020-02-17,-1,-1,-2,3,-2,-1,-3,-1,-1
2020-02-18,-3,-2,-3,0,-2,-2,-3,-6,-1
2020-02-19,-1,2,-2,6,-3,0,-3,-2,-1
2020-02-20,0,8,2,4,-1,4,1,-1,0
2020-02-21,3,9,1,7,-1,5,1,8,2
2020-02-22,5,21,4,12,3,8,2,7,5
2020-02-23,3,11,3,7,1,2,0,4,8
2020-02-24,-1,1,-1,7,-4,-1,-5,-1,-2
2020-02-25,-3,1,-3,5,-3,0,-3,-2,-2
2020-02-26,-1,1,-3,7,-3,4,-3,0,-3
2020-02-27,0,7,3,3,-4,4,-2,0,-3
2020-02-28,4,10,3,11,0,5,0,9,0
2020-02-29,6,16,6,11,6,9,3,7,3
2020-03-01,4,11,4,5,3,2,-4,4,8
2020-03-02,0,1,-1,5,-2,1,-4,0,-5
2020-03-03,-2,1,-4,2,-2,0,-3,0,0
2020-03-04,0,-4,-3,8,-2,1,0,2,-1
2020-03-05,-2,1,-3,9,-3,6,-8,-2,0
2020-03-06,3,3,2,12,-1,7,0,8,1
2020-03-07,3,5,3,11,2,8,-2,3,4
2020-03-08,3,2,2,5,2,12,-4,4,4
2020-03-09,-3,-4,-2,3,-8,-25,-18,3,-2
2020-03-10,-2,-1,-4,3,-4,5,-5,-1,-2
2020-03-11,-1,0,-4,4,-3,-1,-4,-1,-3
2020-03-12,-1,4,0,4,-4,3,-4,-1,0
2020-03-13,1,5,-1,6,-1,4,-6,2,0
2020-03-14,-1,5,-5,9,1,6,-3,1,1
2020-03-15,-2,3,-3,3,-1,2,-7,-2,-1
2020-03-16,-1,-1,-5,7,-1,0,-9,0,-2
2020-03-17,-5,-3,-6,2,-4,-4,-9,-5,-5
2020-03-18,-7,-5,-8,3,-6,-7,-13,-10,-5
2020-03-19,-10,-2,-9,5,-9,-7,-15,-15,-7
2020-03-20,-12,-7,-14,4,-11,-10,-17,-12,-10
2020-03-21,-17,-9,-18,-1,-15,-15,-18,-19,-15
2020-03-22,-18,-11,-16,-5,-18,-19,-27,-21,-17
2020-03-23,-17,-14,-20,-4,-15,-17,-24,-19,-16
2020-03-24,-30,-30,-33,-15,-23,-26,-31,-36,-23
2020-03-25,-31,-33,-36,-14,-24,-27,-30,-37,-25
2020-03-26,-34,-32,-37,-21,-28,-29,-34,-39,-30
2020-03-27,-35,-36,-39,-24,-30,-33,-37,-39,-33
2020-03-28,-41,-38,-44,-30,-34,-39,-42,-46,-37
2020-03-29,-45,-40,-44,-35,-40,-43,-50,-51,-40
2020-03-30,-39,-42,-43,-23,-35,-38,-39,-43,-36
2020-03-31,-41,-42,-43,-25,-34,-36,-50,-46,-35
2020-04-01,-40,-41,-44,-24,-34,-36,-46,-45,-36
2020-04-02,-42,-44,-44,-24,-35,-34,-52,-49,-37
2020-04-03,-40,-41,-44,-24,-35,-37,-45,-43,-36
2020-04-04,-44,-42,-46,-26,-38,-39,-52,-52,-39
2020-04-05,-44,-39,-43,-29,-37,-40,-52,-52,-40
2020-04-06,-37,-40,-40,-21,-31,-33,-46,-42,-34
2020-04-07,-38,-40,-41,-23,-31,-33,-45,-44,-33
2020-04-08,-35,-38,-39,-20,-30,-29,-41,-41,-31
2020-04-09,-28,-27,-30,-11,-21,-19,-34,-34,-23
2020-04-10,-76,-74,-72,-67,-78,-79,-86,-79,-74
2020-04-11,-40,-38,-43,-24,-34,-33,-49,-46,-32
