date,AU,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
2020-02-15,3,6,3,2,1,2,0,3,2
2020-02-16,-1,2,-1,2,-1,-2,1,-2,0
2020-02-17,17,25,17,21,16,17,19,18,17
2020-02-18,14,24,14,15,12,13,15,13,16
2020-02-19,13,22,14,16,10,13,15,13,15
2020-02-20,13,21,15,14,10,11,18,14,15
2020-02-21,16,25,17,20,15,15,16,15,16
2020-02-22,3,10,3,3,1,2,0,4,3
2020-02-23,-2,3,-1,3,-2,-2,-1,-3,1
2020-02-24,17,27,17,22,17,16,19,17,17
2020-02-25,15,25,15,17,13,14,16,14,17
2020-02-26,14,23,14,18,11,13,10,14,16
2020-02-27,14,21,15,13,11,12,18,15,15
2020-02-28,17,26,18,21,17,17,17,16,14
2020-02-29,4,10,4,6,3,4,2,5,1
2020-03-01,-1,3,0,4,0,-1,0,-2,-1
2020-03-02,10,27,18,23,18,19,20,19,-62
2020-03-03,15,21,15,17,14,15,16,15,17
2020-03-04,14,22,13,20,11,14,18,14,17
2020-03-05,13,20,14,16,11,13,15,13,16
2020-03-06,16,23,17,20,16,13,17,13,18
2020-03-07,2,4,4,2,2,1,-3,0,5
2020-03-08,-2,0,0,5,0,-2,-2,-5,1
2020-03-09,-14,-72,16,22,16,-67,-60,-65,18
2020-03-10,13,23,13,17,13,13,12,12,17
2020-03-11,14,22,13,19,11,14,17,14,16
2020-03-12,13,20,13,16,10,12,18,13,16
2020-03-13,14,25,14,20,15,17,17,13,17
2020-03-14,3,8,1,2,2,4,3,4,3
2020-03-15,-1,3,-2,4,-1,0,1,-3,1
2020-03-16,12,23,9,24,14,16,18,11,15
2020-03-17,5,17,2,16,7,9,12,3,11
2020-03-18,2,12,-2,18,3,6,9,-1,9
2020-03-19,0,10,-3,16,1,3,10,-4,7
2020-03-20,0,11,-3,18,4,6,8,-4,5
2020-03-21,-4,1,-5,-2,-5,-3,-5,-5,-3
2020-03-22,-12,-8,-12,-2,-11,-8,-9,-14,-9
2020-03-23,-6,4,-11,17,0,2,5,-11,-1
2020-03-24,-19,-18,-24,6,-10,-9,-3,-28,-8
2020-03-25,-23,-23,-28,5,-15,-12,-6,-31,-13
2020-03-26,-27,-28,-32,-1,-21,-17,-9,-35,-18
2020-03-27,-26,-27,-31,1,-18,-15,-12,-36,-18
2020-03-28,-27,-24,-29,-21,-26,-24,-24,-29,-23
2020-03-29,-33,-31,-35,-23,-30,-28,-28,-37,-26
2020-03-30,-32,-34,-36,-2,-25,-20,-17,-40,-25
2020-03-31,-36,-42,-40,-9,-30,-25,-24,-44,-28
2020-04-01,-37,-45,-41,-8,-32,-26,-25,-44,-29
2020-04-02,-38,-47,-41,-11,-33,-28,-27,-46,-31
2020-04-03,-36,-44,-39,-8,-29,-25,-25,-44,-28
2020-04-04,-33,-32,-35,-23,-31,-28,-34,-38,-27
2020-04-05,-36,-36,-37,-25,-33,-30,-33,-42,-29
2020-04-06,-37,-45,-39,-8,-33,-25,-24,-43,-29
2020-04-07,-39,-46,-42,-14,-37,-29,-28,-46,-31
2020-04-08,-39,-47,-41,-12,-37,-28,-27,-45,-30
2020-04-09,-40,-48,-42,-15,-39,-31,-27,-46,-31
2020-04-10,-82,-87,-82,-74,-81,-78,-78,-84,-77
2020-04-11,-41,-40,-43,-30,-39,-35,-38,-45,-32
