date,AW
2020-02-15,12
2020-02-16,4
2020-02-17,16
2020-02-18,8
2020-02-19,3
2020-02-20,0
2020-02-21,9
2020-02-22,-4
2020-02-23,21
2020-02-24,24
2020-02-25,8
2020-02-26,4
2020-02-27,-1
2020-02-28,7
2020-02-29,10
2020-03-01,5
2020-03-02,2
2020-03-03,20
2020-03-04,9
2020-03-05,-1
2020-03-06,6
2020-03-07,16
2020-03-08,4
2020-03-09,12
2020-03-10,10
2020-03-11,1
2020-03-12,4
2020-03-13,-4
2020-03-14,-7
2020-03-15,-6
2020-03-16,-5
2020-03-17,-18
2020-03-18,-24
2020-03-19,-41
2020-03-20,-41
2020-03-21,-52
2020-03-22,-52
2020-03-23,-48
2020-03-24,-49
2020-03-25,-56
2020-03-26,-54
2020-03-27,-50
2020-03-28,-50
2020-03-29,-80
2020-03-30,-63
2020-03-31,-61
2020-04-01,-62
2020-04-02,-59
2020-04-03,-55
2020-04-04,-57
2020-04-05,-51
2020-04-06,-47
2020-04-07,-48
2020-04-08,-53
2020-04-09,-48
2020-04-10,-88
2020-04-11,-52
