date,BA
2020-02-15,3
2020-02-16,8
2020-02-17,10
2020-02-18,7
2020-02-19,5
2020-02-20,6
2020-02-21,7
2020-02-22,5
2020-02-23,9
2020-02-24,5
2020-02-25,8
2020-02-26,2
2020-02-27,2
2020-02-28,1
2020-02-29,-2
2020-03-01,-6
2020-03-02,-14
2020-03-03,5
2020-03-04,4
2020-03-05,13
2020-03-06,4
2020-03-07,-3
2020-03-08,5
2020-03-09,3
2020-03-10,6
2020-03-11,5
2020-03-12,3
2020-03-13,-11
2020-03-14,-15
2020-03-15,-18
2020-03-16,-20
2020-03-17,-26
2020-03-18,-34
2020-03-19,-36
2020-03-20,-45
2020-03-21,-54
2020-03-22,-68
2020-03-23,-64
2020-03-24,-68
2020-03-25,-67
2020-03-26,-67
2020-03-27,-66
2020-03-28,-63
2020-03-29,-59
2020-03-30,-61
2020-03-31,-65
2020-04-01,-63
2020-04-02,-56
2020-04-03,-58
2020-04-04,-55
2020-04-05,-56
2020-04-06,-53
2020-04-07,-51
2020-04-08,-51
2020-04-09,-50
2020-04-10,-52
2020-04-11,-52
