date,BB,Christ Church,Saint George,Saint James,Saint John,Saint Lucy,Saint Michael,Saint Peter,Saint Philip,Saint Thomas
2020-02-15,0,-1,0,0,NA,NA,-4,43,-4,NA
2020-02-16,4,3,0,18,NA,NA,1,NA,-3,NA
2020-02-17,-5,-3,0,-8,NA,NA,-6,-4,-1,0
2020-02-18,-3,-5,0,6,NA,NA,-3,0,-9,0
2020-02-19,-5,-6,0,3,NA,NA,-5,0,-8,0
2020-02-20,2,-2,0,5,NA,NA,2,0,-1,0
2020-02-21,0,1,0,12,NA,NA,-2,8,4,0
2020-02-22,2,1,0,34,NA,NA,-4,2,7,NA
2020-02-23,4,3,0,31,NA,NA,0,NA,0,NA
2020-02-24,-5,2,0,-9,NA,NA,-7,4,0,0
2020-02-25,6,13,0,5,NA,NA,6,0,6,0
2020-02-26,6,9,0,0,NA,NA,5,0,3,0
2020-02-27,8,10,0,7,NA,NA,8,2,6,0
2020-02-28,5,11,0,-3,NA,NA,3,16,10,0
2020-02-29,2,6,0,4,NA,NA,-1,0,3,NA
2020-03-01,2,7,0,0,NA,NA,4,NA,-13,NA
2020-03-02,0,0,0,-9,NA,NA,-1,2,3,0
2020-03-03,2,6,0,5,NA,NA,1,0,4,0
2020-03-04,3,4,0,4,NA,NA,3,0,-1,0
2020-03-05,4,2,0,5,NA,NA,4,2,6,0
2020-03-06,3,7,0,6,NA,NA,1,2,8,0
2020-03-07,-1,4,0,-2,NA,NA,-6,5,-3,NA
2020-03-08,1,5,0,-1,NA,NA,-1,NA,0,NA
2020-03-09,-5,-1,0,-12,NA,NA,-7,6,-9,0
2020-03-10,-1,2,0,-5,NA,NA,-1,0,-4,0
2020-03-11,2,7,0,8,NA,NA,1,0,1,0
2020-03-12,12,11,0,24,NA,NA,13,0,20,0
2020-03-13,12,16,0,18,NA,NA,12,18,19,0
2020-03-14,4,3,0,12,NA,NA,3,11,10,NA
2020-03-15,0,1,0,0,NA,NA,0,NA,2,NA
2020-03-16,2,6,0,0,NA,NA,5,0,5,0
2020-03-17,18,20,0,37,NA,NA,21,0,24,0
2020-03-18,9,10,0,11,NA,NA,11,0,17,0
2020-03-19,8,6,0,7,NA,NA,8,0,20,0
2020-03-20,-1,-7,0,10,NA,NA,2,4,18,0
2020-03-21,-4,-6,0,6,NA,NA,-4,-2,5,NA
2020-03-22,-10,-21,0,6,NA,NA,-7,0,3,NA
2020-03-23,-7,-9,0,1,NA,NA,-7,6,-1,0
2020-03-24,-6,-11,0,3,NA,NA,-3,0,4,0
2020-03-25,-6,-13,0,-9,0,NA,-5,0,1,0
2020-03-26,-6,-15,0,-3,0,NA,-4,0,9,0
2020-03-27,-6,-20,0,-8,NA,NA,-3,10,15,0
2020-03-28,-27,-39,0,-26,NA,NA,-27,-18,-22,NA
2020-03-29,-47,-57,0,-50,NA,NA,-48,0,-49,NA
2020-03-30,-46,-52,0,-45,0,0,-48,-45,-39,0
2020-03-31,-41,-42,0,-40,0,0,-43,-42,-31,0
2020-04-01,-34,-38,0,-44,0,0,-38,-35,-15,0
2020-04-02,-29,-35,0,-43,0,0,-33,-29,-19,0
2020-04-03,-26,-36,0,-42,0,0,-28,-12,-8,0
2020-04-04,-95,-97,0,-100,NA,NA,-97,0,-100,NA
2020-04-05,-92,-94,0,0,NA,NA,-93,NA,0,NA
2020-04-06,-89,-93,0,0,0,0,-91,0,0,0
2020-04-07,-86,-90,0,0,NA,NA,-86,0,0,0
2020-04-08,-70,-75,0,0,0,0,-72,0,0,0
2020-04-09,-59,-64,0,0,0,0,-61,0,0,0
2020-04-10,-94,-96,0,0,NA,NA,-95,0,0,NA
2020-04-11,-62,-71,0,0,NA,NA,-63,0,0,0
