date,BD
2020-02-15,10
2020-02-16,5
2020-02-17,3
2020-02-18,2
2020-02-19,3
2020-02-20,4
2020-02-21,18
2020-02-22,10
2020-02-23,8
2020-02-24,5
2020-02-25,1
2020-02-26,5
2020-02-27,8
2020-02-28,16
2020-02-29,14
2020-03-01,5
2020-03-02,3
2020-03-03,2
2020-03-04,5
2020-03-05,6
2020-03-06,-9
2020-03-07,11
2020-03-08,10
2020-03-09,6
2020-03-10,5
2020-03-11,5
2020-03-12,4
2020-03-13,6
2020-03-14,3
2020-03-15,5
2020-03-16,4
2020-03-17,7
2020-03-18,-2
2020-03-19,-9
2020-03-20,-18
2020-03-21,-14
2020-03-22,-13
2020-03-23,-16
2020-03-24,-15
2020-03-25,-17
2020-03-26,-31
2020-03-27,-35
2020-03-28,-28
2020-03-29,-26
2020-03-30,-26
2020-03-31,-25
2020-04-01,-25
2020-04-02,-31
2020-04-03,-34
2020-04-04,-29
2020-04-05,-29
2020-04-06,-31
2020-04-07,-31
2020-04-08,-31
2020-04-09,-36
2020-04-10,-40
2020-04-11,-34
