date,BD
2020-02-15,7
2020-02-16,4
2020-02-17,2
2020-02-18,3
2020-02-19,2
2020-02-20,4
2020-02-21,5
2020-02-22,6
2020-02-23,4
2020-02-24,1
2020-02-25,2
2020-02-26,1
2020-02-27,5
2020-02-28,9
2020-02-29,8
2020-03-01,5
2020-03-02,3
2020-03-03,3
2020-03-04,5
2020-03-05,9
2020-03-06,-7
2020-03-07,10
2020-03-08,9
2020-03-09,4
2020-03-10,6
2020-03-11,5
2020-03-12,5
2020-03-13,5
2020-03-14,2
2020-03-15,4
2020-03-16,5
2020-03-17,-5
2020-03-18,-2
2020-03-19,-9
2020-03-20,-17
2020-03-21,-19
2020-03-22,-22
2020-03-23,-26
2020-03-24,-22
2020-03-25,-37
2020-03-26,-70
2020-03-27,-67
2020-03-28,-66
2020-03-29,-66
2020-03-30,-66
2020-03-31,-65
2020-04-01,-64
2020-04-02,-68
2020-04-03,-66
2020-04-04,-64
2020-04-05,-64
2020-04-06,-68
2020-04-07,-70
2020-04-08,-70
2020-04-09,-73
2020-04-10,-73
2020-04-11,-72
