date,BF
2020-02-15,1
2020-02-16,2
2020-02-17,-1
2020-02-18,1
2020-02-19,-1
2020-02-20,-2
2020-02-21,-1
2020-02-22,-1
2020-02-23,-1
2020-02-24,-1
2020-02-25,3
2020-02-26,3
2020-02-27,0
2020-02-28,-1
2020-02-29,1
2020-03-01,4
2020-03-02,1
2020-03-03,3
2020-03-04,3
2020-03-05,0
2020-03-06,0
2020-03-07,1
2020-03-08,4
2020-03-09,-5
2020-03-10,2
2020-03-11,1
2020-03-12,-2
2020-03-13,-4
2020-03-14,-4
2020-03-15,-1
2020-03-16,-2
2020-03-17,0
2020-03-18,0
2020-03-19,-4
2020-03-20,-7
2020-03-21,-18
2020-03-22,-19
2020-03-23,-14
2020-03-24,-10
2020-03-25,-14
2020-03-26,-18
2020-03-27,-24
2020-03-28,-27
2020-03-29,-25
2020-03-30,-24
2020-03-31,-21
2020-04-01,-22
2020-04-02,-22
2020-04-03,-25
2020-04-04,-26
2020-04-05,-25
2020-04-06,-23
2020-04-07,-20
2020-04-08,-22
2020-04-09,-21
2020-04-10,-23
2020-04-11,-22
