date,total
2020-02-29,2.0456981326141785
2020-03-01,4.590288808654685
2020-03-02,0.5585686849845014
2020-03-03,NA
2020-03-04,6.0615046185355155
2020-03-05,6.926410830185306
2020-03-06,6.805467183294076
2020-03-07,8.949034188063658
2020-03-08,3.0601925391031233
2020-03-09,-0.2792843424922507
2020-03-10,1.1147503243066759
2020-03-11,-5.510097070537995
2020-03-12,-1.9390767596969087
2020-03-13,-4.449453114577396
2020-03-14,-5.624675262329688
2020-03-15,-8.568698245866234
2020-03-16,NA
2020-03-17,-2.785682287935526
2020-03-18,-7.163524032643115
2020-03-19,-8.311692996222368
2020-03-20,-15.180814730511827
2020-03-21,-27.86955378955434
2020-03-22,-33.66370929390924
2020-03-23,-32.68740761801753
2020-03-24,-34.54612050708276
2020-03-25,-36.91884389543573
2020-03-26,-40.17159145129989
2020-03-27,-46.32778221444104
2020-03-28,-49.09118540952819
2020-03-29,-52.637539581858555
2020-03-30,-43.30419104216026
2020-03-31,-41.51151974975274
2020-04-01,-41.87832909986364
2020-04-02,-41.27997632050703
2020-04-03,-45.54244419153548
2020-04-04,-45.76682648379421
2020-04-05,-50.49556394086386
2020-04-06,-41.90776932969901
2020-04-07,-42.90475873466422
2020-04-08,-44.35767386113388
2020-04-09,-42.11146389288424
2020-04-10,-45.54244419153548
2020-04-11,-44.999789144299825
