date,BG,Blagoevgrad Province,Burgas,Dobrich Province,Gabrovo,Haskovo Province,Jambol,Kardzhali Province,Kyustendil Province,Lovec,Montana Province,Pazardzhik,Pernik,Pleven Province,Plovdiv Province,Razgrad,Ruse,Shumen Province,Silistra,Sliven Province,Smoljan,Sofia City Province,Sofia Province,Stara Zagora,Targovishte Province,Varna,Veliko Tarnovo Province,Vidin,Vraca
2020-02-15,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2020-02-16,-3,-3,-2,0,0,-3,0,0,0,0,0,-2,0,0,-3,0,-3,0,0,0,0,-4,-3,-3,0,-2,-2,0,0
2020-02-17,-2,-2,-1,-1,0,-1,-1,-2,-2,-1,-1,-1,-3,-1,-2,-1,-1,-1,-2,-1,-2,-2,-2,-2,-1,-1,-2,0,-1
2020-02-18,-2,-2,-1,-1,0,-1,-1,-2,-3,-1,-2,-1,-2,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,0,0
2020-02-19,-1,-1,-1,0,0,-1,-1,-1,-4,-1,-3,-1,-2,0,-2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
2020-02-20,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,1,1,-1,0,1,-1,0,1,1,0,0,0,1
2020-02-21,-1,-2,-1,0,-1,-1,-1,0,-3,0,-1,-1,-1,0,-2,0,0,0,-1,-1,0,-2,-1,-1,0,-1,0,0,-1
2020-02-22,0,1,1,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-23,-3,-3,-2,0,0,-3,0,0,0,0,0,-2,0,-2,-3,0,-2,0,0,0,0,-3,-2,-3,0,-2,-2,0,0
2020-02-24,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,-1,0,-1,1,0,0,-1,0,-1,-1,0,-1,0,0,-1,0,0
2020-02-25,-1,-1,-1,0,0,-1,-1,-2,-3,-2,-2,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-2,-1,-1,-1,-1,-1,0,-1
2020-02-26,-2,-1,-1,-2,-2,-1,-2,-1,-3,-2,-4,-1,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,0,-1
2020-02-27,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,0,0,1,-1,-1,1,-1,0,-1,0,-1,-1,0,0
2020-02-28,-1,-1,-2,0,-1,-2,-2,0,-1,-1,0,-1,0,0,-1,-1,-1,1,-2,-1,0,-1,0,-1,1,-1,-1,0,1
2020-02-29,0,-1,1,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,1,1,0,0
2020-03-01,-4,-3,-2,0,0,-4,0,0,0,0,0,-4,0,-4,-4,0,-5,0,0,0,0,-4,-3,-5,0,-3,-5,0,0
2020-03-02,0,-1,-1,-1,2,-1,-1,-3,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,1,-1,-1,-2,0,0
2020-03-03,12,9,8,11,0,9,0,0,11,0,0,11,14,12,13,0,12,11,0,11,0,14,13,14,0,10,11,0,12
2020-03-04,0,2,1,-1,0,-1,-2,0,-1,0,-3,-1,2,0,-1,-1,-1,3,-1,0,1,0,1,0,-1,0,0,0,0
2020-03-05,0,0,1,0,0,-1,-1,-1,-1,1,-1,-1,3,-1,-1,0,3,4,-3,0,1,0,2,2,0,2,-1,0,0
2020-03-06,1,1,1,2,1,0,0,3,1,1,1,1,1,1,0,1,1,3,0,1,2,2,1,2,2,2,1,0,2
2020-03-07,-1,0,-2,-3,0,-2,0,0,0,0,0,-2,0,-1,-2,0,-3,0,0,0,0,0,-1,-2,0,-3,-3,0,0
2020-03-08,-2,0,-3,0,0,-3,0,0,0,0,0,-1,0,0,-3,0,-2,0,0,0,0,-1,-1,-3,0,-3,-2,0,0
2020-03-09,4,5,1,1,7,1,2,3,6,6,5,4,4,7,3,5,4,4,0,2,4,5,5,2,4,1,3,0,6
2020-03-10,5,5,3,5,8,2,4,3,5,7,5,5,6,9,5,7,5,6,0,4,4,5,5,3,0,5,5,0,7
2020-03-11,3,3,2,2,5,2,3,2,1,4,0,3,4,6,3,4,3,4,0,3,4,5,4,2,4,3,3,0,4
2020-03-12,1,-1,-2,-1,3,-1,1,-2,-2,2,-1,0,2,4,1,0,1,0,0,0,0,3,1,1,-1,2,2,0,1
2020-03-13,3,0,2,0,3,0,1,1,0,3,0,0,3,5,2,1,2,2,0,2,2,6,2,2,2,4,2,0,2
2020-03-14,7,6,6,0,0,4,0,0,0,0,0,5,0,7,6,0,6,0,0,0,0,9,6,5,0,6,6,0,0
2020-03-15,9,9,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,11,9,7,0,9,0,0,0
2020-03-16,14,12,12,11,12,11,11,12,13,11,12,12,13,14,13,11,12,12,0,11,0,20,14,12,0,14,12,0,11
2020-03-17,16,14,13,13,13,12,12,0,13,13,11,13,16,14,15,0,13,12,0,13,0,23,15,14,0,17,13,0,13
2020-03-18,17,16,14,13,14,14,13,0,14,13,0,14,17,15,16,0,14,13,0,14,0,24,17,17,0,17,14,0,14
2020-03-19,17,16,13,12,12,13,12,0,13,13,0,13,17,13,15,0,14,13,0,13,0,24,16,15,0,17,14,0,13
2020-03-20,17,17,15,13,13,14,14,0,14,14,0,14,16,15,16,0,14,15,0,15,0,23,18,17,0,18,15,0,14
2020-03-21,13,13,13,0,0,12,0,0,0,0,0,12,0,11,14,0,10,0,0,0,0,16,11,12,0,14,11,0,0
2020-03-22,12,11,11,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,15,0,11,0,12,0,0,0
2020-03-23,22,20,19,18,18,18,0,0,20,18,0,19,22,20,21,0,19,19,0,19,0,28,22,21,0,21,19,0,20
2020-03-24,23,21,21,21,20,19,0,0,20,19,0,20,24,22,22,0,21,21,0,20,0,30,23,22,0,23,21,0,21
2020-03-25,23,19,20,18,18,19,0,0,18,19,0,19,22,21,21,0,19,20,0,19,0,29,22,21,0,22,20,0,21
2020-03-26,22,18,18,17,17,19,0,0,19,19,0,19,22,19,20,0,19,19,0,18,0,28,21,20,0,21,19,0,19
2020-03-27,22,20,19,18,17,19,0,0,19,18,0,19,21,20,21,0,19,20,0,19,0,29,22,21,0,22,20,0,21
2020-03-28,14,16,14,0,0,13,0,0,0,0,0,13,0,14,15,0,11,0,0,0,0,18,14,14,0,14,13,0,0
2020-03-29,11,10,11,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,15,0,10,0,12,0,0,0
2020-03-30,18,16,15,12,14,14,15,0,15,13,14,15,16,16,18,0,15,15,0,16,0,25,17,15,0,17,14,0,15
2020-03-31,20,17,17,16,17,16,16,0,15,15,0,17,18,17,20,0,17,16,0,17,0,26,18,18,0,19,17,0,17
2020-04-01,21,19,18,15,17,18,17,0,18,18,0,19,21,19,20,0,18,18,0,19,0,28,21,20,0,20,19,0,20
2020-04-02,21,17,17,14,16,19,0,0,17,17,0,18,21,18,20,0,17,17,0,18,0,28,21,19,0,19,17,0,18
2020-04-03,20,18,16,14,16,17,16,0,18,16,0,18,20,17,20,0,17,17,0,17,0,27,20,19,0,20,17,0,17
2020-04-04,15,18,14,0,0,0,0,0,0,0,0,16,0,12,18,0,11,0,0,0,0,19,15,16,0,14,12,0,0
2020-04-05,13,13,13,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,16,0,13,0,12,0,0,0
2020-04-06,18,16,16,13,16,16,17,0,16,14,13,16,17,15,18,0,15,15,0,16,0,25,18,17,0,18,14,0,15
