date,BG,Blagoevgrad Province,Burgas,Dobrich Province,Gabrovo,Haskovo Province,Jambol,Kardzhali Province,Kyustendil Province,Lovec,Montana Province,Pazardzhik,Pernik,Pleven Province,Plovdiv Province,Razgrad,Ruse,Shumen Province,Silistra,Sliven Province,Smoljan,Sofia City Province,Sofia Province,Stara Zagora,Targovishte Province,Varna,Veliko Tarnovo Province,Vidin,Vraca
2020-02-15,-1,8,0,-6,-7,-5,-6,-10,-3,-5,3,-4,-10,-4,-3,5,-2,-6,-7,-8,0,4,-1,-5,-3,-3,0,19,0
2020-02-16,17,19,13,9,23,19,19,6,30,29,25,17,20,13,22,20,17,-1,9,8,24,14,32,17,3,6,15,19,24
2020-02-17,4,6,5,4,0,3,4,-2,3,5,6,-1,5,7,1,12,6,0,1,4,18,7,7,5,4,-1,3,6,6
2020-02-18,4,4,5,5,1,4,5,-6,-3,6,5,0,6,5,4,4,5,2,2,6,6,4,7,0,9,-1,0,8,4
2020-02-19,1,5,5,-3,-1,0,6,-9,-1,5,-1,4,0,-3,4,6,1,-1,-8,1,11,3,4,0,9,-2,-3,1,0
2020-02-20,-3,-1,-6,-4,-14,-11,-5,-13,-8,-8,-9,-4,-11,3,-1,70,-3,-7,-10,-6,9,-1,-5,-10,-4,-4,-6,-11,-5
2020-02-21,0,4,3,-2,-5,-2,1,-8,-3,-3,0,-1,-7,-6,1,3,-2,-4,-2,0,4,2,0,-1,-4,2,-7,2,-3
2020-02-22,1,0,-2,-5,-7,-5,0,-12,-3,6,15,4,-10,0,1,-1,-4,-8,0,-7,2,5,-5,-2,-7,2,0,9,0
2020-02-23,13,7,12,6,19,17,38,-1,21,25,18,15,19,9,18,19,5,-5,11,7,22,11,17,11,7,5,21,4,16
2020-02-24,-2,-1,2,-2,-3,-2,2,-4,-5,-8,0,-3,-4,-3,-3,-1,-2,-5,-3,-1,13,0,1,1,-5,-1,-3,-3,1
2020-02-25,3,-1,5,3,-1,3,7,-4,-6,1,11,-3,1,6,1,0,4,-1,2,2,5,3,3,1,5,3,-1,6,2
2020-02-26,5,2,10,8,2,-2,11,-9,-1,2,11,4,1,5,3,4,11,9,1,3,11,6,3,5,10,5,3,8,6
2020-02-27,-2,-6,0,-1,-8,-6,1,-3,-11,-7,1,-3,-6,3,-2,-4,2,-5,-3,-4,-5,-2,-6,-3,2,1,-2,-1,0
2020-02-28,-3,-6,5,-3,-5,1,20,-3,-10,-9,-9,-4,-14,-3,-2,2,2,-2,2,2,0,-6,-4,1,2,-1,-1,-6,-4
2020-02-29,0,3,0,-5,-4,-3,58,0,8,-4,24,9,0,10,2,3,5,-7,8,-6,7,-4,3,4,1,-9,1,16,13
2020-03-01,14,16,14,12,35,23,72,11,24,33,31,23,16,21,22,34,12,5,37,14,59,1,25,21,19,-3,22,25,27
2020-03-02,7,17,11,9,20,11,19,10,7,10,17,13,9,14,6,15,11,8,13,13,41,1,13,14,16,2,15,18,13
2020-03-03,3,2,8,3,-11,-2,8,-2,-2,8,0,6,7,9,13,-8,2,11,-3,4,-2,-3,19,5,-14,0,20,-8,-4
2020-03-04,-3,-13,10,3,-7,-3,3,-14,-2,-7,-3,0,-10,-3,-3,12,5,2,2,1,-24,-6,-6,0,8,1,1,3,-2
2020-03-05,1,-3,7,2,-6,-3,0,-2,-1,-1,12,0,-8,9,0,13,5,0,7,-2,-6,0,-6,-1,8,0,2,2,4
2020-03-06,2,-6,11,6,1,3,7,-3,-2,0,5,-1,-6,2,4,21,6,4,11,4,4,0,4,5,10,4,7,8,5
2020-03-07,5,-3,11,17,12,5,10,5,4,2,23,9,-8,7,9,21,14,13,16,9,7,-2,3,11,26,6,22,16,9
2020-03-08,13,-11,24,47,-4,24,28,17,18,16,25,16,9,-2,20,61,20,20,50,30,-13,0,4,27,33,10,28,27,47
2020-03-09,-9,-20,6,4,-25,-5,4,-6,-11,-16,-10,-15,-15,-22,-10,5,-5,-7,2,5,-17,-13,-12,-1,-2,-3,-11,-3,-10
2020-03-10,-12,-19,0,-10,-28,-8,-7,-11,-16,-17,-5,-12,-14,-23,-13,-9,-9,-18,-11,-8,-23,-15,-14,-7,-14,-10,-16,-13,-12
2020-03-11,-5,-8,7,1,-16,-2,6,-8,0,-5,6,1,0,-14,-2,6,2,2,-2,-5,-12,-9,-3,-1,5,-3,-6,7,5
2020-03-12,-2,-8,7,5,-13,-4,8,3,1,5,10,0,6,-6,0,2,7,3,-2,1,-2,-8,5,-3,13,-1,-4,5,5
2020-03-13,-14,-15,-4,-3,-23,-8,-2,-9,-9,-14,-1,-9,-11,-22,-14,-4,-4,-7,-1,-9,-14,-21,-2,-14,-13,-13,-17,2,-6
2020-03-14,-52,-51,-45,-43,-52,-42,-37,-50,-44,-52,-33,-44,-50,-56,-53,-38,-50,-48,-28,-41,-49,-61,-39,-47,-39,-55,-50,-42,-40
2020-03-15,-68,-71,-67,-61,-66,-64,-52,-69,-55,-65,-49,-63,-60,-68,-71,-50,-61,-62,-35,-56,-62,-75,-57,-62,-68,-74,-68,-62,-52
2020-03-16,-50,-53,-45,-40,-44,-41,-38,-59,-48,-45,-39,-47,-44,-46,-49,-34,-42,-44,-35,-37,-50,-58,-40,-44,-42,-54,-46,-39,-37
2020-03-17,-54,-60,-49,-45,-53,-46,-40,-58,-51,-52,-38,-51,-48,-51,-53,-40,-44,-49,-39,-45,-62,-63,-43,-49,-42,-59,-53,-47,-42
2020-03-18,-55,-63,-49,-45,-51,-46,-42,-60,-51,-53,-38,-51,-49,-52,-55,-44,-45,-50,-42,-45,-61,-63,-43,-51,-45,-58,-52,-44,-42
2020-03-19,-54,-63,-49,-46,-51,-46,-42,-58,-51,-51,-36,-50,-49,-49,-54,-45,-46,-47,-39,-44,-60,-63,-44,-51,-46,-57,-53,-50,-40
2020-03-20,-56,-64,-50,-47,-57,-50,-46,-60,-50,-56,-40,-54,-50,-54,-55,-48,-50,-48,-40,-48,-64,-63,-43,-53,-52,-58,-55,-47,-46
2020-03-21,-66,-73,-63,-61,-65,-61,-57,-67,-63,-69,-51,-66,-61,-64,-67,-56,-60,-62,-46,-62,-72,-71,-56,-64,-62,-69,-65,-63,-56
2020-03-22,-71,-77,-69,-69,-67,-65,-58,-67,-65,-70,-53,-72,-64,-70,-74,-58,-67,-70,-47,-64,-70,-76,-61,-66,-70,-75,-71,-68,-59
2020-03-23,-65,-70,-60,-58,-61,-59,-54,-70,-60,-62,-56,-64,-63,-63,-63,-57,-59,-62,-53,-53,-63,-72,-53,-59,-60,-65,-62,-64,-61
2020-03-24,-67,-70,-65,-61,-66,-62,-59,-71,-64,-65,-56,-67,-63,-68,-67,-65,-63,-66,-61,-62,-70,-73,-60,-64,-67,-67,-67,-70,-69
2020-03-25,-64,-66,-60,-58,-63,-58,-56,-72,-56,-64,-50,-61,-56,-61,-63,-56,-53,-59,-47,-56,-67,-70,-58,-59,-60,-63,-62,-62,-61
2020-03-26,-62,-67,-56,-53,-63,-58,-53,-70,-59,-62,-50,-63,-57,-57,-61,-52,-52,-55,-45,-54,-66,-69,-58,-58,-59,-61,-60,-61,-57
2020-03-27,-60,-66,-54,-53,-60,-57,-52,-71,-57,-60,-48,-62,-56,-58,-61,-50,-51,-52,-43,-52,-66,-67,-54,-57,-59,-59,-60,-54,-56
2020-03-28,-65,-73,-60,-59,-65,-62,-56,-72,-63,-67,-47,-67,-62,-62,-67,-50,-57,-57,-44,-62,-70,-69,-60,-61,-58,-65,-65,-57,-58
2020-03-29,-66,-74,-65,-61,-61,-66,-58,-71,-57,-64,-41,-68,-58,-64,-68,-48,-58,-63,-37,-61,-66,-70,-60,-63,-63,-72,-68,-59,-53
2020-03-30,-54,-60,-47,-45,-50,-49,-44,-63,-47,-52,-45,-53,-46,-51,-57,-43,-44,-51,-42,-46,-58,-61,-46,-50,-45,-56,-52,-45,-47
2020-03-31,-59,-64,-56,-51,-57,-55,-52,-69,-54,-57,-46,-59,-51,-55,-61,-53,-54,-57,-51,-54,-67,-65,-51,-59,-58,-61,-58,-59,-51
2020-04-01,-63,-67,-56,-54,-61,-59,-53,-69,-61,-67,-52,-61,-59,-60,-63,-53,-53,-58,-49,-56,-65,-70,-58,-60,-59,-61,-61,-61,-59
2020-04-02,-61,-65,-56,-49,-58,-63,-55,-71,-59,-60,-45,-62,-57,-54,-64,-50,-48,-54,-43,-52,-69,-67,-55,-59,-54,-57,-58,-58,-52
2020-04-03,-57,-63,-50,-47,-55,-54,-48,-61,-54,-57,-42,-58,-52,-54,-59,-47,-49,-53,-41,-49,-63,-64,-50,-55,-54,-55,-55,-53,-52
2020-04-04,-69,-76,-64,-58,-68,-70,-60,-75,-66,-70,-50,-73,-63,-65,-74,-55,-62,-64,-46,-65,-76,-73,-65,-68,-56,-66,-66,-61,-59
2020-04-05,-70,-77,-70,-62,-66,-73,-63,-79,-62,-70,-47,-73,-65,-67,-77,-56,-62,-68,-49,-69,-76,-73,-67,-67,-61,-71,-68,-62,-58
2020-04-06,-54,-60,-51,-43,-48,-50,-48,-63,-51,-50,0,-51,-47,-49,-55,0,-45,-50,0,-46,0,-60,-46,-52,0,-55,-48,0,-46
2020-04-07,-51,-57,-48,-41,-49,-46,-42,-58,-49,-50,0,-50,-42,-46,-53,0,-42,-44,0,-43,-60,-59,-42,-50,0,-52,-49,0,-40
2020-04-08,-50,-56,-43,-40,-45,-45,-41,-58,-43,-48,0,-49,-39,-46,-50,0,-41,-46,0,-43,-56,-57,-40,-47,0,-50,-47,0,-38
2020-04-09,-48,-55,-42,-38,-45,-44,-41,-53,-42,-46,0,-48,-39,-41,-49,0,-40,-43,0,-39,0,-56,-40,-47,0,-48,-46,0,-36
2020-04-10,-49,-57,-41,-37,-50,-46,-40,-56,-44,-49,0,-49,-41,-47,-50,-36,-43,-46,0,-43,-56,-55,-39,-45,-46,-47,-49,0,-40
2020-04-11,-55,-65,-51,-48,-57,-53,-47,-57,-50,-61,0,-55,-46,-53,-59,0,-52,-51,0,-54,-66,-59,-46,-53,0,-54,-57,0,-45
