date,total
2020-02-29,-1.401841972574919
2020-03-01,-1.101163926391617
2020-03-02,-0.5839024854641428
2020-03-03,-3.099601916723378
2020-03-04,-3.411386803662791
2020-03-05,-2.096812865600176
2020-03-06,-3.3891731221505683
2020-03-07,-2.7473563956009874
2020-03-08,-4.910810305737832
2020-03-09,-4.795775169335249
2020-03-10,-5.086139720530733
2020-03-11,-6.074648547824649
2020-03-12,-0.9194877454523662
2020-03-13,-4.990144882567199
2020-03-14,-6.252357999922432
2020-03-15,-0.059500932622025424
2020-03-16,-3.873114040809708
2020-03-17,-8.366624472425068
2020-03-18,-9.754979566938994
2020-03-19,-9.767673099231693
2020-03-20,-17.266377301143482
2020-03-21,-14.354798331505707
2020-03-22,-12.023948464258899
2020-03-23,-6.916388407984235
2020-03-24,-7.854916451875649
2020-03-25,-7.2115130337894815
2020-03-26,-16.28897531460568
2020-03-27,-32.21063153849139
2020-03-28,-24.953104450140874
2020-03-29,-21.90507000835659
2020-03-30,-19.950266035280976
2020-03-31,-18.177931588912912
2020-04-01,-18.25329943690081
2020-04-02,-16.202500625861667
2020-04-03,-24.445363158432926
2020-04-04,-18.364367844461928
2020-04-05,-15.803447704409955
2020-04-06,-15.616218103092647
2020-04-07,-17.244956965399552
2020-04-08,-16.75784266366724
2020-04-09,-12.697499021540224
2020-04-10,-24.071697301566605
2020-04-11,-14.999788441128462
