date,BR,Federal District,State of Acre,State of Alagoas,State of Amapá,State of Amazonas,State of Bahia,State of Ceará,State of Espírito Santo,State of Goiás,State of Maranhão,State of Mato Grosso,State of Mato Grosso do Sul,State of Minas Gerais,State of Pará,State of Paraíba,State of Paraná,State of Pernambuco,State of Piauí,State of Rio de Janeiro,State of Rio Grande do Norte,State of Rio Grande do Sul,State of Rondônia,State of Roraima,State of Santa Catarina,State of São Paulo,State of Sergipe,State of Tocantins
2020-02-15,5,10,2,5,11,9,-1,-2,-1,3,-3,0,6,7,0,2,5,5,-4,7,5,4,7,9,1,6,5,4
2020-02-16,2,11,-1,-4,8,4,-4,-8,-9,1,-3,3,-1,3,1,-7,2,4,2,-4,-3,-2,2,2,-8,7,-2,2
2020-02-17,-2,2,-5,-4,2,-2,-4,-9,-5,-4,-4,-3,-1,0,-4,-7,-5,-2,-7,4,3,-2,0,-5,-8,-4,-5,-3
2020-02-18,-3,1,-1,-3,-1,-1,-3,-8,-3,-1,0,-3,0,1,-3,-3,-5,1,-8,1,-1,-3,-3,-4,-9,-5,-3,-4
2020-02-19,-1,-2,-2,1,-3,-4,-2,-8,-2,-2,-3,-4,-7,3,-3,-4,-5,3,-4,3,-8,1,-10,-4,-4,-3,-4,-4
2020-02-20,1,4,-2,-11,-2,1,4,-3,3,2,-2,2,-8,11,-7,-4,6,-1,-1,3,1,1,-1,0,0,3,4,-2
2020-02-21,2,7,-6,-2,9,5,-1,-5,-2,2,-1,0,4,8,-1,0,1,3,-2,5,4,3,1,1,0,2,-1,0
2020-02-22,-3,-6,5,-9,3,-1,-4,-22,-4,-3,-3,-6,4,2,-4,-3,-2,-11,-12,-8,-2,-3,6,4,5,-3,-8,6
2020-02-23,4,-6,6,-8,18,4,5,-20,-1,1,-1,-3,3,13,-2,-6,6,-5,-9,8,-4,4,0,4,7,7,-14,10
2020-02-24,-14,-31,-2,-24,-7,-3,-17,-33,-14,-22,-20,-4,-5,-21,-8,-23,-13,-26,-36,-18,-25,-16,-1,-5,-3,-9,-26,-10
2020-02-25,-31,-39,-20,-31,-8,-23,-26,-37,-22,-31,-29,-32,-32,-28,-28,-26,-44,-30,-43,-29,-26,-41,-28,-18,-23,-32,-35,-29
2020-02-26,-18,-20,-14,-23,-20,-21,-17,-25,-15,-11,-19,-13,-21,-18,-22,-19,-19,-21,-29,-26,-22,-9,-14,-12,-13,-20,-21,-8
2020-02-27,-8,-4,-10,-10,-3,-10,-7,-10,-12,-7,-11,-4,-7,-4,-8,-9,0,-9,-14,-18,-10,-4,-8,-5,-4,-6,-7,-8
2020-02-28,-5,-2,-8,-10,7,-4,-7,-13,-15,-7,-8,-7,-2,-6,-8,-7,0,-7,-10,-6,-7,2,1,-4,-5,-4,-9,-7
2020-02-29,-3,1,1,-7,9,-2,-9,-14,-6,-5,-7,-4,1,-5,-3,-2,1,-4,-8,-8,-6,4,7,4,-4,-1,-8,-2
2020-03-01,-9,1,-7,-12,-1,-5,-13,-20,-22,-2,-10,-4,-4,-11,-4,-17,-4,-7,-12,-31,-20,1,5,0,-14,-4,-11,-1
2020-03-02,-6,-3,4,-6,0,-6,-6,-12,-13,-5,-4,-4,-2,-7,-2,-7,-6,-5,-11,-14,-1,2,4,-2,-13,-7,-7,-6
2020-03-03,-5,4,2,-4,-1,1,-5,-8,-5,0,-5,-2,0,-4,-4,-4,-4,-3,-11,-7,-3,3,-5,3,-12,-7,-5,-6
2020-03-04,-1,2,3,-2,1,-4,-4,-9,-9,1,-4,-2,-3,0,1,-4,-1,-2,-11,-3,-6,3,-1,-1,-6,-1,-5,1
2020-03-05,0,2,1,-4,7,2,-3,-3,-6,-1,-5,5,2,4,3,-2,5,6,-7,0,-1,3,4,3,-3,3,-2,2
2020-03-06,6,8,1,-1,12,9,-6,-1,-3,3,2,7,13,8,4,1,7,-18,-1,14,1,13,11,8,2,9,-3,4
