date,total
2020-02-29,2.7072645236245814
2020-03-01,0.3305241854262981
2020-03-02,0.672225517219669
2020-03-03,0.2634613072238608
2020-03-04,2.05260309355317
2020-03-05,0.7257161462620892
2020-03-06,1.4721898500630282
2020-03-07,1.9687744958001234
2020-03-08,-0.16526209271314904
2020-03-09,1.0083382758295034
2020-03-10,1.8434307829693775
2020-03-11,3.1783014062369386
2020-03-12,1.253437128307459
2020-03-13,1.4721898500630282
2020-03-14,3.076110353737987
2020-03-15,0.9915725562788942
2020-03-16,-8.338949557434018
2020-03-17,-13.692004299664278
2020-03-18,-16.091897298194358
2020-03-19,-19.061824761445152
2020-03-20,-31.123562426712088
2020-03-21,-34.578099021735255
2020-03-22,-35.85389044277686
2020-03-23,-43.1733245780143
2020-03-24,-63.261051702437214
2020-03-25,-63.83747310793911
2020-03-26,-63.452659925872744
2020-03-27,-61.71142019540232
2020-03-28,-56.60426267324767
2020-03-29,-51.88032159796408
2020-03-30,-61.53178748593151
2020-03-31,-62.53693229137043
2020-04-01,-62.04992805680511
2020-04-02,-63.32092927226082
2020-04-03,-61.91260883000964
2020-04-04,-81.09179362830905
2020-04-05,-75.5080106503585
2020-04-06,-63.280212524780765
2020-04-07,-63.787974316884934
2020-04-08,-63.308155390698445
2020-04-09,-82.18475886948926
2020-04-10,-88.68506784953978
2020-04-11,-79.00007052247112
