date,BW
2020-02-15,7
2020-02-16,5
2020-02-17,8
2020-02-18,8
2020-02-19,9
2020-02-20,9
2020-02-21,10
2020-02-22,10
2020-02-23,7
2020-02-24,4
2020-02-25,6
2020-02-26,6
2020-02-27,4
2020-02-28,3
2020-02-29,1
2020-03-01,4
2020-03-02,3
2020-03-03,9
2020-03-04,8
2020-03-05,9
2020-03-06,10
2020-03-07,8
2020-03-08,11
2020-03-09,9
2020-03-10,7
2020-03-11,6
2020-03-12,7
2020-03-13,7
2020-03-14,6
2020-03-15,4
2020-03-16,3
2020-03-17,3
2020-03-18,3
2020-03-19,5
2020-03-20,9
2020-03-21,6
2020-03-22,2
2020-03-23,-4
2020-03-24,-7
2020-03-25,-8
2020-03-26,-9
2020-03-27,-6
2020-03-28,-1
2020-03-29,-3
2020-03-30,-16
2020-03-31,-19
2020-04-01,-24
2020-04-02,-31
2020-04-03,-68
2020-04-04,-48
2020-04-05,-36
2020-04-06,-67
2020-04-07,-69
2020-04-08,-70
2020-04-09,-70
2020-04-10,-81
2020-04-11,-52
