date,BY
2020-02-15,10
2020-02-16,1
2020-02-17,1
2020-02-18,3
2020-02-19,6
2020-02-20,10
2020-02-21,9
2020-02-22,12
2020-02-23,7
2020-02-24,0
2020-02-25,2
2020-02-26,5
2020-02-27,1
2020-02-28,0
2020-02-29,1
2020-03-01,-4
2020-03-02,-1
2020-03-03,5
2020-03-04,5
2020-03-05,8
2020-03-06,11
2020-03-07,17
2020-03-08,12
2020-03-09,1
2020-03-10,6
2020-03-11,1
2020-03-12,0
2020-03-13,2
2020-03-14,-6
2020-03-15,-1
2020-03-16,-1
2020-03-17,-2
2020-03-18,-1
2020-03-19,-4
2020-03-20,-2
2020-03-21,-11
2020-03-22,-16
2020-03-23,-8
2020-03-24,-5
2020-03-25,-2
2020-03-26,-3
2020-03-27,-7
2020-03-28,-13
2020-03-29,-14
2020-03-30,-18
2020-03-31,-15
2020-04-01,-22
2020-04-02,-25
2020-04-03,-30
2020-04-04,-33
2020-04-05,-30
2020-04-06,-22
2020-04-07,-16
2020-04-08,-20
2020-04-09,-23
2020-04-10,-22
2020-04-11,-31
