date,CA,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
2020-02-15,3,7,2,1,11,-1,0,4,0,5,0,5,3,0
2020-02-16,4,3,10,-4,15,13,0,27,NA,5,0,2,0,0
2020-02-17,-28,-40,-21,-37,-24,6,0,-34,0,-40,0,-1,-29,0
2020-02-18,-1,-9,1,-5,-1,-3,0,0,0,2,0,-2,-4,0
2020-02-19,0,-7,5,-9,6,-19,0,-1,0,-2,0,0,-6,0
2020-02-20,-1,-6,0,-7,2,3,0,-3,0,0,0,-2,-2,0
2020-02-21,-1,-1,3,-2,2,4,0,0,0,-1,0,0,-3,0
2020-02-22,6,4,4,11,12,2,0,4,0,11,0,7,-3,0
2020-02-23,5,0,1,1,22,18,0,35,NA,9,0,4,-1,0
2020-02-24,-1,3,0,2,3,13,0,3,0,-2,0,-3,-2,0
2020-02-25,0,2,1,-1,7,9,0,4,0,1,0,-2,0,0
2020-02-26,-2,1,3,4,12,8,0,9,0,-6,0,-2,-1,0
2020-02-27,-5,1,0,-4,-20,0,0,-8,0,-5,0,-10,0,0
2020-02-28,1,6,2,1,8,-12,0,6,0,-1,0,5,4,0
2020-02-29,6,4,7,8,22,16,0,13,0,6,0,13,3,0
2020-03-01,6,4,6,3,17,18,0,28,NA,4,0,11,0,0
2020-03-02,-2,1,-4,-2,1,-10,0,4,0,-2,0,-8,1,0
2020-03-03,-2,0,-2,2,0,5,0,2,0,0,0,-8,2,0
2020-03-04,0,0,4,-2,-2,-3,0,2,0,0,0,-9,-1,0
2020-03-05,-1,0,-4,2,-1,0,0,0,0,2,0,-7,2,0
2020-03-06,-3,3,4,-1,1,8,0,6,0,-3,0,-8,2,0
2020-03-07,3,-6,0,6,8,-12,0,-8,0,8,0,6,-7,0
2020-03-08,3,-4,6,-4,17,15,0,32,0,6,0,2,-2,0
2020-03-09,-3,-1,-3,-5,0,21,0,3,0,-3,0,-5,-4,0
2020-03-10,-6,-4,-7,-1,-9,7,0,0,0,-4,0,-7,3,0
2020-03-11,-3,-5,-3,-3,0,1,0,3,0,-5,0,-3,0,0
2020-03-12,-6,-8,-8,-6,1,4,0,2,0,-6,0,-6,-3,0
2020-03-13,-17,-17,-14,-12,-12,4,0,-7,0,-16,0,-23,-7,0
2020-03-14,-19,-26,-17,-12,-5,-11,0,-2,0,-17,0,-21,-13,0
2020-03-15,-22,-25,-15,-22,0,11,0,13,NA,-22,0,-28,-17,0
2020-03-16,-37,-39,-27,-29,-18,-9,-17,-27,0,-39,0,-43,-23,0
2020-03-17,-45,-45,-34,-31,-26,-15,0,-33,0,-46,0,-52,-24,0
2020-03-18,-48,-52,-39,-41,-30,-25,0,-36,0,-51,0,-52,-31,0
2020-03-19,-52,-56,-45,-48,-34,-24,-20,-42,0,-54,0,-55,-37,0
2020-03-20,-54,-53,-45,-46,-44,-32,0,-49,0,-56,0,-59,-39,0
2020-03-21,-49,-47,-46,-41,-38,-37,0,-38,0,-49,0,-52,-37,0
2020-03-22,-54,-51,-53,-50,-39,-19,0,-38,NA,-55,0,-56,-46,0
2020-03-23,-63,-63,-58,-54,-52,-39,-51,-58,0,-66,0,-66,-50,0
2020-03-24,-64,-66,-61,-57,-54,-50,-50,-66,0,-64,0,-67,-50,0
2020-03-25,-65,-66,-58,-57,-50,-67,-53,-57,0,-67,0,-71,-53,0
2020-03-26,-68,-68,-64,-60,-54,-56,-55,-69,0,-68,0,-73,-54,0
2020-03-27,-66,-65,-64,-57,-60,-70,-48,-65,0,-67,0,-70,-51,0
2020-03-28,-64,-63,-65,-50,-41,-49,-49,-52,0,-65,0,-64,-49,0
2020-03-29,-66,-63,-59,-56,-47,-60,-59,-45,0,-66,0,-75,-52,0
2020-03-30,-70,-71,-64,-57,-58,-63,-54,-64,0,-71,0,-76,-55,0
2020-03-31,-68,-70,-62,-58,-60,-58,-48,-66,0,-69,0,-72,-55,0
2020-04-01,-68,-71,-63,-62,-61,-62,-50,-66,0,-69,0,-73,-57,0
2020-04-02,-70,-72,-65,-68,-61,-67,-60,-74,0,-69,0,-76,-58,0
2020-04-03,-69,-71,-63,-65,-60,-61,-57,-69,0,-70,0,-75,-56,0
2020-04-04,-63,-63,-62,-57,-55,-62,-54,-61,0,-63,0,-63,-59,0
2020-04-05,-67,-69,-61,-61,-53,-58,-62,-51,NA,-67,0,-75,-59,0
2020-04-06,-68,-69,-61,-61,-58,-60,-56,-66,0,-70,0,-72,-60,0
2020-04-07,-68,-70,-60,-59,-57,-60,-50,-67,0,-69,0,-72,-53,0
2020-04-08,-67,-69,-59,-62,-54,-63,-47,-66,0,-69,0,-73,-57,0
2020-04-09,-68,-67,-59,-59,-54,-60,-52,-65,0,-68,0,-77,-53,0
2020-04-10,-77,-77,-67,-73,-81,-83,-60,-83,0,-81,0,-78,-65,0
2020-04-11,-63,-64,-58,-55,-57,-63,-49,-62,0,-62,0,-67,-58,0
