date,CH,Aargau,Appenzell Ausserrhoden,Appenzell Innerrhoden,Basel City,Basel-Landschaft,Canton of Bern,Canton of Zug,Fribourg,Geneva,Glarus,Grisons,Jura,Lucerne,Neuchâtel,Nidwalden,Obwalden,Schaffhausen,Schwyz,Solothurn,St. Gallen,Thurgau,Ticino,Uri,Valais,Vaud,Zurich
2020-02-15,-1,-1,0,NA,0,-1,-1,0,-1,-2,0,-1,0,-2,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,-3
2020-02-16,-1,0,0,NA,0,0,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2020-02-17,1,2,0,0,2,1,1,0,2,1,0,1,2,3,1,0,0,0,1,1,1,1,1,0,1,3,2
2020-02-18,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1
2020-02-19,1,1,0,0,0,1,1,1,1,1,0,2,1,2,1,0,0,1,1,1,0,0,0,0,1,2,1
2020-02-20,0,-1,0,0,-1,-1,0,-1,-1,0,0,0,1,-2,-1,0,0,0,-1,-1,0,0,-1,0,-1,1,0
2020-02-21,1,1,0,0,0,0,0,2,0,0,0,1,2,4,-1,0,0,0,4,1,1,1,0,0,-1,2,1
2020-02-22,-2,-1,0,NA,0,-2,-2,0,-2,-1,0,-2,0,-4,-2,0,0,0,0,-2,-2,0,-1,0,-2,-1,-2
2020-02-23,-1,-1,0,NA,0,0,0,0,-2,-2,0,1,0,-2,0,0,0,0,0,0,0,0,-1,0,-2,-1,0
2020-02-24,0,0,0,0,1,1,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,-1,0
2020-02-25,1,1,0,0,2,2,1,2,1,1,0,1,0,3,2,0,0,0,3,2,1,1,4,0,2,0,0
2020-02-26,2,1,0,0,2,3,2,3,3,1,0,3,3,6,2,0,0,0,4,2,2,1,5,0,4,2,1
2020-02-27,2,2,0,0,2,3,2,3,4,2,0,3,3,5,4,0,0,1,3,2,2,2,6,0,5,2,1
2020-02-28,2,1,0,0,3,3,1,2,2,0,0,3,0,4,2,0,0,0,2,2,1,1,5,0,2,0,1
2020-02-29,2,2,0,NA,0,1,2,0,2,2,0,3,0,3,0,0,0,0,0,2,2,2,5,0,2,3,1
2020-03-01,1,0,0,NA,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4,0,2,1,0
2020-03-02,3,3,0,0,10,11,2,2,2,2,0,3,1,3,1,0,0,1,2,3,1,2,5,0,2,2,3
2020-03-03,2,2,0,0,5,6,1,2,0,1,0,3,1,2,0,0,0,0,1,2,2,1,3,0,1,0,2
2020-03-04,1,1,0,0,5,5,1,2,0,1,0,2,1,2,1,0,0,1,1,2,1,1,2,0,1,0,2
2020-03-05,3,3,0,0,6,7,3,3,2,3,0,3,2,3,2,0,0,2,3,3,3,2,4,0,3,3,3
2020-03-06,3,3,0,0,7,7,3,4,2,2,0,4,2,4,2,0,0,2,4,3,2,2,4,0,1,1,4
2020-03-07,3,2,0,NA,0,2,3,0,3,1,0,3,0,3,0,0,0,0,0,2,2,3,4,0,2,2,3
2020-03-08,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,1
2020-03-09,3,3,0,0,4,4,3,3,2,2,0,4,2,3,2,0,0,2,3,2,2,2,6,0,2,2,4
2020-03-10,4,3,0,0,5,5,3,5,3,3,0,4,3,3,2,0,0,2,3,4,3,3,7,0,3,3,5
2020-03-11,3,2,0,0,3,3,2,4,1,2,0,3,2,2,2,0,0,2,3,2,1,1,8,0,1,2,4
