date,CI
2020-02-15,12
2020-02-16,4
2020-02-17,7
2020-02-18,11
2020-02-19,8
2020-02-20,7
2020-02-21,7
2020-02-22,7
2020-02-23,6
2020-02-24,3
2020-02-25,10
2020-02-26,5
2020-02-27,5
2020-02-28,7
2020-02-29,10
2020-03-01,10
2020-03-02,9
2020-03-03,8
2020-03-04,9
2020-03-05,8
2020-03-06,11
2020-03-07,9
2020-03-08,9
2020-03-09,10
2020-03-10,13
2020-03-11,11
2020-03-12,7
2020-03-13,5
2020-03-14,1
2020-03-15,2
2020-03-16,6
2020-03-17,8
2020-03-18,1
2020-03-19,-2
2020-03-20,-4
2020-03-21,-8
2020-03-22,-13
2020-03-23,-7
2020-03-24,-10
2020-03-25,-15
2020-03-26,-15
2020-03-27,-18
2020-03-28,-19
2020-03-29,-21
2020-03-30,-18
2020-03-31,-13
2020-04-01,-19
2020-04-02,-15
2020-04-03,-18
2020-04-04,-21
2020-04-05,-23
2020-04-06,-17
2020-04-07,-19
2020-04-08,-20
2020-04-09,-19
2020-04-10,-22
2020-04-11,-21
