date,CL,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysén,Bio Bio,Coquimbo,Los Lagos,Los Ríos,Magallanes and Chilean Antarctica,Maule,Ñuble,O'Higgins,Santiago Metropolitan Region,Tarapacá,Valparaíso
2020-02-15,0,0,-1,0,0,0,-1,-1,1,1,0,0,2,0,0,1,-1
2020-02-16,0,0,1,0,0,0,0,0,3,4,0,0,0,0,-1,0,0
2020-02-17,1,1,2,2,0,3,1,0,1,2,2,1,2,0,1,1,1
2020-02-18,1,1,1,1,1,1,1,0,1,0,3,1,2,0,1,1,1
2020-02-19,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1
2020-02-20,1,1,0,2,1,-1,1,1,0,1,0,1,1,0,1,2,1
2020-02-21,2,1,0,0,2,-1,2,2,0,1,-1,1,2,1,2,3,2
2020-02-22,0,1,-1,1,2,0,1,1,-3,-1,-3,0,3,1,1,1,1
2020-02-23,1,1,1,1,2,0,2,1,1,1,1,2,0,1,1,1,1
2020-02-24,2,1,2,1,3,3,2,1,2,3,2,2,3,1,2,2,2
2020-02-25,1,1,1,1,2,0,2,1,1,1,2,1,2,1,2,2,1
2020-02-26,2,1,2,2,2,1,2,2,2,2,3,1,2,1,2,1,2
2020-02-27,2,1,2,2,2,1,2,2,2,2,3,2,3,1,2,1,2
2020-02-28,1,0,1,1,2,0,1,1,1,2,0,1,2,1,1,1,1
2020-02-29,0,0,0,0,2,0,1,1,-1,0,0,1,2,1,0,1,1
2020-03-01,2,1,2,0,2,0,4,3,1,3,0,4,0,3,2,2,2
2020-03-02,0,0,0,-1,1,0,0,-1,-1,0,0,0,1,0,0,-1,0
2020-03-03,0,-1,-1,-1,1,-2,0,0,-1,-1,0,-1,1,0,0,0,0
2020-03-04,0,0,-1,1,2,0,1,0,-2,-2,1,-1,1,0,0,-1,1
2020-03-05,0,-1,0,-1,1,-2,0,0,-1,0,-2,-1,-1,-1,0,0,-1
2020-03-06,0,-1,-1,-1,2,-1,0,-1,0,1,-2,-1,0,-2,0,0,-1
2020-03-07,3,2,4,3,7,0,4,4,4,5,2,4,4,3,2,3,3
2020-03-08,5,3,7,4,11,0,7,6,7,7,2,6,0,5,4,4,5
2020-03-09,0,1,-1,-3,2,-2,-1,-1,-2,-1,-3,-2,0,-2,0,-1,-1
2020-03-10,-2,-2,-2,-2,-1,-3,-1,-2,-3,-2,-3,-2,-1,-3,-2,-2,-2
2020-03-11,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-2,-1,-2,0,-1,0
2020-03-12,-1,-1,0,-1,1,-1,-1,-1,0,1,0,-1,0,-2,-1,-1,-1
2020-03-13,-1,-1,0,-1,2,-1,0,-1,1,1,-3,-2,-1,-3,0,0,-1
2020-03-14,3,3,5,3,7,0,4,4,4,5,2,4,5,3,3,4,3
2020-03-15,6,5,8,4,12,0,9,7,7,9,3,8,0,5,5,5,5
2020-03-16,7,6,8,3,8,7,7,6,6,8,4,6,6,5,8,5,5
2020-03-17,11,9,11,6,10,7,11,9,8,10,8,9,10,8,13,8,10
2020-03-18,14,11,15,11,12,11,15,12,12,14,14,12,12,10,16,10,13
2020-03-19,19,15,21,16,16,14,19,17,16,19,17,17,16,15,21,15,16
2020-03-20,23,20,25,18,19,15,23,21,20,22,17,20,19,19,25,18,20
2020-03-21,22,19,25,18,22,0,25,22,21,23,19,22,0,22,22,18,22
2020-03-22,22,19,28,18,25,0,28,23,25,26,0,26,0,23,21,17,21
2020-03-23,24,21,27,19,21,19,24,21,24,24,21,20,22,21,27,22,21
2020-03-24,25,21,27,20,20,17,25,22,22,22,21,21,0,21,27,24,22
2020-03-25,26,22,27,21,21,18,26,24,23,24,23,22,0,21,28,24,24
2020-03-26,25,23,28,22,22,19,28,24,24,25,24,22,0,22,26,26,24
2020-03-27,31,24,29,23,24,20,31,27,27,28,23,25,0,24,36,28,27
2020-03-28,25,20,27,21,22,0,28,24,24,25,20,24,0,23,27,24,24
2020-03-29,24,19,33,19,26,0,29,23,24,27,0,25,0,23,23,21,22
2020-03-30,26,20,32,19,20,18,25,21,19,23,21,20,17,20,31,22,21
2020-03-31,25,19,28,18,17,16,23,19,22,21,18,19,0,18,29,21,20
2020-04-01,26,20,30,20,19,17,24,21,24,23,14,20,0,20,30,22,22
2020-04-02,27,21,31,20,20,18,25,22,25,24,31,21,0,21,31,23,23
2020-04-03,29,22,34,21,22,20,28,24,28,27,30,23,0,23,33,25,25
2020-04-04,23,18,28,19,19,0,24,21,23,23,27,21,0,21,24,21,21
2020-04-05,20,16,29,16,22,0,25,20,24,24,0,22,0,19,20,17,19
2020-04-06,24,19,28,18,18,17,20,18,21,21,26,19,0,18,28,20,19
2020-04-07,23,19,25,18,18,15,22,18,20,19,24,18,0,17,27,20,19
2020-04-08,24,19,27,19,18,16,23,20,22,22,24,18,0,18,27,20,20
2020-04-09,23,18,26,18,18,13,22,18,20,21,22,17,0,17,27,19,19
2020-04-10,38,30,40,29,32,0,37,31,37,36,32,35,0,34,42,33,34
2020-04-11,26,21,31,23,24,0,29,24,26,26,25,27,0,25,27,25,24
