date,CL,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysén,Bio Bio,Coquimbo,Los Lagos,Los Ríos,Magallanes and Chilean Antarctica,Maule,Ñuble,O'Higgins,Santiago Metropolitan Region,Tarapacá,Valparaíso
2020-02-15,-3,-1,-3,-5,-2,-1,-2,-2,-2,-1,-3,-4,-16,0,-4,-1,-2
2020-02-16,-1,0,-1,-2,-2,-4,-2,-2,-1,2,2,-1,-13,0,0,0,0
2020-02-17,-8,-4,-8,-6,-4,-5,-6,-5,-5,-6,-7,-7,-22,-3,-9,-5,-6
2020-02-18,-7,-3,-6,-4,-4,-7,-6,-4,-5,-6,-9,-6,-20,-3,-8,-4,-4
2020-02-19,-7,-3,-7,-4,-4,-6,-5,-4,-5,-6,-8,-7,-20,-2,-8,-3,-4
2020-02-20,-7,-2,-8,-5,-4,-8,-6,-4,-4,-7,-7,-7,-21,-2,-8,-4,-5
2020-02-21,-7,-3,-9,-7,-5,-8,-6,-4,-6,-7,-6,-6,-22,-3,-8,-3,-5
2020-02-22,-2,-1,-3,-5,-1,-4,-1,0,-4,-3,-3,-1,-16,-1,-3,0,-1
2020-02-23,-2,0,-1,-5,0,-10,-1,-2,-3,0,-4,-1,-12,-1,-2,-2,-1
2020-02-24,-2,3,1,-1,-2,-2,1,-1,-1,0,-5,-1,-21,0,-4,1,-2
2020-02-25,-1,5,1,-1,1,-1,3,0,0,1,-6,1,-20,2,-3,2,0
2020-02-26,0,6,3,-1,-1,-1,4,1,0,3,-3,3,-20,3,-1,5,0
2020-02-27,1,6,3,-1,1,2,4,5,2,4,-2,3,-20,4,0,6,1
2020-02-28,2,8,5,0,1,3,4,7,2,3,-1,7,-18,5,1,9,2
2020-02-29,0,3,-1,0,2,1,3,2,1,4,-1,3,-15,4,-1,4,0
2020-03-01,1,4,-1,-2,3,-4,4,3,2,5,-2,3,-10,3,0,5,1
2020-03-02,11,12,17,11,13,14,16,14,12,13,8,17,-11,14,10,16,9
2020-03-03,12,15,16,12,13,16,17,15,12,15,7,20,-11,14,11,16,11
2020-03-04,14,15,20,12,12,17,18,16,15,18,10,21,-9,15,12,17,11
2020-03-05,15,16,20,16,15,21,20,18,16,19,14,22,-3,18,13,17,13
2020-03-06,16,17,21,17,16,21,22,19,16,19,14,23,-5,19,14,18,14
2020-03-07,3,4,2,2,6,3,7,1,4,2,2,6,-13,6,3,5,2
2020-03-08,-1,2,1,2,6,0,5,-3,3,3,4,2,-10,3,-3,2,-2
2020-03-09,16,15,23,20,17,24,23,18,18,21,16,25,-5,20,14,20,14
2020-03-10,17,19,22,20,18,24,23,19,17,20,16,24,-3,20,16,20,15
2020-03-11,16,19,21,19,17,22,24,19,17,21,14,24,-1,20,14,20,15
2020-03-12,17,18,21,18,18,20,23,19,17,20,14,23,-2,20,15,19,15
2020-03-13,17,18,21,19,17,22,23,19,16,20,16,25,-4,21,15,19,15
2020-03-14,4,5,2,1,8,7,9,1,4,2,2,6,-13,4,3,5,1
2020-03-15,-1,3,-3,0,4,-1,2,-3,1,-2,-3,3,-11,1,-3,3,-3
2020-03-16,2,4,3,11,6,5,6,1,4,3,6,9,-19,8,0,6,2
2020-03-17,-11,-5,-10,1,-3,-4,-9,-8,-6,-10,-7,-2,-27,-2,-15,-1,-10
2020-03-18,-18,-11,-18,-9,-10,-12,-17,-13,-12,-16,-17,-9,-34,-8,-22,-6,-16
2020-03-19,-27,-19,-30,-21,-17,-21,-27,-24,-20,-26,-26,-17,-42,-17,-31,-17,-25
2020-03-20,-31,-26,-34,-22,-19,-24,-30,-28,-24,-29,-29,-20,-47,-21,-34,-19,-29
2020-03-21,-32,-29,-38,-25,-23,-26,-33,-35,-29,-34,-40,-24,-49,-25,-34,-26,-33
2020-03-22,-38,-31,-41,-32,-26,-32,-38,-38,-35,-37,-39,-31,-49,-32,-41,-27,-41
2020-03-23,-41,-33,-46,-31,-27,-32,-40,-39,-35,-40,-38,-28,-56,-29,-44,-38,-38
2020-03-24,-44,-36,-50,-35,-30,-34,-46,-44,-38,-42,-40,-31,-63,-33,-47,-43,-41
2020-03-25,-44,-36,-50,-36,-31,-35,-48,-44,-38,-41,-41,-32,-61,-32,-47,-43,-42
2020-03-26,-44,-37,-49,-37,-30,-34,-50,-44,-39,-42,-42,-32,-61,-33,-46,-44,-43
2020-03-27,-50,-36,-47,-36,-29,-35,-48,-42,-39,-41,-41,-31,-60,-32,-59,-42,-43
2020-03-28,-43,-32,-43,-34,-23,-30,-42,-40,-35,-40,-40,-29,-55,-30,-49,-38,-40
2020-03-29,-42,-33,-48,-34,-26,-31,-42,-41,-35,-39,-44,-32,-48,-33,-47,-37,-42
2020-03-30,-50,-35,-61,-35,-28,-33,-46,-41,-36,-41,-40,-30,-58,-31,-59,-40,-41
2020-03-31,-50,-34,-60,-35,-27,-33,-46,-41,-43,-42,-39,-31,-71,-31,-59,-40,-41
2020-04-01,-51,-34,-60,-34,-27,-33,-46,-41,-44,-42,-41,-31,-70,-31,-59,-40,-42
2020-04-02,-51,-36,-60,-36,-29,-34,-47,-42,-44,-43,-65,-32,-71,-33,-59,-41,-43
2020-04-03,-50,-34,-59,-34,-27,-33,-45,-40,-44,-41,-64,-31,-69,-32,-57,-39,-42
2020-04-04,-42,-31,-50,-32,-22,-31,-39,-39,-39,-38,-61,-27,-64,-29,-47,-37,-39
2020-04-05,-42,-32,-49,-33,-27,-29,-39,-40,-41,-39,-59,-31,-59,-32,-46,-35,-43
2020-04-06,-49,-34,-58,-34,-27,-32,-43,-40,-43,-42,-62,-30,-69,-31,-57,-38,-41
2020-04-07,-50,-35,-59,-37,-28,-34,-48,-41,-44,-43,-62,-31,-69,-31,-57,-40,-42
2020-04-08,-50,-35,-59,-36,-30,-35,-47,-41,-44,-43,-61,-31,-69,-32,-57,-39,-42
2020-04-09,-51,-36,-60,-37,-29,-32,-48,-41,-44,-43,-62,-32,-69,-33,-58,-38,-43
2020-04-10,-78,-65,-78,-67,-63,-69,-77,-69,-77,-74,-81,-73,-82,-72,-82,-68,-74
