date,CM
2020-02-15,2
2020-02-16,0
2020-02-17,2
2020-02-18,2
2020-02-19,3
2020-02-20,2
2020-02-21,0
2020-02-22,0
2020-02-23,-3
2020-02-24,1
2020-02-25,2
2020-02-26,2
2020-02-27,2
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,4
2020-03-03,3
2020-03-04,4
2020-03-05,4
2020-03-06,3
2020-03-07,4
2020-03-08,10
2020-03-09,2
2020-03-10,2
2020-03-11,3
2020-03-12,1
2020-03-13,0
2020-03-14,0
2020-03-15,1
2020-03-16,2
2020-03-17,3
2020-03-18,-6
2020-03-19,-8
2020-03-20,-10
2020-03-21,-4
2020-03-22,-5
2020-03-23,-10
2020-03-24,-15
2020-03-25,-14
2020-03-26,-14
2020-03-27,-13
2020-03-28,-6
2020-03-29,-3
2020-03-30,-15
2020-03-31,-17
2020-04-01,-18
2020-04-02,-20
2020-04-03,-17
2020-04-04,-8
2020-04-05,-2
2020-04-06,-19
2020-04-07,-20
2020-04-08,-21
2020-04-09,-21
2020-04-10,-37
2020-04-11,-11
