date,CO,Amazonas Department,Antioquia,Arauca,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caquetá,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guaviare,Huila,La Guajira,Magdalena,Meta,Narino,North Santander,Putumayo,Quindio,Risaralda,San Andrés and Providencia,Santander,Sucre,Tolima,Valle del Cauca,Vichada
2020-02-15,5,-13,4,-48,20,9,-4,-3,-8,-6,-3,-8,-7,-10,-4,0,-3,-2,-3,-12,-2,-5,-6,4,-2,0,-4,0,-14,-7,8,0
2020-02-16,5,0,9,-58,13,8,0,0,-3,-3,-3,-9,-3,-8,-1,4,-12,2,-8,-11,3,-1,-3,2,4,2,1,3,-8,-4,10,0
2020-02-17,3,-14,1,-2,7,5,1,0,-5,-2,3,0,3,-2,-2,6,-13,2,3,-5,3,0,-3,1,-2,2,-5,0,-7,-5,6,NA
2020-02-18,1,-24,-3,-3,4,6,-3,-6,-5,-5,-2,1,-2,-1,-5,4,-20,-2,0,-7,0,-3,-1,5,-4,0,-4,-2,-8,-4,2,NA
2020-02-19,-5,-24,-7,-4,4,-2,-4,-7,-4,-6,-3,-8,-6,2,-9,-5,-8,-5,-5,-7,-5,-6,-2,-5,-6,-6,-11,-5,-8,-5,-3,0
2020-02-20,-4,-10,-6,-5,7,-3,-5,-6,-9,-1,-2,-10,-7,6,-4,-5,-13,-4,1,-6,-5,-1,-1,-8,-7,-6,-10,-5,-6,-8,-8,0
2020-02-21,-1,-15,-7,3,22,1,-6,-7,-10,-7,2,-6,-6,-15,-6,-6,-9,-4,3,-8,-5,-7,-2,-6,-9,-8,-6,-6,-4,-8,-5,0
2020-02-22,-2,-6,-5,-1,14,-1,-8,-10,-17,-4,-2,-3,-4,-7,-8,-8,-12,-7,3,-3,-3,-5,1,-13,-10,-10,-7,-5,-8,-9,-2,0
2020-02-23,-4,0,0,-11,12,-8,-10,-7,-9,-10,-1,0,-6,-14,-3,-9,-4,-7,-12,-8,-3,4,1,-19,-10,-5,-10,-4,-7,-7,-2,0
2020-02-24,-4,-14,-7,-5,-9,-1,-3,-5,-14,-9,0,-8,-4,-3,-10,-3,-19,-4,-13,-16,-4,-2,-1,-16,-13,-7,-10,-6,-8,-10,-5,NA
2020-02-25,-5,-18,-8,-10,-18,1,-4,-6,-12,-8,-2,-3,-7,-7,-10,-5,-20,-7,-12,-13,-8,-15,-2,-13,-9,-7,-15,-6,-6,-9,-7,0
2020-02-26,-5,-24,-6,-10,3,0,0,-4,-9,-3,-1,-9,-9,-6,-8,-6,-15,-8,-8,-9,-7,-8,-2,-18,-9,-5,-10,-7,-3,-7,-8,NA
2020-02-27,-2,-25,-4,1,3,0,0,-2,-6,-5,-2,-1,-5,-2,-4,-5,-19,-2,0,-9,-3,0,3,-17,-3,-2,-6,-4,-4,-6,-3,0
2020-02-28,7,-2,6,9,11,10,-2,5,-4,-5,5,8,7,-1,1,2,-16,9,6,-12,-2,8,8,-10,-5,-2,-4,-1,1,1,3,0
2020-02-29,11,4,11,6,15,12,1,4,-1,5,9,14,11,1,7,4,-8,10,14,-4,5,10,12,-4,1,3,-1,7,3,5,14,0
2020-03-01,13,0,16,-3,13,17,2,8,2,-5,8,9,11,-3,9,10,4,15,10,-5,10,11,12,1,8,11,0,9,6,8,16,0
2020-03-02,8,-4,9,1,12,8,3,3,0,4,7,7,8,6,5,8,-15,11,11,-2,7,4,8,-12,4,6,1,4,3,3,10,NA
2020-03-03,7,-27,3,-6,7,12,-3,4,1,2,4,7,1,-2,-2,7,-22,6,3,-6,5,2,4,-7,-1,4,0,4,-1,1,8,0
