date,CO,Amazonas Department,Antioquia,Arauca,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caquetá,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guaviare,Huila,La Guajira,Magdalena,Meta,Narino,North Santander,Putumayo,Quindio,Risaralda,San Andrés and Providencia,Santander,Sucre,Tolima,Valle del Cauca,Vichada
2020-02-15,7,10,7,-29,3,9,8,7,5,8,7,-1,1,2,5,7,6,10,3,9,9,6,3,7,5,4,3,8,7,5,6,0
2020-02-16,1,0,1,-27,0,3,0,1,-2,8,1,-4,-2,2,1,1,8,0,-2,-2,6,1,-5,3,-4,-1,2,0,0,0,2,0
2020-02-17,15,11,11,11,17,16,16,24,11,16,17,17,21,17,17,17,9,12,19,22,18,21,12,19,18,12,7,14,27,15,13,NA
2020-02-18,17,10,12,9,15,20,16,23,12,15,15,23,18,14,16,18,10,12,16,20,17,25,15,15,17,11,9,16,21,16,17,NA
2020-02-19,13,8,10,20,14,13,13,19,8,12,13,16,20,14,13,14,8,11,13,17,15,19,15,12,17,10,7,14,17,12,12,0
2020-02-20,7,6,4,7,9,8,9,13,1,5,6,8,12,0,5,10,6,2,5,10,11,10,7,6,9,4,1,7,10,5,7,11
2020-02-21,13,12,11,4,9,15,11,21,9,10,11,12,17,5,14,15,11,10,15,14,15,13,14,20,13,10,2,13,21,11,10,0
2020-02-22,4,16,6,4,-30,7,4,6,3,8,6,5,7,3,7,5,3,5,1,0,6,7,7,8,4,9,3,8,5,3,4,0
2020-02-23,-2,0,1,5,-13,-2,-3,-3,-2,-1,1,-2,-1,1,1,-3,-2,-2,-6,-3,2,3,-1,-4,-6,0,0,0,-1,-3,-1,0
2020-02-24,11,9,11,13,-59,16,13,22,10,16,19,16,20,17,16,17,15,13,-17,-27,19,18,17,14,17,12,3,15,23,15,13,NA
2020-02-25,13,10,12,10,-60,20,14,21,11,13,17,26,19,13,14,18,12,12,-8,-3,19,19,17,14,16,10,9,18,17,16,17,0
2020-02-26,13,10,10,23,7,13,14,19,8,13,15,14,21,13,14,14,9,9,12,13,17,17,19,15,15,10,5,14,19,13,12,NA
2020-02-27,13,8,9,24,13,13,14,18,8,13,14,17,20,11,14,14,16,10,12,18,18,18,16,17,15,8,4,14,21,14,13,0
2020-02-28,20,19,18,21,20,20,15,30,16,17,22,25,27,20,25,20,21,17,27,25,24,25,25,31,21,18,6,22,34,22,17,0
2020-02-29,10,22,9,11,10,10,10,11,9,13,10,9,11,10,10,7,14,13,11,12,10,9,13,11,8,9,5,12,11,10,8,0
2020-03-01,3,0,3,10,1,3,3,2,0,8,5,1,5,9,3,1,8,4,8,5,5,4,4,5,-3,3,2,4,4,2,3,0
2020-03-02,17,19,12,13,19,18,20,22,14,17,19,22,26,22,18,19,17,16,22,25,21,22,19,19,18,13,7,16,31,16,15,NA
2020-03-03,19,11,13,9,17,22,19,22,15,15,17,29,22,14,17,20,11,16,19,21,20,27,18,19,19,13,12,19,24,18,19,0
