date,CR
2020-02-15,0
2020-02-16,1
2020-02-17,-3
2020-02-18,-3
2020-02-19,-2
2020-02-20,-2
2020-02-21,-2
2020-02-22,1
2020-02-23,2
2020-02-24,-2
2020-02-25,-2
2020-02-26,-2
2020-02-27,-2
2020-02-28,-3
2020-02-29,0
2020-03-01,1
2020-03-02,-3
2020-03-03,-3
2020-03-04,-3
2020-03-05,-2
2020-03-06,-2
2020-03-07,2
2020-03-08,2
2020-03-09,-2
2020-03-10,-1
2020-03-11,0
2020-03-12,2
2020-03-13,1
2020-03-14,4
2020-03-15,6
2020-03-16,3
2020-03-17,9
2020-03-18,12
2020-03-19,16
2020-03-20,18
2020-03-21,20
2020-03-22,20
2020-03-23,19
2020-03-24,20
2020-03-25,21
2020-03-26,22
2020-03-27,22
2020-03-28,22
2020-03-29,21
2020-03-30,19
2020-03-31,19
2020-04-01,20
2020-04-02,21
2020-04-03,23
2020-04-04,25
2020-04-05,21
2020-04-06,25
2020-04-07,24
2020-04-08,31
2020-04-09,37
2020-04-10,40
2020-04-11,31
