date,CR
2020-02-15,2
2020-02-16,1
2020-02-17,2
2020-02-18,1
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,-1
2020-02-23,-2
2020-02-24,0
2020-02-25,0
2020-02-26,-3
2020-02-27,-2
2020-02-28,2
2020-02-29,4
2020-03-01,1
2020-03-02,3
2020-03-03,1
2020-03-04,-1
2020-03-05,-1
2020-03-06,-1
2020-03-07,-4
2020-03-08,-7
2020-03-09,-2
2020-03-10,-5
2020-03-11,-9
2020-03-12,-11
2020-03-13,-10
2020-03-14,-13
2020-03-15,-19
2020-03-16,-17
2020-03-17,-26
2020-03-18,-33
2020-03-19,-41
2020-03-20,-47
2020-03-21,-55
2020-03-22,-63
2020-03-23,-53
2020-03-24,-56
2020-03-25,-57
2020-03-26,-58
2020-03-27,-57
2020-03-28,-61
2020-03-29,-68
2020-03-30,-56
2020-03-31,-55
2020-04-01,-56
2020-04-02,-55
2020-04-03,-57
2020-04-04,-67
2020-04-05,-70
2020-04-06,-67
2020-04-07,-67
2020-04-08,-81
2020-04-09,-89
2020-04-10,-91
2020-04-11,-85
