date,CV
2020-02-15,1
2020-02-16,1
2020-02-17,-2
2020-02-18,-1
2020-02-19,-3
2020-02-20,1
2020-02-21,-2
2020-02-22,1
2020-02-23,4
2020-02-24,7
2020-02-25,5
2020-02-26,-21
2020-02-27,-2
2020-02-28,-3
2020-02-29,2
2020-03-01,-1
2020-03-02,4
2020-03-03,-2
2020-03-04,0
2020-03-05,2
2020-03-06,-1
2020-03-07,2
2020-03-08,6
2020-03-09,3
2020-03-10,-2
2020-03-11,-4
2020-03-12,-3
2020-03-13,-7
2020-03-14,-6
2020-03-15,-10
2020-03-16,-6
2020-03-17,-12
2020-03-18,-13
2020-03-19,-17
2020-03-20,-28
2020-03-21,-39
2020-03-22,-45
2020-03-23,-34
2020-03-24,-38
2020-03-25,-44
2020-03-26,-42
2020-03-27,-51
2020-03-28,-54
2020-03-29,-60
2020-03-30,-53
2020-03-31,-56
2020-04-01,-58
2020-04-02,-59
2020-04-03,-61
2020-04-04,-63
2020-04-05,-63
2020-04-06,-59
2020-04-07,-62
2020-04-08,-63
2020-04-09,-64
2020-04-10,-69
2020-04-11,-63
