date,CV
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,1
2020-02-19,0
2020-02-20,0
2020-02-21,-3
2020-02-22,-8
2020-02-23,1
2020-02-24,-12
2020-02-25,-25
2020-02-26,-56
2020-02-27,-2
2020-02-28,0
2020-02-29,3
2020-03-01,-3
2020-03-02,5
2020-03-03,2
2020-03-04,3
2020-03-05,3
2020-03-06,2
2020-03-07,3
2020-03-08,2
2020-03-09,5
2020-03-10,3
2020-03-11,4
2020-03-12,3
2020-03-13,2
2020-03-14,0
2020-03-15,-6
2020-03-16,6
2020-03-17,2
2020-03-18,2
2020-03-19,0
2020-03-20,-6
2020-03-21,-18
2020-03-22,-28
2020-03-23,-28
2020-03-24,-33
2020-03-25,-35
2020-03-26,-38
2020-03-27,-49
2020-03-28,-45
2020-03-29,-40
2020-03-30,-55
2020-03-31,-60
2020-04-01,-60
2020-04-02,-61
2020-04-03,-60
2020-04-04,-51
2020-04-05,-34
2020-04-06,-60
2020-04-07,-63
2020-04-08,-62
2020-04-09,-64
2020-04-10,-74
2020-04-11,-53
