date,total
2020-02-29,-7.2257993221504435
2020-03-01,-8.872437795718525
2020-03-02,-1.823092669469193
2020-03-03,-7.161634160004586
2020-03-04,-12.63732868462675
2020-03-05,-6.498326796321778
2020-03-06,-11.393326603523926
2020-03-07,-8.128923979353395
2020-03-08,-14.19574006024428
2020-03-09,-7.2915686133499475
2020-03-10,-10.742050207743468
2020-03-11,-16.84977157950233
2020-03-12,-10.211083490986491
2020-03-13,-16.709410287308266
2020-03-14,-20.77427330924838
2020-03-15,-22.181094489296317
2020-03-16,-6.380423310878763
2020-03-17,-17.90288230322123
2020-03-18,-24.43248961608911
2020-03-19,-35.2755999542123
2020-03-20,-42.533481857435675
2020-03-21,-56.00014526279764
2020-03-22,-54.12171014097764
2020-03-23,-46.483649652040064
2020-03-24,-47.44372089064747
2020-03-25,-64.03041530535178
2020-03-26,-53.842591685643164
2020-03-27,-75.19354938967744
2020-03-28,-76.77441857204602
2020-03-29,-88.72357589265845
2020-03-30,-76.56106940791103
2020-03-31,-80.56417346128576
2020-04-01,-83.40829427340093
2020-04-02,-81.69187618599922
2020-04-03,-82.7891004586934
2020-04-04,-86.70959186580532
2020-04-05,-86.94940915932547
2020-04-06,-83.85183595673416
2020-04-07,-85.04049558548618
2020-04-08,-81.72315670254532
2020-04-09,-79.83509680640346
2020-04-10,-88.10518414247774
2020-04-11,-84.00021789419647
