date,CZ,Central Bohemian Region,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Moravian-Silesian Region,Olomouc Region,Pardubice Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Ústí nad Labem Region,Vysocina Region,Zlin Region
2020-02-15,8,7,15,13,14,7,12,7,10,9,11,5,5,9,9
2020-02-16,8,8,12,15,14,11,14,10,10,4,10,4,5,10,12
2020-02-17,2,4,6,4,7,3,5,7,2,-1,7,-5,2,4,3
2020-02-18,5,6,9,7,12,5,11,8,7,1,11,-5,3,6,8
2020-02-19,1,3,5,6,5,2,6,4,2,-3,6,-8,0,2,6
2020-02-20,2,4,5,5,4,3,6,5,3,-2,5,-6,2,2,6
2020-02-21,3,5,7,7,7,4,7,7,6,-1,5,-4,3,5,7
2020-02-22,6,6,12,7,10,5,10,10,6,4,10,2,3,6,6
2020-02-23,3,4,6,-1,6,6,5,3,4,-1,5,7,0,6,4
2020-02-24,2,4,3,-2,5,2,3,4,6,-3,5,5,-2,3,1
2020-02-25,6,8,8,4,10,5,9,7,9,1,9,9,1,9,9
2020-02-26,6,10,9,-1,8,5,6,7,10,3,11,9,2,7,8
2020-02-27,11,14,11,4,9,11,8,11,14,8,11,14,6,13,12
2020-02-28,6,6,7,3,7,4,6,7,9,4,5,10,2,6,5
2020-02-29,4,3,6,10,5,3,6,5,8,3,8,4,0,5,3
2020-03-01,9,6,8,9,11,13,11,9,10,8,9,10,9,11,8
2020-03-02,4,3,0,6,5,3,5,6,0,5,7,7,4,6,-4
2020-03-03,1,-2,-2,3,0,3,5,0,-3,-1,5,5,-1,3,-7
2020-03-04,2,1,1,5,6,2,4,3,-3,3,6,5,0,4,-4
2020-03-05,2,1,-1,4,2,2,3,3,-1,3,6,5,1,4,-5
2020-03-06,4,2,2,4,5,3,5,4,0,5,7,7,2,5,-3
2020-03-07,6,7,5,8,4,6,8,7,5,6,8,8,4,8,4
2020-03-08,17,18,16,15,18,23,20,16,13,11,18,23,17,18,22
2020-03-09,3,4,2,1,0,3,3,5,4,2,6,6,4,-1,3
2020-03-10,18,20,18,14,11,18,24,19,17,14,23,21,16,9,20
2020-03-11,8,9,8,7,11,11,12,10,9,1,12,10,8,7,8
2020-03-12,21,25,18,24,21,23,19,18,20,22,23,23,22,16,19
2020-03-13,13,14,8,15,13,15,11,12,12,11,14,18,14,9,10
2020-03-14,16,22,14,9,18,16,18,17,15,11,21,18,16,21,13
2020-03-15,13,22,12,-1,19,16,10,13,8,7,18,18,10,24,14
2020-03-16,-13,-7,-11,-19,-11,-12,-13,-10,-12,-22,-8,-13,-12,-4,-14
2020-03-17,-24,-18,-23,-26,-17,-23,-27,-24,-25,-29,-22,-26,-24,-21,-28
2020-03-18,-21,-13,-18,-22,-14,-19,-25,-21,-21,-26,-20,-24,-18,-20,-22
2020-03-19,-22,-14,-22,-23,-15,-21,-26,-23,-21,-29,-20,-23,-20,-19,-22
2020-03-20,-16,-9,-17,-19,-11,-15,-19,-15,-14,-25,-17,-16,-15,-13,-18
2020-03-21,-22,-16,-25,-29,-20,-22,-24,-21,-23,-26,-23,-23,-19,-18,-24
2020-03-22,-29,-23,-32,-36,-26,-29,-32,-32,-30,-31,-30,-31,-27,-28,-31
2020-03-23,-22,-14,-21,-22,-16,-21,-24,-19,-19,-30,-17,-25,-18,-16,-24
2020-03-24,-20,-15,-21,-20,-14,-19,-22,-20,-18,-29,-16,-23,-18,-16,-21
2020-03-25,-20,-13,-20,-17,-12,-18,-23,-19,-18,-29,-17,-23,-15,-16,-21
2020-03-26,-20,-13,-20,-20,-14,-18,-22,-18,-18,-29,-18,-22,-16,-17,-20
2020-03-27,-16,-11,-17,-17,-11,-15,-18,-14,-14,-23,-17,-15,-13,-14,-17
2020-03-28,-19,-11,-24,-26,-18,-17,-20,-20,-18,-23,-20,-18,-16,-16,-21
2020-03-29,-26,-20,-30,-38,-24,-21,-27,-27,-29,-30,-27,-24,-25,-21,-25
2020-03-30,-19,-12,-18,-18,-13,-18,-20,-16,-18,-28,-16,-22,-15,-14,-20
2020-03-31,-18,-12,-18,-17,-11,-15,-19,-16,-18,-28,-15,-21,-16,-13,-19
2020-04-01,-16,-9,-17,-16,-8,-14,-18,-16,-15,-24,-13,-19,-13,-13,-16
2020-04-02,-15,-9,-17,-16,-11,-13,-18,-15,-14,-24,-13,-16,-12,-12,-16
2020-04-03,-12,-7,-13,-15,-10,-10,-12,-11,-12,-22,-11,-11,-10,-9,-12
2020-04-04,-16,-9,-19,-20,-19,-12,-15,-17,-15,-21,-17,-16,-13,-13,-16
2020-04-05,-13,-5,-19,-26,-10,-7,-15,-15,-18,-19,-16,-14,-10,-11,-13
2020-04-06,-12,-4,-10,-14,-6,-10,-14,-12,-11,-23,-7,-16,-8,-6,-13
2020-04-07,-1,4,-2,-3,7,4,0,-5,3,-11,5,-5,3,2,-2
2020-04-08,7,14,8,5,17,12,7,4,14,-6,15,3,13,12,8
2020-04-09,23,32,24,19,31,30,26,23,33,4,32,20,30,31,27
2020-04-10,-22,-19,-29,-16,-15,-16,-20,-28,-21,-27,-25,-26,-11,-30,-31
2020-04-11,4,8,1,-2,5,13,12,4,2,-13,3,4,13,12,8
