date,CZ,Central Bohemian Region,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Moravian-Silesian Region,Olomouc Region,Pardubice Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Ústí nad Labem Region,Vysocina Region,Zlin Region
2020-02-15,13,16,13,19,17,11,15,1,14,14,16,10,15,16,24
2020-02-16,12,17,6,19,14,18,18,12,14,7,20,8,14,15,19
2020-02-17,4,7,8,5,11,7,9,7,5,1,10,-1,9,6,11
2020-02-18,9,9,9,17,15,7,17,8,10,3,12,3,12,8,13
2020-02-19,4,5,8,9,7,6,6,6,7,0,8,-4,7,3,7
2020-02-20,4,5,11,4,7,5,11,6,3,1,9,-3,5,8,7
2020-02-21,2,6,7,7,9,3,8,3,4,0,9,-6,4,5,6
2020-02-22,9,11,10,5,18,6,11,11,14,8,15,5,8,12,12
2020-02-23,3,4,-8,-3,3,3,12,5,3,2,7,8,4,2,7
2020-02-24,3,5,4,1,12,7,5,6,6,1,4,5,2,5,5
2020-02-25,6,5,2,5,16,3,9,3,10,0,11,9,5,7,10
2020-02-26,3,5,6,-2,8,3,4,5,7,0,4,4,2,1,5
2020-02-27,3,4,5,-3,5,2,4,1,3,1,5,5,2,8,4
2020-02-28,0,1,3,-5,3,-1,1,1,1,-1,2,4,-1,1,0
2020-02-29,1,-2,1,1,8,4,-1,-1,5,1,4,4,-3,8,-1
2020-03-01,8,13,0,7,8,10,10,7,11,4,12,12,12,9,15
2020-03-02,0,3,-2,0,4,2,4,3,-3,-1,4,2,3,6,-4
2020-03-03,0,-4,-8,5,5,2,8,10,-1,-7,1,3,-3,4,-5
2020-03-04,3,3,0,3,5,4,6,7,1,0,3,4,1,6,0
2020-03-05,2,2,0,1,2,2,7,5,-5,0,4,3,1,9,-4
2020-03-06,0,1,-3,1,0,-1,0,-4,-6,2,2,4,1,3,-7
2020-03-07,0,0,-3,3,-4,0,4,2,1,0,5,6,-1,3,-5
2020-03-08,13,23,6,18,14,14,22,12,5,8,14,19,15,14,18
2020-03-09,0,3,1,-1,-3,6,5,2,-2,-3,-1,2,4,0,1
2020-03-10,3,4,-1,3,-3,9,14,6,3,-5,4,9,4,0,7
2020-03-11,-6,-4,-5,-2,-3,-1,-1,-5,-4,-16,-2,-3,-3,-7,-5
2020-03-12,-5,0,-5,2,-11,2,1,-6,-5,-15,0,-1,4,1,-2
2020-03-13,-20,-13,-21,-12,-23,-15,-17,-24,-16,-28,-15,-18,-12,-19,-18
2020-03-14,-56,-48,-61,-54,-54,-57,-56,-56,-54,-62,-57,-55,-50,-57,-61
2020-03-15,-57,-45,-63,-55,-56,-53,-54,-56,-57,-64,-55,-55,-52,-58,-55
2020-03-16,-61,-52,-59,-58,-57,-60,-61,-57,-57,-70,-60,-62,-54,-56,-61
2020-03-17,-65,-57,-65,-62,-61,-62,-66,-63,-62,-74,-64,-66,-58,-61,-64
2020-03-18,-65,-55,-65,-63,-62,-62,-66,-63,-61,-73,-64,-67,-58,-63,-64
2020-03-19,-67,-59,-66,-63,-64,-65,-67,-65,-64,-75,-65,-68,-59,-62,-66
2020-03-20,-68,-61,-68,-66,-67,-66,-68,-69,-65,-73,-67,-67,-63,-66,-68
2020-03-21,-79,-77,-81,-77,-77,-79,-80,-82,-78,-79,-81,-78,-74,-80,-82
2020-03-22,-77,-72,-81,-75,-76,-78,-77,-79,-76,-78,-76,-77,-72,-79,-79
2020-03-23,-64,-55,-63,-61,-59,-63,-65,-61,-60,-72,-63,-66,-55,-60,-64
2020-03-24,-64,-56,-65,-58,-60,-62,-64,-62,-60,-73,-61,-66,-55,-61,-64
2020-03-25,-64,-55,-63,-58,-59,-62,-64,-61,-59,-72,-62,-65,-55,-61,-64
2020-03-26,-65,-57,-64,-61,-62,-63,-64,-64,-63,-73,-63,-66,-57,-61,-65
2020-03-27,-64,-56,-64,-61,-62,-63,-64,-65,-62,-70,-64,-64,-59,-63,-64
2020-03-28,-71,-63,-76,-73,-71,-69,-71,-73,-71,-74,-73,-70,-67,-74,-73
2020-03-29,-73,-67,-78,-75,-75,-72,-72,-74,-74,-77,-72,-70,-71,-74,-71
2020-03-30,-61,-51,-59,-57,-57,-61,-60,-57,-57,-69,-59,-62,-53,-55,-60
2020-03-31,-62,-54,-62,-57,-59,-60,-60,-61,-59,-72,-61,-63,-55,-58,-60
2020-04-01,-61,-51,-61,-55,-57,-58,-60,-58,-56,-70,-60,-62,-54,-58,-60
2020-04-02,-60,-51,-59,-55,-58,-58,-59,-59,-58,-69,-58,-61,-53,-56,-59
2020-04-03,-63,-55,-62,-60,-62,-61,-62,-64,-60,-70,-61,-62,-58,-59,-61
2020-04-04,-70,-64,-73,-70,-71,-67,-70,-72,-68,-73,-72,-68,-67,-72,-72
2020-04-05,-63,-51,-69,-65,-62,-59,-62,-64,-65,-70,-64,-60,-60,-65,-61
2020-04-06,-54,-41,-52,-50,-49,-49,-52,-51,-50,-66,-52,-56,-46,-48,-52
2020-04-07,-63,-53,-63,-58,-62,-62,-64,-63,-63,-71,-64,-64,-57,-62,-65
2020-04-08,-62,-51,-61,-57,-60,-59,-63,-61,-62,-70,-64,-64,-57,-62,-65
2020-04-09,-54,-40,-48,-49,-50,-49,-53,-57,-53,-64,-55,-54,-45,-52,-55
2020-04-10,-74,-66,-73,-75,-70,-73,-76,-81,-74,-76,-76,-75,-74,-78,-76
2020-04-11,-67,-56,-65,-73,-64,-64,-68,-70,-69,-73,-69,-66,-68,-67,-67
