date,DE,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia
2020-02-15,6,6,7,5,10,4,6,7,9,6,5,2,4,4,2,6,4
2020-02-16,7,23,14,1,3,-12,-2,11,2,-7,0,16,10,6,0,-5,5
2020-02-17,2,0,1,6,3,-2,4,-1,1,8,1,0,0,5,4,3,1
2020-02-18,2,4,3,2,1,3,5,0,1,5,4,2,2,6,0,3,1
2020-02-19,3,2,1,0,0,3,-2,1,2,5,7,4,3,1,-1,3,2
2020-02-20,2,6,4,2,2,3,-3,0,0,4,5,1,8,3,0,1,0
2020-02-21,2,1,1,0,0,2,2,3,2,0,0,-2,0,-1,3,0,0
2020-02-22,-1,2,3,1,4,7,2,2,-1,-2,-5,-3,-2,2,0,-3,3
2020-02-23,0,9,7,11,-9,-12,-4,5,-5,-10,-7,9,1,-7,-10,-8,-4
2020-02-24,2,11,9,4,-1,-9,-3,1,-4,3,-4,6,-1,1,-1,-1,1
2020-02-25,-1,-1,2,3,0,1,1,0,0,3,0,-1,-4,1,-2,0,-2
2020-02-26,-3,-5,-3,-1,-3,-1,-1,-5,-1,1,-8,-4,-6,-4,-3,5,-4
2020-02-27,-5,-10,-4,4,3,0,1,-9,1,6,-9,-14,-16,1,0,4,-3
2020-02-28,3,0,-4,4,4,9,6,2,6,4,1,1,4,1,6,6,1
2020-02-29,-1,-5,-2,4,5,5,-2,-1,5,2,-4,-2,-2,3,4,4,1
2020-03-01,8,9,11,7,15,-1,-2,9,15,14,3,10,-6,17,13,13,13
2020-03-02,2,0,1,3,3,0,3,0,6,7,-2,-1,0,4,6,9,6
2020-03-03,0,-1,-2,-3,-1,6,-1,-1,4,6,2,1,2,1,-1,7,0
2020-03-04,2,0,-2,-1,2,0,-4,2,3,5,2,2,-1,2,1,5,2
2020-03-05,-4,-9,-6,0,4,0,-4,-7,2,7,-6,-7,-6,4,0,6,0
2020-03-06,-3,-7,-6,-10,-3,-3,-9,-3,-2,-1,-3,-2,-3,2,1,-2,-3
2020-03-07,1,-1,-3,-4,4,0,-1,2,6,7,1,3,4,2,3,8,3
2020-03-08,12,17,20,7,29,-3,-4,12,16,27,2,21,-2,22,23,11,19
2020-03-09,-1,1,-3,-3,-1,-2,-3,-1,1,7,-3,0,1,0,3,4,1
2020-03-10,-7,-9,-9,-9,-3,-5,-8,-9,-3,2,-9,-6,-8,4,-5,-1,-5
2020-03-11,-1,-3,-4,-4,3,2,-1,-3,4,8,-5,-1,-4,-1,0,9,-2
2020-03-12,-7,-9,-6,-10,-2,-6,-14,-7,-4,0,-6,-6,-6,0,-4,-4,-2
2020-03-13,-9,-9,-12,-19,-4,-11,-19,-8,-9,-2,-11,-8,-11,-4,-6,-8,-7
2020-03-14,-17,-22,-19,-21,-2,-20,-25,-17,-13,-3,-18,-17,-21,-9,-11,-10,-9
2020-03-15,-12,-7,-3,-37,-5,-35,-37,-5,-13,-5,-16,3,-10,-6,-2,-21,-3
2020-03-16,-7,-7,-4,-17,4,-10,-20,-9,-5,1,-10,-7,-12,0,1,-9,2
2020-03-17,-21,-25,-24,-28,0,-15,-38,-18,-24,-7,-21,-17,-20,-6,-9,-20,-10
2020-03-18,-34,-36,-42,-40,-17,-40,-49,-37,-34,-26,-36,-33,-41,-12,-22,-41,-17
2020-03-19,-45,-46,-48,-50,-27,-48,-54,-45,-45,-32,-49,-42,-46,-31,-32,-46,-25
2020-03-20,-50,-51,-49,-57,-36,-53,-58,-49,-51,-41,-56,-47,-50,-42,-40,-52,-48
2020-03-21,-69,-74,-85,-65,-48,-68,-71,-67,-65,-54,-66,-69,-79,-57,-56,-63,-63
2020-03-22,-71,-74,-81,-74,-55,-74,-75,-69,-69,-67,-69,-70,-77,-65,-58,-69,-64
2020-03-23,-57,-56,-67,-60,-40,-55,-60,-57,-60,-35,-56,-54,-61,-57,-45,-51,-48
2020-03-24,-59,-60,-67,-62,-45,-57,-61,-59,-62,-53,-57,-56,-62,-57,-49,-53,-50
2020-03-25,-58,-60,-68,-63,-44,-57,-63,-58,-62,-53,-56,-55,-62,-57,-48,-52,-49
2020-03-26,-59,-61,-69,-62,-42,-56,-62,-59,-62,-51,-57,-56,-61,-56,-49,-52,-50
2020-03-27,-59,-59,-68,-63,-44,-58,-62,-57,-63,-54,-57,-55,-61,-56,-48,-54,-50
2020-03-28,-66,-66,-75,-67,-51,-68,-69,-63,-71,-64,-64,-62,-67,-68,-58,-60,-57
2020-03-29,-77,-79,-80,-83,-75,-79,-80,-74,-76,-74,-77,-74,-77,-78,-74,-70,-75
2020-03-30,-54,-52,-63,-61,-42,-56,-61,-51,-61,-52,-52,-48,-53,-54,-43,-49,-44
2020-03-31,-53,-54,-63,-59,-40,-49,-56,-52,-56,-46,-49,-48,-54,-53,-43,-45,-44
2020-04-01,-52,-52,-62,-58,-39,-54,-61,-51,-58,-50,-48,-47,-55,-51,-40,-50,-40
2020-04-02,-54,-53,-62,-59,-39,-54,-60,-52,-59,-48,-52,-48,-53,-50,-41,-50,-40
2020-04-03,-57,-57,-67,-63,-41,-57,-63,-56,-62,-53,-55,-52,-58,-55,-45,-54,-47
2020-04-04,-63,-63,-73,-65,-47,-65,-68,-60,-61,-63,-60,-59,-63,-66,-55,-59,-54
2020-04-05,-58,-60,-65,-67,-46,-64,-65,-59,-58,-54,-53,-56,-63,-55,-51,-57,-46
2020-04-06,-43,-42,-56,-50,-24,-45,-50,-43,-39,-38,-40,-38,-44,-45,-26,-37,-29
2020-04-07,-44,-45,-56,-51,-25,-45,-52,-44,-41,-38,-42,-40,-47,-43,-30,-38,-31
2020-04-08,-42,-44,-55,-50,-22,-45,-52,-42,-39,-37,-39,-37,-46,-40,-27,-38,-27
2020-04-09,-40,-41,-53,-48,-18,-41,-50,-41,-37,-36,-37,-36,-42,-37,-24,-35,-26
2020-04-10,-80,-81,-82,-82,-80,-83,-84,-80,-82,-82,-78,-79,-82,-81,-80,-82,-80
2020-04-11,-56,-57,-67,-59,-35,-60,-62,-53,-54,-55,-53,-51,-56,-58,-44,-51,-44
