date,DE,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia
2020-02-15,10,10,13,5,9,13,10,7,17,15,11,6,4,14,8,14,13
2020-02-16,6,20,12,1,0,-8,0,7,2,-7,3,11,2,2,-2,-4,10
2020-02-17,1,0,1,4,1,1,2,-1,3,-8,2,-10,-14,-8,2,1,4
2020-02-18,1,1,1,-1,1,0,3,-1,0,-15,3,-10,-15,-8,-1,1,3
2020-02-19,-1,-2,-1,1,-3,0,-3,-3,-1,-6,2,-7,-11,-11,-2,-1,0
2020-02-20,3,5,1,0,0,1,0,3,0,-6,11,-4,-11,-7,-1,0,1
2020-02-21,-1,-2,1,0,-2,3,6,2,3,-6,-4,-5,-12,-11,1,3,1
2020-02-22,9,15,10,3,3,12,8,7,7,2,12,20,2,9,-1,9,8
2020-02-23,2,11,6,-4,-9,-11,0,7,-5,-7,5,21,20,-8,-9,-6,-1
2020-02-24,-5,-7,-12,0,-3,-2,-1,-4,-1,-1,-12,2,-28,1,1,0,0
2020-02-25,-5,-13,-13,3,0,-1,-1,-5,1,-11,-8,-11,-19,3,-1,-3,-1
2020-02-26,-7,-17,-14,-1,-3,-1,-3,-6,-2,-13,-8,-7,-9,-1,-3,-4,-3
2020-02-27,-5,-18,-13,-1,0,0,-1,-2,0,5,-5,-5,-6,2,-1,-2,-1
2020-02-28,-2,-11,-11,-1,0,9,3,1,4,4,-2,0,-3,1,2,3,3
2020-02-29,1,-4,1,1,1,8,3,1,8,7,-1,6,-2,3,4,8,5
2020-03-01,4,6,6,3,6,0,1,4,9,8,-2,5,2,17,5,8,14
2020-03-02,-1,-3,-3,-2,-2,3,-4,-3,4,5,-3,-3,-5,2,1,4,5
2020-03-03,-3,-5,-7,-7,-5,0,-9,-7,-1,5,-3,-5,-11,0,-4,-2,-2
2020-03-04,-4,-5,-6,-2,0,-2,-11,-7,-2,3,-5,-5,-9,1,0,-4,0
2020-03-05,-5,-10,-9,-5,-1,-3,-9,-8,-2,8,-7,-8,-12,4,-1,-3,0
2020-03-06,-7,-9,-9,-9,-6,-1,-11,-7,-4,-2,-7,-6,-9,0,-3,-6,-3
2020-03-07,-2,-6,-7,-6,-2,1,4,-3,5,15,0,0,-3,0,0,12,0
2020-03-08,2,4,4,-1,8,-8,-3,-3,6,14,-6,4,-4,13,7,3,9
2020-03-09,-5,-4,-10,-6,-4,0,-10,-8,-1,4,-7,-5,-11,-1,-2,0,0
2020-03-10,-8,-11,-13,-10,-6,-6,-13,-12,-6,0,-10,-11,-16,2,-7,-5,-6
2020-03-11,-7,-7,-10,-7,-2,-2,-11,-13,-2,6,-10,-8,-13,-1,-2,-1,-5
2020-03-12,-9,-12,-13,-14,-7,-9,-18,-12,-7,-2,-9,-11,-16,-3,-5,-8,-3
2020-03-13,-15,-14,-17,-21,-13,-13,-22,-16,-11,-6,-15,-15,-21,-8,-13,-11,-6
2020-03-14,-19,-25,-24,-24,-7,-19,-20,-24,-11,9,-19,-23,-26,-8,-14,-5,-7
2020-03-15,-16,-11,-15,-30,-11,-31,-29,-22,-11,-9,-18,-12,-18,-8,-13,-16,1
2020-03-16,-25,-21,-31,-28,-16,-26,-33,-32,-22,-16,-28,-30,-33,-18,-20,-24,-10
2020-03-17,-35,-38,-41,-40,-21,-36,-41,-41,-31,-21,-35,-39,-43,-26,-28,-33,-25
2020-03-18,-39,-41,-44,-41,-27,-41,-49,-47,-36,-30,-41,-44,-48,-26,-30,-41,-25
2020-03-19,-46,-47,-50,-50,-36,-49,-54,-51,-44,-35,-48,-49,-51,-36,-38,-43,-31
2020-03-20,-52,-51,-52,-56,-45,-53,-58,-56,-50,-45,-55,-54,-57,-48,-46,-49,-46
2020-03-21,-59,-67,-74,-58,-42,-60,-61,-62,-50,-45,-56,-65,-69,-54,-51,-47,-50
2020-03-22,-58,-60,-71,-60,-43,-65,-64,-63,-50,-53,-57,-64,-69,-52,-52,-53,-45
2020-03-23,-56,-58,-63,-57,-48,-56,-61,-63,-52,-47,-57,-61,-64,-52,-47,-50,-46
2020-03-24,-56,-58,-63,-59,-48,-58,-61,-63,-52,-46,-57,-62,-66,-51,-49,-51,-46
2020-03-25,-56,-59,-63,-58,-47,-57,-62,-64,-52,-46,-57,-61,-64,-52,-47,-50,-45
2020-03-26,-57,-60,-65,-59,-46,-58,-62,-64,-52,-45,-57,-62,-64,-52,-49,-50,-47
2020-03-27,-56,-58,-63,-59,-48,-58,-61,-63,-52,-48,-57,-62,-65,-52,-50,-51,-47
2020-03-28,-53,-53,-62,-57,-39,-61,-60,-62,-47,-43,-54,-58,-62,-50,-50,-44,-38
2020-03-29,-68,-71,-73,-70,-63,-74,-72,-72,-64,-64,-70,-71,-71,-66,-65,-58,-63
2020-03-30,-56,-56,-62,-60,-52,-58,-61,-63,-55,-48,-56,-60,-63,-51,-49,-50,-46
2020-03-31,-53,-55,-60,-57,-47,-52,-57,-61,-47,-43,-52,-58,-60,-50,-46,-46,-44
2020-04-01,-53,-54,-59,-55,-44,-58,-61,-62,-49,-48,-52,-57,-62,-47,-43,-51,-38
2020-04-02,-54,-55,-60,-58,-46,-58,-61,-63,-52,-47,-55,-59,-62,-48,-46,-51,-41
2020-04-03,-57,-58,-63,-59,-49,-59,-61,-65,-53,-51,-58,-62,-64,-53,-50,-52,-48
2020-04-04,-52,-53,-61,-56,-40,-57,-59,-63,-45,-45,-50,-58,-63,-51,-50,-45,-38
2020-04-05,-47,-46,-60,-54,-35,-59,-56,-62,-37,-44,-44,-53,-60,-43,-46,-39,-28
2020-04-06,-49,-51,-57,-52,-41,-51,-54,-61,-43,-40,-50,-56,-60,-44,-42,-43,-35
2020-04-07,-50,-51,-56,-53,-40,-54,-55,-61,-44,-39,-51,-56,-60,-43,-43,-44,-35
2020-04-08,-49,-52,-56,-51,-38,-53,-56,-61,-43,-38,-50,-55,-58,-42,-41,-45,-33
2020-04-09,-49,-51,-57,-53,-38,-53,-56,-61,-44,-38,-49,-56,-59,-42,-42,-45,-35
2020-04-10,-69,-70,-75,-70,-63,-74,-74,-76,-66,-66,-68,-72,-80,-67,-69,-67,-59
2020-04-11,-48,-49,-57,-51,-32,-55,-56,-62,-40,-38,-46,-56,-60,-44,-46,-39,-30
