date,DO
2020-02-15,-2
2020-02-16,-13
2020-02-17,-8
2020-02-18,4
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,0
2020-02-23,-3
2020-02-24,1
2020-02-25,2
2020-02-26,0
2020-02-27,-22
2020-02-28,2
2020-02-29,6
2020-03-01,-2
2020-03-02,4
2020-03-03,2
2020-03-04,0
2020-03-05,2
2020-03-06,0
2020-03-07,3
2020-03-08,-8
2020-03-09,-5
2020-03-10,1
2020-03-11,-4
2020-03-12,-5
2020-03-13,-9
2020-03-14,-7
2020-03-15,-15
2020-03-16,-18
2020-03-17,-21
2020-03-18,-27
2020-03-19,-53
2020-03-20,-64
2020-03-21,-74
2020-03-22,-78
2020-03-23,-77
2020-03-24,-80
2020-03-25,-81
2020-03-26,-83
2020-03-27,-84
2020-03-28,-84
2020-03-29,-84
2020-03-30,-80
2020-03-31,-82
2020-04-01,-83
2020-04-02,-83
2020-04-03,-83
2020-04-04,-82
2020-04-05,-83
2020-04-06,-82
2020-04-07,-81
2020-04-08,-82
2020-04-09,-81
2020-04-10,-88
2020-04-11,-85
