date,total
2020-02-29,0.03522633322910337
2020-03-01,-0.06404787859836976
2020-03-02,-6.239063973963694
2020-03-03,-6.759452987575448
2020-03-04,-7.118121107726319
2020-03-05,-8.379864316114203
2020-03-06,-8.974708988596563
2020-03-07,-1.4723006092800248
2020-03-08,1.7052747676815947
2020-03-09,-9.598375206448189
2020-03-10,-9.8729804859387
2020-03-11,-9.814536796717686
2020-03-12,-10.430197029744516
2020-03-13,-18.47541118018224
2020-03-14,-7.752995704332658
2020-03-15,-8.565603164049476
2020-03-16,-31.124867203360264
2020-03-17,-63.897366083663584
2020-03-18,-76.2097701457177
2020-03-19,-78.20165917012699
2020-03-20,-79.27446113664969
2020-03-21,-69.36145072658701
2020-03-22,-58.99289977999343
2020-03-23,-80.87805989705637
2020-03-24,-82.12539233275962
2020-03-25,-83.78983657783476
2020-03-26,-83.57447558604774
2020-03-27,-82.95481236060851
2020-03-28,-72.09869693818483
2020-03-29,-61.028021122456614
2020-03-30,-82.07735642381084
2020-03-31,-82.28631262773803
2020-04-01,-81.95006126509658
2020-04-02,-82.57612927839564
2020-04-03,-81.47850875891609
2020-04-04,-69.63365421063008
2020-04-05,-59.274710445826244
2020-04-06,-81.3680261683339
2020-04-07,-81.68426256891334
2020-04-08,-81.06219754802667
2020-04-09,-81.0333760026574
2020-04-10,-84.1653172661177
2020-04-11,-76.00001334330804
