date,EE,Harju County,Hiiu County,Ida-Viru County,Järva County,Jõgeva County,Lääne County,Lääne-Viru County,Pärnu County,Põlva County,Rapla County,Saare County,Tartu County,Valga County,Viljandi County,Võru County
2020-02-15,1,3,NA,3,0,0,0,4,1,0,0,0,4,0,4,0
2020-02-16,1,1,NA,-2,0,0,0,2,3,0,0,0,2,0,0,0
2020-02-17,0,0,NA,2,-3,-1,0,0,-1,0,0,1,1,-1,2,-1
2020-02-18,1,0,NA,2,0,-1,-2,1,-1,-1,1,0,1,1,3,-2
2020-02-19,1,0,NA,2,-1,-5,3,0,-1,1,2,-2,3,2,2,2
2020-02-20,0,-1,NA,1,-4,0,-2,-2,-1,0,1,0,2,3,1,-2
2020-02-21,-1,-2,NA,0,-2,-1,1,-1,-3,-3,2,-4,-1,-1,1,3
2020-02-22,0,1,NA,-1,0,0,0,4,3,0,0,0,0,0,6,0
2020-02-23,-1,0,NA,-1,0,0,0,6,-1,0,0,0,-2,0,0,0
2020-02-24,-77,-78,-68,-68,-76,-75,-77,-74,-75,-76,-79,-76,-79,-70,-76,-72
2020-02-25,-18,-17,NA,-14,-20,-21,-25,-18,-20,-26,-20,-24,-17,-19,-19,-23
2020-02-26,-18,-17,NA,-14,-20,-23,-21,-20,-21,-27,-18,-24,-17,-22,-20,-23
2020-02-27,-18,-17,NA,-13,-21,-21,-21,-20,-21,-22,-24,-21,-18,-23,-21,-26
2020-02-28,-19,-17,NA,-17,-24,-22,-24,-21,-21,-25,-21,-23,-19,-21,-22,-21
2020-02-29,0,0,NA,6,0,0,0,0,0,0,0,0,2,0,0,0
2020-03-01,2,0,NA,4,0,0,0,7,5,0,0,0,1,0,0,0
2020-03-02,0,-1,NA,4,1,2,3,2,-1,2,1,3,1,2,2,2
2020-03-03,1,0,NA,4,-1,3,1,2,3,2,2,2,3,0,1,0
2020-03-04,1,0,NA,3,-2,-1,1,2,0,1,2,3,2,-1,3,-3
2020-03-05,1,1,NA,4,-2,2,1,2,0,-1,-1,3,2,-2,1,-2
2020-03-06,1,1,NA,3,-3,0,1,1,1,1,0,1,1,-3,2,3
2020-03-07,4,5,NA,7,0,0,0,6,7,0,0,0,6,0,6,0
2020-03-08,6,4,NA,12,0,0,0,17,9,NA,0,0,5,0,0,0
2020-03-09,0,-1,NA,0,-3,2,0,0,1,1,-1,0,1,0,4,0
2020-03-10,0,0,NA,3,-2,4,4,0,1,1,-1,2,1,0,2,-2
2020-03-11,-1,-2,NA,2,1,-4,1,1,0,0,-1,1,3,-3,3,-1
2020-03-12,-2,-3,NA,1,-4,2,-1,0,0,1,-2,-29,1,0,0,-2
2020-03-13,-12,-13,NA,-4,-8,-11,-8,-8,-6,-11,-12,-36,-16,-16,-10,-29
2020-03-14,-11,-9,NA,-4,0,0,0,-13,-8,0,0,0,-16,0,-4,0
2020-03-15,-14,-13,NA,-9,0,0,0,-11,-15,0,0,0,-18,0,0,0
2020-03-16,-40,-41,NA,-27,-35,-35,-36,-35,-37,-41,-39,-53,-42,-35,-34,-46
2020-03-17,-45,-47,NA,-31,-38,-38,-41,-37,-43,-45,-45,-58,-48,-37,-39,-51
2020-03-18,-47,-49,NA,-33,-40,-44,-41,-41,-45,-46,-46,-59,-49,-40,-42,-52
2020-03-19,-46,-48,NA,-33,-40,-39,-40,-40,-43,-42,-45,-56,-50,-39,-41,-49
2020-03-20,-45,-48,NA,-31,-37,-40,-42,-39,-44,-47,-42,-54,-49,-40,-39,-46
2020-03-21,-24,-25,NA,-16,0,0,0,-21,-29,0,0,0,-25,0,-15,0
2020-03-22,-24,-26,NA,-14,0,0,0,-19,-28,0,0,0,-26,0,0,0
2020-03-23,-46,-49,NA,-31,-40,-42,-44,-38,-44,-43,-47,-55,-49,-39,-41,-45
2020-03-24,-48,-50,NA,-33,-40,-41,-45,-41,-45,-47,-47,-57,-51,-42,-42,-47
2020-03-25,-48,-51,NA,-34,-41,-42,-47,-40,-46,-47,-49,-57,-51,-42,-42,-48
2020-03-26,-49,-52,NA,-35,-43,-41,-45,-41,-47,-49,-49,-57,-53,-41,-42,-50
2020-03-27,-50,-53,NA,-36,-39,-42,-47,-40,-47,-48,-47,-57,-54,-40,-43,-46
2020-03-28,-30,-32,NA,-25,0,0,0,-27,-35,0,0,0,-34,0,-13,0
2020-03-29,-32,-34,NA,-28,0,0,0,-20,-36,0,0,0,-35,0,0,0
2020-03-30,-51,-54,NA,-38,-43,-45,-45,-42,-47,-47,-50,-58,-53,-44,-42,-51
2020-03-31,-51,-54,NA,-39,-42,-43,-46,-42,-47,-46,-50,-57,-54,-44,-42,-50
2020-04-01,-51,-54,NA,-40,-42,-43,-47,-43,-46,-49,-50,-58,-54,-42,-43,-50
2020-04-02,-51,-54,NA,-41,-41,-41,-45,-44,-47,-47,-49,-57,-54,-44,-44,-50
2020-04-03,-51,-54,NA,-41,-42,-40,-47,-43,-49,-48,-48,-58,-54,-43,-42,-50
2020-04-04,-32,-34,NA,-25,0,0,0,-28,-30,0,0,0,-33,0,-21,0
2020-04-05,-31,-35,NA,-26,0,0,0,-22,-31,0,0,0,-32,0,0,0
2020-04-06,-51,-54,NA,-40,-39,-40,-44,-43,-46,-42,-47,-55,-53,-42,-43,-48
2020-04-07,-51,-54,NA,-40,-40,-39,-47,-42,-46,-47,-49,-56,-54,-42,-44,-49
2020-04-08,-50,-54,NA,-40,-41,-41,-40,-41,-46,-44,-48,-53,-53,-41,-44,-47
2020-04-09,-51,-54,NA,-41,-43,-44,-46,-42,-48,-47,-49,-54,-52,-43,-47,-50
2020-04-10,-80,-82,NA,-72,-78,-74,-78,-76,-80,-75,-82,-79,-83,-78,-82,-78
2020-04-11,-35,-38,NA,-29,NA,NA,NA,-28,-34,NA,NA,NA,-39,NA,-26,NA
