date,ES,Andalusia,Aragon,Asturias,Balearic Islands,Basque Country,Canary Islands,Cantabria,Castile and León,Castile-La Mancha,Catalonia,Ceuta,Community of Madrid,Extremadura,Galicia,La Rioja,Melilla,Navarre,Region of Murcia,Valencian Community
2020-02-15,-1,-1,7,-1,-2,-3,-2,4,2,0,-1,-6,-2,-3,-2,0,-2,-2,-2,0
2020-02-16,3,4,14,1,5,2,-2,6,9,6,2,-4,4,6,-17,4,-13,0,0,0
2020-02-17,1,0,8,0,3,-1,-2,-1,4,2,1,0,3,2,3,1,-3,3,1,2
2020-02-18,0,0,0,1,2,0,-3,2,1,0,1,-2,1,-1,0,2,-4,0,-1,-2
2020-02-19,1,0,7,1,1,-2,-2,0,2,1,1,-3,1,0,-1,-2,-9,0,-2,0
2020-02-20,1,0,2,0,2,0,-2,2,3,1,1,-7,1,2,3,3,-3,2,-1,-1
2020-02-21,2,0,2,-1,4,1,-1,2,2,1,1,-14,1,1,1,2,-8,5,1,1
2020-02-22,2,2,7,1,3,-3,-2,5,4,4,3,-12,-1,0,1,6,-5,-1,1,1
2020-02-23,10,14,16,6,13,17,-20,11,26,21,12,-12,6,32,18,10,-13,5,8,5
2020-02-24,3,1,10,5,4,3,-3,3,7,0,1,-10,6,6,14,4,-4,5,2,3
2020-02-25,-1,5,5,-22,4,-5,-34,-1,2,2,6,0,6,-15,-38,5,0,1,4,6
2020-02-26,4,6,7,7,3,-5,10,-3,2,3,3,-1,6,5,1,2,-5,-3,2,4
2020-02-27,8,23,4,4,3,-2,3,0,5,5,3,0,6,6,5,1,5,2,3,3
2020-02-28,-7,-60,6,3,4,3,1,2,5,6,4,-9,3,7,4,6,2,5,4,5
2020-02-29,4,11,8,4,1,0,2,3,6,8,2,0,-1,5,1,7,2,3,3,3
2020-03-01,6,10,12,4,9,4,-4,6,3,8,9,-5,1,13,-11,20,-3,1,9,5
2020-03-02,1,4,7,-3,0,-3,0,-4,4,3,0,-18,2,6,4,7,-1,3,0,0
2020-03-03,3,4,2,2,4,-1,0,2,2,2,2,-10,4,2,-3,-3,-2,1,3,4
2020-03-04,4,4,20,4,4,-1,1,5,4,3,3,-9,5,3,-1,5,-4,3,0,3
2020-03-05,2,4,-24,1,5,-2,0,0,2,2,2,-12,3,4,1,4,-3,2,1,2
2020-03-06,2,2,3,0,5,-5,-2,-3,0,1,1,-13,4,1,1,1,-9,-1,1,3
2020-03-07,1,1,1,2,2,-3,-1,0,2,2,0,-17,1,-1,0,1,-5,1,-1,2
2020-03-08,7,10,11,-4,11,6,0,-1,4,7,7,-9,5,8,-1,5,-9,3,3,6
2020-03-09,4,2,10,4,6,3,-3,3,6,5,3,-17,13,4,5,8,-3,4,3,3
2020-03-10,18,11,16,14,13,15,4,15,18,26,13,-8,46,11,8,35,7,19,14,14
2020-03-11,17,13,25,17,17,11,5,15,20,19,17,-8,22,16,9,15,11,20,18,18
2020-03-12,27,22,29,25,30,26,16,23,28,32,33,-5,22,25,28,15,20,32,39,25
2020-03-13,33,32,39,31,40,31,22,42,32,30,29,3,29,33,31,23,-55,41,35,40
2020-03-14,-8,-6,-1,-2,-2,-7,-6,-5,-8,-9,-8,-18,-15,-13,-5,-14,8,-2,-8,-8
2020-03-15,-49,-55,-49,-53,-24,-54,-40,-51,-50,-52,-50,-46,-42,-46,-60,-51,-57,-53,-62,-64
2020-03-16,-33,-34,-30,-30,-30,-29,-34,-34,-36,-28,-36,-53,-35,-34,-27,-37,-37,-28,-28,-32
