date,FI,Central Finland,Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Päijänne Tavastia,Pirkanmaa,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa
2020-02-15,-2,-5,-2,3,1,2,-1,-1,-3,-3,-3,-2,-5,-1,2,0,-2,4,-4
2020-02-16,-3,0,-1,-3,0,2,1,-2,-1,-1,-5,-2,-4,-2,-4,0,-7,-3,-6
2020-02-17,-13,-1,-2,-2,1,0,0,1,0,0,-1,1,-30,1,-1,-1,-31,-11,-28
2020-02-18,-13,1,-1,0,0,0,-2,1,0,0,-1,0,-30,0,0,-2,-30,-10,-27
2020-02-19,-13,1,-2,-1,2,1,-1,0,0,0,-1,1,-30,0,-1,-1,-30,-11,-27
2020-02-20,-14,0,-2,-1,1,0,-2,0,0,-1,-1,0,-32,1,-1,-1,-32,-12,-28
2020-02-21,-15,-3,-4,1,0,0,-3,0,0,-2,-2,-2,-32,-2,-1,-3,-33,-13,-31
2020-02-22,-4,-4,-7,-1,1,3,0,2,-1,-8,-3,-4,-7,-3,-2,-1,-4,-2,-8
2020-02-23,-1,-2,-7,-1,0,1,4,0,1,-4,-3,-2,-4,-2,-3,0,0,0,-2
2020-02-24,-12,-37,-37,-1,-30,0,-1,0,0,-36,-31,-33,-1,-32,-39,-29,0,-23,0
2020-02-25,-12,-37,-37,-2,-31,-1,-2,-1,-1,-36,-33,-34,1,-33,-39,-30,0,-23,1
2020-02-26,-12,-38,-38,-1,-30,0,0,0,0,-37,-33,-34,0,-32,-40,-30,1,-24,1
2020-02-27,-12,-39,-38,-1,-30,0,-1,-1,-2,-39,-33,-35,0,-33,-41,-30,0,-24,1
2020-02-28,-14,-40,-39,-2,-32,0,-2,-2,-3,-40,-34,-37,0,-34,-42,-30,0,-25,0
2020-02-29,-2,-9,-14,0,0,1,-5,-2,-5,-8,-4,-8,0,-3,-4,-5,3,-1,1
2020-03-01,-3,-5,-2,-3,0,-1,-6,-5,-5,-5,-6,-3,-2,-4,-6,-2,-1,0,-2
2020-03-02,-7,-1,-4,-36,1,-32,-35,-41,-37,-1,1,0,0,-1,-1,-2,0,0,0
2020-03-03,-7,-1,-2,-35,0,-32,-36,-42,-38,-1,-2,-1,1,-2,-2,-3,0,0,-1
2020-03-04,-8,-1,-3,-35,1,-33,-36,-43,-38,0,-1,-1,0,-1,-2,-3,-1,-1,-1
2020-03-05,-8,-2,-2,-38,0,-34,-36,-44,-39,-1,-1,-1,0,-2,-2,-2,0,-1,-1
2020-03-06,-8,-3,-4,-35,0,-34,-36,-45,-39,-1,-2,-1,-1,-4,-1,-3,-1,-1,-1
2020-03-07,0,-1,-4,-1,4,-5,-9,-9,-8,1,0,2,-1,2,4,4,5,5,2
2020-03-08,1,1,0,0,5,-2,-2,-2,-3,-1,2,3,1,2,-4,-1,2,4,2
2020-03-09,-1,-2,-3,-2,0,-2,-2,-1,-1,-1,0,-2,0,0,-2,-1,-2,0,-2
2020-03-10,-1,-1,-1,-2,-1,-1,-4,-2,-2,0,-3,-3,0,-1,-2,-2,-2,-1,-2
2020-03-11,-3,-2,-3,-2,-1,-1,-3,-3,-3,-1,-3,-4,-1,-2,-3,-3,-2,-2,-3
2020-03-12,-3,-3,-3,-4,-2,-3,-4,-3,-3,-2,-2,-5,-2,-3,-1,-3,-3,-4,-4
2020-03-13,-10,-9,-8,-5,-4,-6,-7,-11,-7,-6,-6,-12,-5,-7,-4,-6,-8,-8,-14
2020-03-14,-8,-12,-8,-8,-2,-6,-9,-11,-7,-3,-5,-9,-8,-10,-6,-6,-4,-4,-9
2020-03-15,-10,-10,-11,-10,-5,-9,-6,-10,-7,-9,-8,-10,-9,-13,-9,-7,-9,-8,-11
2020-03-16,-23,-22,-17,-15,-12,-16,-14,-24,-17,-16,-16,-26,-16,-19,-12,-17,-21,-19,-31
2020-03-17,-32,-33,-25,-21,-23,-25,-20,-33,-26,-24,-27,-35,-25,-28,-20,-26,-29,-29,-39
2020-03-18,-41,-41,-36,-36,-33,-34,-36,-44,-37,-38,-37,-44,-32,-40,-34,-35,-38,-38,-48
2020-03-19,-43,-43,-37,-38,-35,-37,-38,-46,-39,-38,-37,-45,-34,-41,-34,-38,-39,-40,-49
2020-03-20,-43,-44,-37,-37,-36,-37,-37,-46,-38,-40,-39,-46,-35,-42,-35,-37,-39,-39,-49
2020-03-21,-21,-23,-16,-17,-11,-22,-19,-21,-21,-18,-19,-22,-18,-20,-15,-22,-17,-17,-24
2020-03-22,-21,-22,-20,-19,-14,-24,-19,-22,-19,-20,-21,-21,-19,-20,-20,-22,-20,-18,-24
2020-03-23,-45,-46,-38,-41,-37,-41,-40,-48,-40,-40,-41,-47,-37,-43,-37,-39,-42,-41,-52
2020-03-24,-47,-47,-39,-41,-40,-42,-42,-49,-43,-42,-44,-49,-38,-45,-38,-40,-43,-42,-54
2020-03-25,-47,-47,-39,-41,-39,-42,-41,-50,-42,-41,-43,-49,-39,-45,-39,-41,-43,-42,-54
2020-03-26,-47,-48,-39,-43,-40,-43,-41,-50,-43,-42,-43,-49,-38,-45,-39,-42,-44,-42,-54
2020-03-27,-47,-47,-40,-39,-39,-42,-41,-50,-43,-42,-44,-49,-38,-46,-38,-40,-44,-44,-54
2020-03-28,-24,-25,-23,-21,-17,-29,-24,-24,-23,-20,-24,-25,-18,-25,-16,-23,-23,-18,-27
2020-03-29,-25,-23,-21,-21,-17,-31,-24,-24,-22,-21,-25,-26,-19,-25,-20,-23,-25,-22,-28
2020-03-30,-48,-48,-39,-42,-40,-43,-42,-51,-44,-43,-43,-49,-39,-46,-38,-40,-46,-44,-55
2020-03-31,-49,-49,-41,-43,-42,-44,-43,-52,-45,-44,-45,-51,-39,-46,-40,-41,-45,-44,-55
2020-04-01,-49,-49,-40,-43,-41,-45,-44,-51,-45,-42,-45,-50,-39,-47,-39,-40,-44,-45,-55
2020-04-02,-49,-49,-41,-44,-42,-45,-43,-51,-45,-43,-45,-51,-39,-48,-40,-42,-45,-45,-56
2020-04-03,-49,-50,-39,-44,-42,-46,-43,-51,-45,-43,-46,-51,-39,-47,-40,-42,-46,-44,-55
2020-04-04,-26,-28,-21,-22,-18,-35,-27,-25,-29,-24,-24,-28,-20,-28,-19,-25,-22,-20,-29
2020-04-05,-25,-25,-22,-26,-21,-35,-22,-26,-24,-19,-24,-25,-18,-26,-20,-22,-23,-21,-29
2020-04-06,-49,-50,-42,-45,-42,-47,-45,-52,-46,-43,-45,-51,-40,-47,-41,-41,-46,-45,-56
2020-04-07,-50,-49,-42,-44,-42,-48,-45,-53,-46,-43,-46,-51,-40,-48,-42,-42,-47,-45,-56
2020-04-08,-50,-49,-42,-43,-41,-48,-45,-52,-46,-44,-46,-51,-40,-47,-42,-41,-46,-45,-56
2020-04-09,-52,-52,-45,-48,-44,-52,-47,-55,-48,-47,-48,-54,-44,-49,-46,-44,-50,-47,-58
2020-04-10,-83,-83,-79,-79,-78,-78,-81,-83,-81,-84,-83,-84,-80,-81,-81,-78,-83,-81,-85
2020-04-11,-30,-31,-23,-26,-20,-37,-31,-30,-29,-23,-29,-29,-23,-31,-22,-28,-27,-23,-34
