date,FJ
2020-02-15,4
2020-02-16,3
2020-02-17,-2
2020-02-18,6
2020-02-19,4
2020-02-20,0
2020-02-21,10
2020-02-22,7
2020-02-23,2
2020-02-24,0
2020-02-25,5
2020-02-26,4
2020-02-27,-1
2020-02-28,6
2020-02-29,2
2020-03-01,-1
2020-03-02,-2
2020-03-03,4
2020-03-04,2
2020-03-05,2
2020-03-06,6
2020-03-07,5
2020-03-08,3
2020-03-09,0
2020-03-10,2
2020-03-11,0
2020-03-12,-9
2020-03-13,-2
2020-03-14,0
2020-03-15,-6
2020-03-16,-5
2020-03-17,-7
2020-03-18,-5
2020-03-19,-2
2020-03-20,-15
2020-03-21,-28
2020-03-22,-32
2020-03-23,-26
2020-03-24,-26
2020-03-25,-28
2020-03-26,-37
2020-03-27,-34
2020-03-28,-40
2020-03-29,-59
2020-03-30,-46
2020-03-31,-47
2020-04-01,-44
2020-04-02,-43
2020-04-03,-55
2020-04-04,-56
2020-04-05,-66
2020-04-06,-59
2020-04-07,-54
2020-04-08,-85
2020-04-09,-63
2020-04-10,-80
2020-04-11,-55
